unit_id,institution_name,year,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_,state_abbreviation,fips_state_code,sector_of_institution,level_of_institution,control_of_institution,degree_granting_status,postsecondary_and_title_iv_institution_indicator,institutional_category,institution_size_category,longitude,latitude,x91,total_students_all,total_black_all,total_asian_all,total_women_all,total_men_all,total_undergrad_men,total_undergrad_women,total_undergrad_black,total_undergrad_asian,total_undergrad_hispanic,total_undergrad_white_men,total_undergrad_white_women,total_white_all,ftime_total_undergrad,ftime_total_undergrad_men,ftime_total_undergrad_women,total_students_undergrad
217882,Clemson University,2016,81,19096,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.835114,34.679381,NA,23406,1535,526,11200,12206,9725,8874,1265,454,649,8048,7379,18204,17883,9311,8572,18599
217882,Clemson University,2015,81,18559,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.834463,34.677329,NA,22698,1419,470,10682,12016,9520,8496,1191,409,574,7871,7109,17627,17238,9058,8180,18016
217882,Clemson University,2014,82,17260,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.834463,34.677329,NA,21857,1347,389,10160,11697,9229,8031,1116,335,510,7667,6704,16876,16572,8819,7753,17260
217882,Clemson University,2013,83,17052,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.834463,34.677329,NA,21303,1270,353,9729,11574,9156,7775,1057,301,439,7591,6514,16324,16050,8590,7460,16931
217819,College of Charleston,2019,66,NA,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.939794,32.784225,NA,10545,807,204,6872,3673,3435,6165,709,191,592,2667,4760,8157,8762,3009,5753,9600
217819,College of Charleston,2018,71,9880,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.939794,32.784225,NA,10783,850,222,7027,3756,3517,6363,776,215,568,2742,4870,8339,9103,3148,5955,9880
217819,College of Charleston,2017,69,9895,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.939794,32.784225,NA,10863,876,237,6985,3878,3629,6266,773,228,528,2862,4798,8402,9083,3249,5834,9895
217819,College of Charleston,2016,69,10375,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.937251,32.783142,NA,11294,918,227,7275,4019,3795,6580,835,218,532,3050,5096,8885,9524,3404,6120,10375
217819,College of Charleston,2015,68,10468,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.937251,32.783142,NA,11531,902,200,7433,4098,3841,6627,808,196,492,3105,5202,9175,9590,3452,6138,10468
217819,College of Charleston,2014,67,10440,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.937251,32.783142,NA,11456,823,181,7329,4127,3886,6554,750,177,445,3168,5208,9221,9608,3502,6106,10440
217819,College of Charleston,2013,64,10488,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.937251,32.783142,NA,11619,749,177,7395,4224,3957,6531,676,167,427,3262,5302,9507,9708,3573,6135,10488
198464,East Carolina University,2019,66,NA,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.368291,35.607186,NA,28651,4561,785,16910,11741,9897,13184,3753,558,1722,6527,8555,18933,19204,8357,10847,23081
198464,East Carolina University,2018,65,23071,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.368291,35.607186,NA,28718,4559,766,16882,11836,9911,13160,3705,576,1564,6612,8668,19130,19562,8497,11065,23071
198464,East Carolina University,2017,62,23265,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.368291,35.607186,NA,29131,4639,805,17161,11970,9957,13308,3802,605,1537,6623,8849,19586,19999,8657,11342,23265
198464,East Carolina University,2016,61,22969,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.368291,35.607186,NA,28962,4488,838,17118,11844,9781,13188,3681,649,1475,6625,8846,19732,19754,8412,11342,22969
198464,East Carolina University,2015,62,23039,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.366199,35.606347,NA,28289,4497,806,16796,11493,9599,13440,3858,625,1436,6524,9055,19404,19336,8132,11204,23039
198464,East Carolina University,2014,59,22252,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.366199,35.606347,NA,27511,4359,782,16451,11060,9183,13069,3744,594,1337,6295,8876,19058,18903,7897,11006,22252
