unit_id,institution_name,year,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_
187985,University of New Mexico-Main Campus,2018,50,18621
187985,University of New Mexico-Main Campus,2017,49,20354
187985,University of New Mexico-Main Campus,2016,44,21023
187985,University of New Mexico-Main Campus,2015,48,21346
187985,University of New Mexico-Main Campus,2014,48,21792
187985,University of New Mexico-Main Campus,2013,48,22416
136172,University of North Florida,2019,67,NA
136172,University of North Florida,2018,59,14483
136172,University of North Florida,2017,57,14255
136172,University of North Florida,2016,54,13846
136172,University of North Florida,2015,55,13817
136172,University of North Florida,2014,55,14121
136172,University of North Florida,2013,50,14263
215293,University of Pittsburgh-Pittsburgh Campus,2019,83,NA
215293,University of Pittsburgh-Pittsburgh Campus,2018,83,19330
215293,University of Pittsburgh-Pittsburgh Campus,2017,82,19326
215293,University of Pittsburgh-Pittsburgh Campus,2016,81,19123
215293,University of Pittsburgh-Pittsburgh Campus,2015,82,18908
215293,University of Pittsburgh-Pittsburgh Campus,2014,82,18757
215293,University of Pittsburgh-Pittsburgh Campus,2013,80,18615
231174,University of Vermont,2019,77,NA
231174,University of Vermont,2018,76,11328
231174,University of Vermont,2017,75,11339
231174,University of Vermont,2016,74,11159
231174,University of Vermont,2015,77,10973
231174,University of Vermont,2014,76,10992
231174,University of Vermont,2013,76,10912
234076,University of Virginia-Main Campus,2019,95,NA
234076,University of Virginia-Main Campus,2018,94,16777
234076,University of Virginia-Main Campus,2017,95,16655
234076,University of Virginia-Main Campus,2016,94,16331
234076,University of Virginia-Main Campus,2015,93,16736
234076,University of Virginia-Main Campus,2014,94,16483
234076,University of Virginia-Main Campus,2013,93,16087
236939,Washington State University,2019,60,NA
236939,Washington State University,2018,59,26098
236939,Washington State University,2017,62,25277
236939,Washington State University,2016,67,24904
236939,Washington State University,2015,64,24470
236939,Washington State University,2014,67,23867
236939,Washington State University,2013,65,23070
238032,West Virginia University,2019,61,NA
238032,West Virginia University,2018,60,21155
238032,West Virginia University,2017,58,22504
238032,West Virginia University,2016,57,22350
238032,West Virginia University,2015,57,22498
238032,West Virginia University,2014,57,22563
238032,West Virginia University,2013,57,22757
