unit_id,institution_name,year,state_abbreviation,fips_state_code,sector_of_institution,level_of_institution,control_of_institution,degree_granting_status,postsecondary_and_title_iv_institution_indicator,institutional_category,institution_size_category,longitude,latitude,x91
110422,California Polytechnic State University-San Luis Obispo,2018,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-120.65731100000001,35.299513,NA
110422,California Polytechnic State University-San Luis Obispo,2017,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-120.65731100000001,35.299513,NA
110422,California Polytechnic State University-San Luis Obispo,2016,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-120.65731100000001,35.299513,NA
110422,California Polytechnic State University-San Luis Obispo,2015,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-120.65856,35.29889,NA
110422,California Polytechnic State University-San Luis Obispo,2014,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-120.65856,35.29889,NA
110422,California Polytechnic State University-San Luis Obispo,2013,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-120.65856,35.29889,NA
110608,California State University-Northridge,2019,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-118.529319,34.240126,NA
110608,California State University-Northridge,2018,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-118.529319,34.240126,NA
110608,California State University-Northridge,2017,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-118.529319,34.240126,NA
110608,California State University-Northridge,2016,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-118.526817,34.23671,NA
110608,California State University-Northridge,2015,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-118.526817,34.23671,NA
110608,California State University-Northridge,2014,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-118.526817,34.23671,NA
110608,California State University-Northridge,2013,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-118.526817,34.23671,NA
217882,Clemson University,2019,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.835114,34.679381,NA
217882,Clemson University,2018,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.835114,34.679381,NA
217882,Clemson University,2017,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.835114,34.679381,NA
217882,Clemson University,2016,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.835114,34.679381,NA
217882,Clemson University,2015,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.834463,34.677329,NA
217882,Clemson University,2014,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.834463,34.677329,NA
217882,Clemson University,2013,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-82.834463,34.677329,NA
217819,College of Charleston,2019,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.939794,32.784225,NA
217819,College of Charleston,2018,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.939794,32.784225,NA
217819,College of Charleston,2017,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.939794,32.784225,NA
217819,College of Charleston,2016,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.937251,32.783142,NA
217819,College of Charleston,2015,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.937251,32.783142,NA
217819,College of Charleston,2014,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.937251,32.783142,NA
217819,College of Charleston,2013,SC,45,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-79.937251,32.783142,NA
198464,East Carolina University,2019,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.368291,35.607186,NA
198464,East Carolina University,2018,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.368291,35.607186,NA
198464,East Carolina University,2017,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.368291,35.607186,NA
198464,East Carolina University,2016,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.368291,35.607186,NA
198464,East Carolina University,2015,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.366199,35.606347,NA
198464,East Carolina University,2014,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.366199,35.606347,NA
198464,East Carolina University,2013,NC,37,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-77.366199,35.606347,NA
139658,Emory University,2019,GA,13,2,4-year,Private not-for-profit,1,1,"Degree-granting, primarily baccalaureate or above",4,-84.325512,33.790183,NA
