unit_id,institution_name,year,sat_math_75th_percentile_score_
215293,University of Pittsburgh-Pittsburgh Campus,2016,700
215293,University of Pittsburgh-Pittsburgh Campus,2015,690
215293,University of Pittsburgh-Pittsburgh Campus,2014,690
215293,University of Pittsburgh-Pittsburgh Campus,2013,680
231174,University of Vermont,2019,680
231174,University of Vermont,2018,680
231174,University of Vermont,2017,670
231174,University of Vermont,2016,650
231174,University of Vermont,2015,640
231174,University of Vermont,2014,650
231174,University of Vermont,2013,650
234076,University of Virginia-Main Campus,2019,780
234076,University of Virginia-Main Campus,2018,770
234076,University of Virginia-Main Campus,2017,760
234076,University of Virginia-Main Campus,2016,740
234076,University of Virginia-Main Campus,2015,740
234076,University of Virginia-Main Campus,2014,740
234076,University of Virginia-Main Campus,2013,740
236939,Washington State University,2019,610
236939,Washington State University,2018,600
236939,Washington State University,2017,610
236939,Washington State University,2016,585
236939,Washington State University,2015,580
236939,Washington State University,2014,580
236939,Washington State University,2013,580
238032,West Virginia University,2019,610
238032,West Virginia University,2018,620
238032,West Virginia University,2017,600
238032,West Virginia University,2016,570
238032,West Virginia University,2015,580
238032,West Virginia University,2014,580
238032,West Virginia University,2013,580
