"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS17-01-09-000247","UPD-170023","01/09/17 19:17","01/09/17 16:45","1 PARK PLACE Common Name: BAKER STUDENT CENTER, Athens, OH 45701","CONVERSION LARCENY-THEFT THEFT - FROM BUILDINGS - FELONY 2913.02","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-09-000248","UPD","01/09/17 19:28","","BUILDING 1, THE RIDGES Common Name: KENNEDY MUSEUM OF AMERICA","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-09-000249","UPD","01/09/17 20:40","","Common Name: LUCHS HALL","POSSESSION OF DRUG PARAPHERNALIA","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-09-000250","UPD","01/09/17 21:29","","50 EAST GREEN STREET Common Name: BUSH, Athens, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-09-000251","UPD","01/09/17 21:42","","99 WEST GREEN DRIVE Common Name: TREUDLEY HALL Location Detail: 238, Athens, OH 45701","POSSESSION OF DRUG PARAPHERNALIA","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-09-000256","UPD","01/09/17 23:13","","101 WEST GREEN DRIVE Common Name: RYORS HALL Location Detail: ROOM 341, Athens, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000257","UPD-170024","01/09/17 23:41","01/09/17 23:41","EAST UNION STREET Common Name: MCCRACKEN HALL, ATHENS, OH 45701","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000258","UPD-170025","01/10/17 00:07","01/10/17 00:07","70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL Location Detail: ROOM 202, Athens, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000259","UPD","01/10/17 00:49","","MILL STREET Common Name: MILL STREET Location Detail: @HOCKING","DISORDERLY CONDUCT OFFENSES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000274","UPD-170026","01/10/17 11:00","01/09/17 11:20","PRESIDENT STREET Common Name: BENTLEY HALL Location Detail: ROOM 240, Athens, OH 45701","CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000284","UPD-170027","01/10/17 15:03","01/10/17 15:03","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE Location Detail: AT RIVER'S EDGE APT, Athens, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000286","UPD","01/10/17 15:43","","58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL Location Detail: NEAR ROOM 317","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000287","UPD","01/10/17 15:50","","101 WEST GREEN DRIVE Common Name: RYORS HALL Location Detail: ROOM 240, Athens, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000292","UPD","01/10/17 19:20","","UNION STREET Common Name: UNION STREET Location Detail: AT UNIVERSITY TERRACE","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000293","UPD","01/10/17 19:27","","88 UNIVERSITY TERRACE Common Name: SCOTT QUADRANGLE Location Detail: ROOM 222, Athens, OH 45701","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000294","UPD","01/10/17 20:01","","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE Location Detail: AT RUFUS ST, Athens, OH 45701","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000295","UPD","01/10/17 20:22","","22 UNIVERSITY TERRACE Common Name: BRYAN HALL Location Detail: ROOM 421, Athens, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000297","UPD-170028","01/10/17 20:36","01/10/16 20:36","COURT STREET Common Name: COURT STREET Location Detail: AT WASHINGTON ST, Athens, OH 45701","TRAFFIC OBEDIANCE TO TRAFFIC CONTROL DEVICES 4511.12","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000298","UPD","01/10/17 20:49","","STEWART ST. Common Name: STEWART STREET Location Detail: AT MILL ST, Athens, OH 45701","CONVERSION_TRAFFIC TAIL LIGHTS AND ILLUMINATION OF REAR LICENSE PLATE 4513.05","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000300","UPD-170029","01/10/17 21:35","01/10/17 21:35","SOUTH GREEN DR Common Name: SOUTH GREEN DRIVE, Athens, OH 45701","POSSESSION OF  CONTROLLED SUBSTANCES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000301","UPD","01/10/17 22:00","","RACE ST Common Name: RACE STREET","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000303","UPD-170030","01/10/17 22:15","01/10/17 21:03","135 SOUTH GREEN DRIVE Common Name: EWING HOUSE Location Detail: ROOM 346","CONVERSION_JUSTICE & PUB. ADMIN. OBSTRUCTING OFFICIAL BUSINESS 2921.31","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000304","UPD-170032","01/10/17 22:28","01/10/17 22:28","51 EAST GREEN STREET Common Name: BIDDLE Location Detail: ROOM 315, Athens, OH 45701","DRUG OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-10-000305","UPD-170031","01/10/17 22:35","01/10/17 22:35","97 SOUTH GREEN DRIVE Common Name: CARR HALL Location Detail: ROOM 332, ATHENS, OH 45701","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-11-000308","UPD-170033","01/11/17 00:05","01/11/17 00:05","70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL Location Detail: ROOM 222-223, ATHENS, OH 45701","DRUG OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-11-000321","UPD-170034","01/11/17 08:50","01/11/17 08:50","MULBERRY ST Common Name: MULBERRY ST Location Detail: AT STEWART ST","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
