date_reported,date_occurred,time_occurred,time_reported,case_number,location,incident,university
2018-01-17,2018-01-17,20:28,20:28,18mu00438,mullaney hall,invasion of privacy/harassment/stud mis,Monmouth University
2018-01-19,2018-01-19,00:10,00:10,18mu00474,cedar hall,pula / student misconduct,Monmouth University
2018-01-20,2018-01-20,01:05,01:05,18mu00518,elmwood hall,pula / student misconduct,Monmouth University
2018-01-21,2018-01-21,01:39,01:39,18mu00541,pinewood hall,pula / student misconduct,Monmouth University
2018-01-21,2018-01-21,01:48,01:48,18mu00542,maplewood hall,simple assault/harassment/stud mis,Monmouth University
2018-01-24,2018-01-24,21:05,21:05,18mu00671,laurel hall,poss. para. / student misconduct,Monmouth University
2018-01-25,2018-01-25,23:39,23:39,18mu00723,beechwood hall,poss of cds/para/pula/stud mis,Monmouth University
2018-01-27,2018-01-27,02:22,02:22,18mu00762,lot 8,pula / student misconduct,Monmouth University
2018-01-29,NA,22:30,15:09,18mu00795,mullaney hall,burglary / theft / student misconduct,Monmouth University
2018-01-29,2018-01-29,07:35,NA,18mu00812,lot 9,student misconduct,Monmouth University
2018-01-30,2018-01-30,04:04,04:04,18mu00849,elmwood hall,criminal mis/daup,Monmouth University
2018-02-01,NA,22:30,14:01,18mu00943,off-campus,harassment,Monmouth University
2018-02-01,2018-02-01,19:00,19:10,18mu00962,laurel hall,terroristic threats,Monmouth University
2018-02-04,2018-02-04,22:44,02:48,18mu01064,hesse hall,pula / student misconduct,Monmouth University
2018-02-05,2017-10-01,NA,15:47,18mu01084,mullaney hall,sex assault/crim sxl cntct/inv of privacy,Monmouth University
2018-02-06,2018-02-06,10:57,10:57,18mu01110,elmwood hall,pula / student misconduct,Monmouth University
2018-02-06,2018-02-06,19:46,19:46,18mu01127,mullaney hall,poss. of cds/para./student misconduct,Monmouth University
2018-02-07,2018-02-07,13:27,13:27,18mu01149,elmwood hall,poss. of cds/para./student misconduct,Monmouth University
2018-02-08,2017-01-16,18:00,10:45,18mu01184,wilson hall,theft,Monmouth University
2018-02-10,2018-02-10,23:10,23:10,18mu01276,laurel hall,pula / student misconduct,Monmouth University
2018-02-11,2018-02-11,02:07,02:07,18mu01281,cedar hall,pula / student misconduct,Monmouth University
2018-02-18,2018-02-18,19:24,19:24,18mu01511,mullaney hall,poss. of cds / student misconduct,Monmouth University
2018-02-24,2018-02-24,17:26,17:26,18mu01708,ocean first bank center,simple assault,Monmouth University
2018-02-28,2018-01-25,09:49,09:49,18mu00686,mupd traffic office,forgery / uttering / student misconduct,Monmouth University
2018-03-01,2018-03-01,13:22,13:22,18mu01859,commuter parking lots,simple assault/student misconduct,Monmouth University
2018-03-01,2018-03-01,18:15,18:15,18mu01868,dining hall,fraud,Monmouth University
2018-03-01,2018-02-27,16:00,21:14,18mu01872,lot 16,theft,Monmouth University
2018-03-02,2018-03-02,14:20,14:20,18mu01892,dining hall,fraud,Monmouth University
2018-03-04,2018-03-04,03:37,03:37,18mu01940,beechwood hall,psula w/alcohol/student misconduct,Monmouth University
2018-03-05,2018-03-05,14:11,14:11,18mu01984,hesse hall,poss of a weapon (knife) at edu int,Monmouth University
2018-03-05,2018-03-05,21:16,21:16,18mu01996,hesse hall,poss of a weapon (knife) at edu int,Monmouth University
2018-03-06,2018-03-06,19:11,19:11,18mu02023,dining hall,harassment/student misconduct,Monmouth University
2018-03-14,2018-03-14,07:56,07:56,18mu02243,cedar hall,criminal mischief,Monmouth University
