incident,case_number,date_reported,time_reported,date_occurred,time_occurred,location,university
Extortion,2019-0129,2019-04-23,12:20,2019-04-22,22:15,Osprey Hall BLDG Z,University of North Florida
Vandelism-Business,2019-0127,2019-04-22,01:49,2019-04-22,01:49,BLDG 50,University of North Florida
Theft of Bicycle,2019-0112,2019-04-18,16:17,2019-04-11,18:56,Osprey Crossings,University of North Florida
Theft of Bicycle,2018-0266,2019-04-17,16:06,2018-11-25,20:00,Osprey Crossings,University of North Florida
Vandalism to Vehicle,2019-0123,2019-04-17,12:17,2019-04-16,18:00,Lot 12,University of North Florida
Vandalism,2019-0117,2019-04-13,23:45,2019-04-13,23:36,Bldg 58E,University of North Florida
Theft,2019-0116,2019-04-12,16:41,2019-04-01,12:00,BLDG 39,University of North Florida
Assault,2019-0114,2019-04-11,23:06,2019-04-11,23:06,Osprey Crossings,University of North Florida
Theft,2019-0112,2019-04-11,18:56,2019-04-11,18:56,Osprey Crossing,University of North Florida
Theft,2019-0113,2019-04-11,18:30,2019-04-11,18:30,Osprey Village,University of North Florida
Grand Theft Vehicle Parts,2019-0109,2019-04-11,16:40,2019-04-06,14:30,Parking Lot 17 near,University of North Florida
Petit Theft-Bicycle,2019-0108,2019-04-11,11:00,2019-04-11,10:00,BLDG 57,University of North Florida
Theft,2019-0107,2019-04-09,19:51,2019-04-09,13:00,1 U N F Dr,University of North Florida
Assault,2019-0106,2019-04-09,16:10,2019-04-05,01:00,Osprey Fountains,University of North Florida
Possession Less Than 20 Gr Marijuana,2019-0100,2019-04-03,16:32,2019-04-03,16:32,1 U N F Dr/Lot 3,University of North Florida
Theft of MV Parts,2019-0097,2019-04-02,10:01,2019-03-29,14:00,Lot 34,University of North Florida
Theft,2019-0093,2019-03-30,10:30,2019-03-29,14:00,BLDG 57,University of North Florida
Expired Driver's License,NA,2019-03-15,09:48,2019-03-15,09:48,1 U N F Dr,University of North Florida
Larc Petit Theft 1st Degree 100 less 300,2019-0089,2019-03-12,18:25,2019-03-12,18:30,Building 16,University of North Florida
Burglary to Dwelling,2019-0086,2019-03-12,09:40,2019-03-04,16:32,Osprey Crossings,University of North Florida
Burglary,2019-0086,2019-03-11,15:45,2019-03-04,16:32,Osprey Crossings,University of North Florida
Larceny Petit Theft,2019-0085,2019-03-11,10:19,2019-03-01,14:00,The Flats 4850 First,University of North Florida
Burglary to Vehicle,2019-0080,2019-03-06,23:24,2019-03-06,16:30,The Flats,University of North Florida
Possess Marijuana,2019-0078,2019-03-06,12:25,2019-03-06,11:50,The Flats,University of North Florida
Dating Violence,NA,NA,NA,NA,NA,On-Campus Housing,University of North Florida
Domestic Disturbance,2019-0069,2019-02-20,13:10,2019-02-20,04:30,Osprey Flats,University of North Florida
Larc Petit Theft,2019-0063,2019-02-18,15:53,NA,NA,Lot 55,University of North Florida
POSSESSION OF marijuana,2019-0062,2019-02-13,20:30,2019-02-13,20:35,OSPREY LANDING,University of North Florida
Theft,2019-0059,2019-02-12,15:34,2019-02-10,14:45,Bldg 61 wellness,University of North Florida
Resisting Officer w/o Violence To His or Her Person,2019-0058,2019-02-11,20:08,2019-02-11,19:40,Bldg 38,University of North Florida
Burglary to a Dorm,2019-0055,2019-02-11,10:00,2019-02-08,14:00,Osprey Crossings,University of North Florida
Grand Theft,2019-0052,2019-02-08,08:28,2019-02-07,17:30,Bldg 15,University of North Florida
Possess Marijuana,2019-0046,2019-02-04,18:14,2019-02-04,18:14,Osprey Cove,University of North Florida
Possess Marijuana,2019-0045,2019-02-04,18:09,2019-02-04,18:09,NA,University of North Florida
Theft,2019-0043,2019-02-04,11:48,2019-02-01,13:00,Bldg 9,University of North Florida
Petit Theft,2019-0043,2019-02-01,16:03,2019-02-01,13:00,Bldg 8,University of North Florida
Petit Theft,2019-0042,2019-02-01,12:35,2019-02-01,12:35,Bldg 53,University of North Florida
Petit Theft-Bicycle,2019-0038,2019-01-29,17:39,2019-01-29,13:40,1 U N F Dr Bldg 57,University of North Florida
Petit Theft-Bicycle,2019-0034,2019-01-27,15:17,2019-01-13,16:00,The Flats,University of North Florida
Grand Theft,2019-0033,2019-01-26,22:01,2019-01-26,22:01,Bldg 45,University of North Florida
Battery Touch Or,2019-0031,2019-01-26,17:28,NA,NA,Osprey Crossings,University of North Florida
Petit Theft,2019-0032,2019-01-26,17:20,2019-01-03,14:50,Bldg 39,University of North Florida
Grand Theft Cell phone,2019-0018,2019-01-15,20:30,2019-01-15,20:10,Lake Oneida,University of North Florida
Grand Theft of Fire extinquisher,2019-0015,2019-01-15,13:45,2019-01-14,09:30,Bldg 44A,University of North Florida
Sexual Violence,NA,NA,NA,NA,NA,On-Campus Housing,University of North Florida
Battery Touch or strike,2019-0009,2019-01-08,19:52,2019-01-08,20:00,Osprey crossings R,University of North Florida
Vandalism to Vehicle,2019-0008,2019-01-08,12:25,2019-01-07,10:30,Lot 38,University of North Florida
Petit Theft,2019-0007,2019-01-07,19:38,2019-01-07,19:38,Bldg 16,University of North Florida
Grand Theft,2019-0005,2019-01-07,08:23,2019-01-04,14:00,Bldg 64,University of North Florida
Grand Theft,2019-0001,2019-01-02,09:00,2018-12-28,09:00,Bldg 44 and 44A,University of North Florida
Sexual Violence,NA,NA,NA,NA,NA,On-Campus Housing,University of North Florida
Fraudulent Use of credit card,2018-0288,2018-12-18,11:19,2018-12-18,09:48,Bldg 58W,University of North Florida
Fraud--Illegal Use credit card,2018-0288,2018-12-18,11:18,2018-12-18,09:48,"1 UNF Drive, Building",University of North Florida
Petit Theft,2018-0287,2018-12-09,21:50,2018-12-09,21:50,Osprey Village,University of North Florida
