incident,case_number,date_reported,time_reported,date_occurred,time_occurred,location,university
Driving w/o License,A0Y5C7P,2016-12-10,12:50,2016-12-10,12:50,1 UNF Dr,University of North Florida
Petit Theft,2016-0270,2016-12-09,21:11,2016-11-18,06:00,Bldg 16,University of North Florida
Information-Fire,2016-0288,2016-12-08,04:12,2016-12-08,03:00,Wooded area across,University of North Florida
Grand Theft,2016-0287,2016-12-07,15:45,2016-10-15,12:00,Osprey Cove,University of North Florida
Petit Theft,2016-0276,2016-12-06,08:00,2016-11-22,15:20,Building 16,University of North Florida
Petit Theft,2016-0276,2016-12-06,00:36,2016-11-22,15:20,Bldg 16,University of North Florida
Agg Battery LEO,2016-0282,2016-11-29,19:20,2016-11-29,18:45,NA,University of North Florida
Criminal Mischief,2016-0281,2016-11-29,16:30,2016-10-17,08:00,Osprey Crossings,University of North Florida
Criminal Mischief,2016-0280,2016-11-29,13:48,2016-11-28,13:00,Old Skatepark/Lot 18,University of North Florida
Driving While License suspended,A0Y55JP,2016-11-29,11:40,2016-11-29,11:40,Eco Rd and,University of North Florida
Petit Theft,2016-0279,2016-11-29,11:12,2016-08-25,11:00,Osprey Flats,University of North Florida
Grand Theft,2016-0278,2016-11-28,22:57,2016-11-23,12:00,Lot 14,University of North Florida
Grand Theft,2016-0278,2016-11-27,21:30,2016-11-27,12:00,Lot 14,University of North Florida
Petit Theft,2016-0276,2016-11-22,16:10,2016-11-22,15:20,Bldg 16,University of North Florida
Grand Theft,2016-0275,2016-11-22,13:20,2016-11-18,12:00,Lot 16,University of North Florida
Petit Theft,2016-0274,2016-11-22,09:00,2016-11-21,19:00,Bldg W,University of North Florida
Burglary Auto,2016-0273,2016-11-21,23:12,2016-11-21,11:00,UNF Parking Lots,University of North Florida
Petit Theft,2016-0272,2016-11-21,19:46,2016-11-21,18:40,Osprey Cove,University of North Florida
Agg. Battery/LEO,2016-0271,2016-11-21,19:24,2016-11-19,16:40,Osprey Cove,University of North Florida
Agg Battery on LEO,2016-0271,2016-11-19,11:59,2016-11-19,04:20,Bldg U,University of North Florida
Petit Theft,2016-0268,2016-11-19,06:38,2016-11-17,13:00,Bldg 12,University of North Florida
Petit Theft,2016-0270,2016-11-18,23:36,2016-11-18,06:00,Bldg 16,University of North Florida
Petit Theft,2016-0268,2016-11-17,14:05,2016-11-17,13:00,Bldg 12,University of North Florida
Petit Theft,2016-0267,2016-11-16,14:15,2016-11-16,13:30,Lot 14,University of North Florida
Information,2016-0265,2016-11-15,16:22,2016-11-09,23:00,Osprey Landing,University of North Florida
Information,2016-0264,2016-11-15,12:00,2016-10-31,12:00,Garage 44,University of North Florida
Information,2016-0258,2016-11-11,09:52,2016-11-10,21:20,11800 UNF Dr G301,University of North Florida
Petit Theft,2016-0256,2016-11-10,06:37,2016-04-01,12:00,Lot 9,University of North Florida
Battery,2016-0254,2016-11-09,21:50,2016-11-09,20:30,Lot 2,University of North Florida
Information,2016-0255,2016-11-09,04:30,2016-11-09,03:40,Bldg 12,University of North Florida
Petit Theft,2016-0250,2016-11-04,12:50,NA,NA,Lot 44 Suspended,University of North Florida
Petit Theft,2016-0249,2016-11-01,10:50,2016-11-01,10:40,Osprey Crossings Suspended,University of North Florida
Criminal Mischief,2016-0247,2016-11-01,07:59,2016-10-28,11:30,Bldg 3 Suspended,University of North Florida
Criminal Mischief,2016-0246,2016-10-28,14:38,2016-10-27,10:30,Lot 44 Suspended,University of North Florida
No Valid Driver's license,A0Y5GHP,2016-10-27,15:20,2016-10-27,15:20,Citation Issued,University of North Florida
Damaged Property,2016-0243,2016-10-27,12:50,2016-10-27,08:45,Garage 44 Closed,University of North Florida
Grand Theft,2016-0241,2016-10-26,18:16,2016-10-19,21:00,Student Union Unfounded,University of North Florida
Grand Theft,2016-0241,2016-10-24,18:00,2016-10-19,21:00,Osprey Landing Suspended,University of North Florida
Information,2016-0240,2016-10-24,11:50,2016-10-24,11:45,Osprey Fountains Closed,University of North Florida
Petit Theft,2016-0239,2016-10-24,11:00,2016-10-13,11:53,Osprey Fountains Cleared by arrest,University of North Florida
Petit Theft,2016-0238,2016-10-24,10:10,2016-10-20,08:30,Garage 38 Suspended,University of North Florida
Driving While License suspended,A0Y5FOP,2016-10-21,14:05,2016-10-21,14:05,1 UNF Dr & Alumni Dr Citation Issued,University of North Florida
Battery,2016-0233,2016-10-18,12:21,2016-10-17,23:15,The Cove Case Not Closed--,University of North Florida
Disorderly Intoxication,2016-0231,2016-10-17,04:50,2016-10-17,04:50,Osprey Hall Cleared by arrest,University of North Florida
Property-Lost,2016-0229,2016-10-14,15:00,2016-10-14,09:00,Unknown Information,University of North Florida
Property-Lost,2016-0228,2016-10-14,13:30,2016-10-13,11:00,1 UNF Drive Information,University of North Florida
Burglary/Dwelling-,2016-0164,2016-10-13,16:22,2016-08-05,07:30,Osprey Flats Suspended,University of North Florida
Burglary/Dwelling-,2016-0165,2016-10-13,16:19,2016-08-04,22:50,Osprey Flats Suspended,University of North Florida
Possible Stalking,2016-0214,2016-09-29,10:21,2016-09-26,22:30,Osprey Fountains Suspended,University of North Florida
Fraudulent Use of,2016-0215,2016-09-27,16:30,2016-09-27,16:30,Bdlg 58-Bkstr,University of North Florida
Possible Stalking,2016-0214,2016-09-27,16:00,2016-09-26,22:30,Osprey Fountains,University of North Florida
Criminal Mischief,2016-0212,2016-09-26,17:50,2016-09-22,19:00,Osprey Fountains,University of North Florida
Petit Theft,2016-0189,2016-09-26,01:29,2016-09-01,14:00,Bldg 42,University of North Florida
Petit Theft,2016-0210,2016-09-21,18:10,2016-09-20,18:00,Lot 44,University of North Florida
Warrant-VOP,2016-0207,2016-09-20,15:54,2016-09-20,15:54,1 UNF Dr,University of North Florida
Driving w/Suspended license,A0Y5FFP,2016-09-20,13:25,2016-09-20,13:25,Bldg 14,University of North Florida
Petit Theft,2016-0195,2016-09-19,13:57,2016-09-08,12:40,Bldg 58,University of North Florida
Grand Theft,2016-0203,2016-09-17,00:47,2016-09-16,09:46,Lot 10,University of North Florida
Petit Theft,2016-0204,2016-09-16,16:10,2016-09-15,20:30,Bldg 42,University of North Florida
Lost Property,2016-0206,2016-09-16,10:15,2016-09-16,12:30,Garage 38,University of North Florida
Petit Theft,2016-0199,2016-09-14,17:06,2016-09-11,21:15,Osprey Landing,University of North Florida
Grand Theft,2016-0152,2016-09-14,09:00,2016-05-10,11:26,Bldg 39,University of North Florida
Possess Marijuana,2016-0197,2016-09-13,20:00,2016-09-13,19:18,Osprey Landing,University of North Florida
Petit Theft,2016-0189,2016-09-13,15:32,2016-09-01,14:00,Bldg 42,University of North Florida
Driving While License suspended,A0Y5C3P,2016-09-11,09:45,2016-09-11,09:45,UNF Dr @ Lot 11,University of North Florida
Petit Theft,2016-0195,2016-09-09,13:00,2016-09-08,12:40,Bldg 58,University of North Florida
Leaving Scene of accident,A0Y5C2P,2016-09-08,12:10,2016-09-08,12:10,1 unf Dr/Lot 14,University of North Florida
Petit Theft,2016-0191,2016-09-07,09:30,2016-08-31,14:00,Bldg 12,University of North Florida
Petit Theft,2016-0186,2016-09-03,10:47,2016-08-31,17:00,Lot 18,University of North Florida
Harassing Phone Calls,2016-0184,2016-09-01,10:00,2016-09-01,05:59,Bldg 1,University of North Florida
Petit Theft,2016-0183,2016-08-31,09:45,2016-08-30,19:30,The Green,University of North Florida
Petit Theft,2016-0179,2016-08-29,16:40,2016-08-26,14:00,Bldg 17,University of North Florida
Petit Theft,2016-0179,2016-08-29,16:40,2016-08-26,14:00,Bldg 17,University of North Florida
Damaged Property,2016-0178,2016-08-29,11:45,2016-08-28,21:00,Lot 55,University of North Florida
Burglary to Vehicle,2016-0176,2016-08-28,15:00,2016-08-27,21:00,Osprey Fountains,University of North Florida
Criminal Mischief,2016-0175,2016-08-28,08:15,2016-08-28,08:15,Bldg 12,University of North Florida
Strong Arm Robbery,2016-0174,2016-08-28,03:45,2016-08-28,02:50,Osprey Cove,University of North Florida
Petit Theft,2016-0173,2016-08-25,20:40,2016-08-25,15:30,Bldg 58,University of North Florida
Criminal Mischief,2016-0169,2016-08-19,08:45,2016-08-17,09:00,Bldg 15,University of North Florida
Threatening/Harassing phone calls,2016-0168,2016-08-17,11:14,2016-08-17,08:03,Alumni Hall,University of North Florida
Driving While License suspended,A0Y52YP,2016-08-11,17:20,2016-08-11,17:20,UNF Dr/Lot 11,University of North Florida
Criminal Mischief,2016-0166,2016-08-08,07:41,2016-08-05,05:00,Bldg 15,University of North Florida
Burglary/Dwelling,2016-0165,2016-08-06,12:30,2016-08-04,22:50,4850 First Coast,University of North Florida
Burglary/Dwelling,2016-0164,2016-08-05,20:26,2016-08-05,07:30,4850 First Coast,University of North Florida
Grand Theft,2016-0163,2016-08-01,17:16,2016-08-01,13:00,Bldg 58,University of North Florida
Driving While License,A0Y52XP,2016-07-25,13:45,NA,NA,1 UNF Dr & Lot 11,University of North Florida
Criminal Mischief,2016-0157,2016-07-25,09:20,2016-07-22,17:00,B-46,University of North Florida
Burglary/Structure,2016-0154,2016-07-22,11:59,2016-07-20,18:00,Bldg 50,University of North Florida
Petit Theft,2016-0156,2016-07-21,13:48,2016-07-21,10:50,Building 39,University of North Florida
Information,2016-0155,2016-07-21,12:10,2016-07-19,07:00,Building 57,University of North Florida
Burglary/Structure,2016-0154,2016-07-21,08:36,2016-07-20,18:00,Building 50,University of North Florida
Grand Theft,2016-0152,2016-07-13,14:57,2016-05-10,11:26,Bldg 39,University of North Florida
Possess Marijuana &,2016-0151,2016-07-12,11:53,2016-07-12,11:25,Lot 11,University of North Florida
Possession of marijuana,2016-0149,2016-07-10,14:03,2016-07-10,13:40,Lot 11,University of North Florida
Petit Theft,2016-0150,2016-07-07,18:30,2016-07-07,20:30,Lot 18,University of North Florida
Driving with revoked license,2016-0144,2016-06-30,08:53,2016-06-30,07:37,Kernan Boulevard,University of North Florida
No Valid Driver's license,A0Y5BZP,2016-06-29,06:45,2016-06-29,06:45,UNF Dr/Eco Rd,University of North Florida
Grand Theft,2016-0141,2016-06-23,11:49,2014-12-18,09:00,Bldg 12,University of North Florida
Petit Theft,2016-0140,2016-06-18,11:15,2016-06-18,11:11,Bldg 61,University of North Florida
Petit Theft,2016-0138,2016-06-15,11:11,2016-06-13,17:00,Bldg 39A/4984,University of North Florida
Grand Theft,2016-0136,2016-06-15,10:29,2016-06-10,12:00,Bldg 39A-30,University of North Florida
Criminal Mischief,2016-0137,2016-06-14,15:52,2016-06-14,10:15,Bldg 44,University of North Florida
Theft of Intellectual,2016-0103,2016-06-14,11:47,2016-04-13,18:01,Bldg 58,University of North Florida
Possession of marijuana,2016-0120,2016-05-05,16:30,2016-05-05,14:56,UNF Dr-Lot 2,University of North Florida
Criminal Traffic violation,AY058AP,2016-05-05,14:56,2016-05-05,14:56,1 UNF DR/Lot 2,University of North Florida
Hit & Run,2016-0119,2016-05-02,12:51,2016-05-02,12:45,Parking Lot 4,University of North Florida
Petit Theft,2016-0118,2016-05-01,23:41,2016-05-01,19:45,Osprey Cove,University of North Florida
Petit Theft,2016-0170,2016-05-01,08:00,NA,NA,Osprey Flats,University of North Florida
Property--Found,2016-0117,2016-04-30,15:48,2016-04-30,13:48,4850 First Coast Tech,University of North Florida
Paraphernalia possession,2016-0115,2016-04-28,22:30,2016-04-28,22:15,Osprey Crossings,University of North Florida
Criminal Mischief,2016-0114,2016-04-28,16:45,2016-04-28,09:45,Lot 1,University of North Florida
Petit Theft,2016-0113,2016-04-28,15:21,2016-03-24,00:01,Lot 18,University of North Florida
Criminal Traffic,NA,2016-04-28,07:20,2016-04-28,07:20,Lot 10,University of North Florida
Battery,2016-0112,2016-04-28,02:11,2016-04-27,23:40,4654 Osprey Ridge,University of North Florida
Violation of Probation,2016-0111,2016-04-27,09:28,2016-04-27,11:37,4892 First Coast Tech,University of North Florida
Petit Theft,2016-0109,2016-04-25,12:55,2016-04-21,18:00,4850 First Coast Tech,University of North Florida
Theft of Intellectual,2016-0103,2016-04-20,14:12,2016-04-13,18:01,Bldg 58,University of North Florida
Criminal Mischief,2016-0104,2016-04-20,13:45,2016-04-18,18:45,Bldg 57,University of North Florida
Petit Theft,2016-0097,2016-04-14,12:45,2016-04-11,14:00,Osprey Cove,University of North Florida
Grand Theft,2016-0095,2016-04-13,16:30,2016-04-13,16:00,Bldg 46,University of North Florida
Burglary to Vechicle,2016-0094,2016-04-13,16:00,2016-04-10,12:00,Bldg 3,University of North Florida
Petit Theft,2016-0093,2016-04-13,10:30,2016-04-07,11:00,Lot 18,University of North Florida
Grand Theft,2016-0091,2016-04-11,12:50,2016-03-13,17:00,Lot 55,University of North Florida
Petit Theft,2016-0084,2016-04-05,12:40,2016-04-03,17:30,Bldg 61,University of North Florida
Criminal Mischief,2016-0088,2016-04-04,01:00,2016-04-01,19:00,Bldg 34,University of North Florida
Criminal Mischief,2016-0086,2016-04-02,01:00,2016-04-01,19:00,Osprey Cove,University of North Florida
Disorderly Intoxication,2016-0085,2016-04-01,21:55,2016-04-01,21:45,Bldg 34,University of North Florida
Disorderly Intoxication,2016-0085,2016-04-01,21:55,2016-04-01,21:45,Bldg 34,University of North Florida
Possess Drugs,2016-0079,2016-03-30,10:40,2016-03-30,09:50,Lot 12,University of North Florida
Battery,2016-0074,2016-03-24,20:09,2016-03-24,19:50,Osprey Ridge Rd,University of North Florida
Grand theft,2016-0072,2016-03-21,13:20,2016-03-21,12:35,Osprey Plaza,University of North Florida
Petit Theft,2016-0067,2016-03-04,18:33,2016-03-02,18:00,Bldg 16,University of North Florida
Petit Theft,2016-0062,2016-03-03,10:13,2016-02-16,10:30,Bldg 44,University of North Florida
Petit Theft,2016-0059,2016-03-01,14:08,2016-02-29,23:30,Bldg 44,University of North Florida
Possess Drugs,2016-0054,2016-02-22,15:14,2016-02-22,15:14,Osprey Fountains,University of North Florida
Theft of Motor Vehicle,2015-0250,2016-02-11,11:35,2015-09-05,20:30,Bldg 38,University of North Florida
Burglary to vehicle,2016-0032,2016-02-02,20:30,2016-02-02,15:50,Lot 18,University of North Florida
Burglary to vehicle,2016-0026,2016-01-26,23:55,2016-01-26,18:30,Osprey Flats,University of North Florida
Petit Theft,2015-0392,2015-12-27,08:32,2015-12-27,08:32,Bldg 10,University of North Florida
Petit Theft,2015-0391,2015-12-26,16:53,2015-12-25,20:39,Bldg 2,University of North Florida
Annoying/Abusive/Thr,2015-0355,2015-12-23,10:47,2015-11-01,11:06,The Flats,University of North Florida
Information,2015-0388,2015-12-18,07:24,2015-12-17,19:55,1 UNF Drive,University of North Florida
Fraudulent or Illegal,2015-0387,2015-12-17,07:55,NA,NA,Bldg 39,University of North Florida
Criminal Use of,2015-0387,2015-12-17,07:55,NA,NA,Bldg 39,University of North Florida
Burglary/Conveyance,2015-0386,2015-12-15,12:40,2015-12-14,14:00,Lot 18,University of North Florida
Battery,2015-0385,2015-12-11,01:29,2015-12-10,19:15,The Flats,University of North Florida
Stalking,2015-0384,2015-12-10,13:11,2015-12-02,08:00,The Flats,University of North Florida
Information,2015-0383,2015-12-09,17:30,2015-12-07,12:24,Osprey Crossings,University of North Florida
Petit Theft,2015-0381,2015-12-08,17:00,2015-11-20,23:00,Lot 17,University of North Florida
Possession of a,2015-0380,2015-12-07,17:23,2015-12-07,17:21,Osprey Landing,University of North Florida
Possession of a,2015-0380,2015-12-07,17:23,2015-12-07,17:21,Osprey Landing,University of North Florida
Property-Found,2015-0378,2015-12-06,01:00,2015-12-06,00:32,Lot 11,University of North Florida
Property-Damaged,2015-0376,2015-12-03,12:30,2015-12-03,12:05,Lot 10,University of North Florida
Information,2015-0375,2015-12-02,09:44,2015-12-01,12:00,Bldg 41,University of North Florida
Information,2015-0373,2015-12-01,23:50,2015-10-01,23:50,Osprey Fountains,University of North Florida
Trespass on School,2015-0372,2015-12-01,13:00,2015-12-01,12:27,The Flats,University of North Florida
Attach Tag Not,A0Y528P,2015-11-30,07:50,2015-11-30,07:50,UNF Dr @ Lot 1,University of North Florida
Driving While License suspended,A0Y527P,2015-11-29,12:12,2015-11-29,12:12,UNF Dr @ Lot 100,University of North Florida
No Valid DL,9724-GYD,2015-11-25,23:39,2015-11-25,23:39,Alumni Dr @ UNF Dr,University of North Florida
Missing Person,2015-0370,2015-11-25,13:54,2015-11-22,02:00,Osprey Village,University of North Florida
Grand Theft,2015-0330,2015-11-24,09:59,2015-10-29,13:30,Bldg 9,University of North Florida
Missing Person,2015-0370,2015-11-23,22:05,2015-11-22,02:00,1 UNF Drive,University of North Florida
No Valid DL,9772-GYD,2015-11-23,09:00,2015-11-23,09:00,1 UNF Dr @ Lot 12,University of North Florida
No Valid DL,9372-GYD,2015-11-21,02:12,2015-11-21,02:12,Osprey Ridge Rd,University of North Florida
Criminal Mischief,2015-0364,2015-11-19,12:09,2015-10-25,17:00,Bldg 45D,University of North Florida
No License for MC operation,A0Y522P,2015-11-19,11:30,2015-11-19,11:30,UNF Dr @ Lot 3,University of North Florida
Criminal Mischief,2015-0363,2015-11-19,11:30,2015-11-18,17:00,Bldg 58W,University of North Florida
Information,2015-0361,2015-11-18,11:52,2015-11-18,11:50,Bldg 52,University of North Florida
Possess Not More than 20 marijuana,2015-0360,2015-11-18,00:47,2015-11-17,23:46,Osprey Landing,University of North Florida
Missing Person-Other,2015-0358,2015-11-17,13:30,2015-11-17,13:30,Bldg 12,University of North Florida
Failure to Leave Info,A0Y4WZP,2015-11-16,21:00,2015-11-16,21:00,1 UNF Dr @ Garage,University of North Florida
Annoying/Abusive/Threatening/harrassing,2015-0355,2015-11-16,15:03,2015-11-01,11:06,The Flats,University of North Florida
Information,2015-0354,2015-11-15,16:10,2015-11-15,16:00,Bldg 41,University of North Florida
Disorderly Intoxication,2015-0353,2015-11-14,19:52,2015-11-14,19:52,Bldg 46,University of North Florida
Petit Theft,2015-0334,2015-11-13,14:10,2015-10-31,08:00,Osprey Fountains,University of North Florida
Operating While revoked for habitual traffic offender,2015-0352,2015-11-13,10:13,2015-11-13,10:13,Lot 11,University of North Florida
Driving While License,A0Y521P,2015-11-13,10:13,2015-11-13,10:13,UNF Dr @ Alumni Dr,University of North Florida
Operating a Motor,2015-0350,2015-11-12,12:44,2015-11-12,12:11,The Flats,University of North Florida
Tag Expired,A0Y51YP,2015-11-12,12:11,2015-11-12,12:11,First Coast Tech,University of North Florida
Information,2015-0349,2015-11-12,10:47,2015-11-12,06:30,The Green,University of North Florida
Attach Tag Not,A0Y51XP,2015-11-12,10:28,2015-11-12,10:28,UNF DR @ Garage 44,University of North Florida
Tampering with motor vehicle,2015-0348,2015-11-10,14:50,2015-11-08,22:30,Lot 17,University of North Florida
Battery,2015-0347,2015-11-10,13:05,2015-11-10,11:58,The Green,University of North Florida
Information,2015-0345,2015-11-09,22:40,2015-11-09,22:35,The Flats,University of North Florida
Battery-Cause Bodily,2015-0346,2015-11-09,22:12,2015-11-09,22:12,The Flats,University of North Florida
Petit Theft,2015-0344,2015-11-09,12:52,2015-11-06,09:50,Bldg 12,University of North Florida
No Driver's License,A0Y50CP,2015-11-09,10:01,2015-11-09,10:01,UNF Dr @ Alumni Dr,University of North Florida
Attach Tag Not,A0Y50DP,2015-11-09,10:01,2015-11-09,10:01,UNF Dr @ Alumni Dr,University of North Florida
Information,2015-0343,2015-11-07,13:18,2015-11-07,13:15,Lot 14,University of North Florida
Grand Theft,2015-0342,2015-11-07,04:33,2015-11-07,00:30,Lot 10,University of North Florida
Property-Found,2015-0341,2015-11-06,22:45,2015-11-06,22:30,Bldg 17,University of North Florida
Property-Damaged,2015-0339,2015-11-05,09:31,2015-11-05,09:20,1200 Alumni Drive,University of North Florida
Petit Theft,2015-0338,2015-11-04,16:22,2015-11-03,19:00,Bldg 12,University of North Florida
Information,2015-0337,2015-11-03,17:00,2015-11-01,12:57,Bldg 8,University of North Florida
Battery,2015-0335,2015-11-03,02:00,2015-11-02,22:10,The Flats,University of North Florida
"Use, or Possess with intent to use drug paraphernalia",2015-0333,2015-11-02,01:44,2015-11-02,01:24,Lot 18,University of North Florida
Possess Over 20 grams marijuana,2015-0333,2015-11-02,01:44,2015-11-02,01:24,Lot 18,University of North Florida
Possess Controlled substance,2015-0333,2015-11-02,01:44,2015-11-02,01:24,Lot 18,University of North Florida
Possess Marijuana,2015-0333,2015-11-02,01:44,2015-11-02,01:24,Lot 18,University of North Florida
Knowingly Operating,2015-0331,2015-10-31,13:27,2015-10-31,13:08,Lot 15,University of North Florida
Petit Theft,2015-0332,2015-10-31,13:26,2015-10-31,13:08,Lot 15,University of North Florida
Attach Tag or Sticker,A0Y508P,2015-10-31,13:02,2015-10-31,13:02,UNF Dr @ Alumni Dr,University of North Florida
Grand Theft,2015-0330,2015-10-29,17:05,2015-10-29,13:30,Bldg 9,University of North Florida
Criminal Mischief,2015-0327,2015-10-27,16:05,2015-10-27,13:30,Garage 44A,University of North Florida
Criminal Mischief,2015-0326,2015-10-27,14:00,2015-10-27,11:45,Garage 44A,University of North Florida
Grand Theft,2015-0324,2015-10-26,11:00,2015-10-15,23:30,The Flats,University of North Florida
Information,2015-0325,2015-10-26,10:55,2015-10-26,09:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0323,2015-10-26,10:15,2015-10-24,12:20,Bldg 17,University of North Florida
Trespass on Property,2015-0322,2015-10-24,11:30,2015-10-24,11:30,The Flats,University of North Florida
Disorderly Intoxication,2015-0321,2015-10-24,03:00,2015-10-24,01:30,Osprey Cove,University of North Florida
Possess Controlled,2015-0321,2015-10-24,03:00,2015-10-24,01:30,Osprey Cove,University of North Florida
Petit Theft,2015-0320,2015-10-22,11:03,2015-10-19,20:00,Osprey Fountains,University of North Florida
Smuggle benzodiazepine,2015-0319,2015-10-21,16:45,2015-10-15,14:32,18100 UNF Drive,University of North Florida
Petit Theft,2015-0320,2015-10-21,15:20,2015-10-19,20:00,Osprey Fountains,University of North Florida
Petit Theft,2015-0318,2015-10-20,15:35,2015-10-13,20:00,Lot 11,University of North Florida
Criminal Mischief,2015-0317,2015-10-19,15:01,2015-10-19,08:00,The Flats,University of North Florida
Petit Theft,2015-0316,2015-10-17,11:15,2015-10-16,21:00,Bldg 16,University of North Florida
Petit Theft,2015-0315,2015-10-16,14:40,2015-10-16,13:05,Osprey Fountains,University of North Florida
Preventing or,2015-0314,2015-10-15,01:55,2015-10-15,01:40,Osprey Landing,University of North Florida
Possess Marijuana,2015-0314,2015-10-15,01:55,2015-10-15,01:40,Osprey Landing,University of North Florida
Possess Over 20 grams marijuana,2015-0314,2015-10-15,01:55,2015-10-15,01:40,Osprey Landing,University of North Florida
Possess Controlled substance,2015-0314,2015-10-15,01:55,2015-10-15,01:40,Osprey Landing,University of North Florida
"Use, or Possess with intent to use drug paraphernalia",2015-0314,2015-10-15,01:55,2015-10-15,01:40,Osprey Landing,University of North Florida
Information,2015-0312,2015-10-12,16:04,2015-10-12,13:25,Osprey Crossings,University of North Florida
Petit Theft,2015-0311,2015-10-12,13:55,2015-10-07,14:00,Osprey Flats,University of North Florida
Petit Theft,2015-0308,2015-10-10,14:47,2015-10-10,14:10,Bldg 12,University of North Florida
Trespass on Property,2015-0309,2015-10-10,03:37,2015-10-10,03:37,Osprey Hall,University of North Florida
Information,2015-0307,2015-10-09,22:30,2015-10-07,22:45,Osprey Crossings,University of North Florida
Criminal Mischief,2015-0305,2015-10-09,17:30,2015-09-24,21:00,Garage 38,University of North Florida
Criminal Mischief,2015-0303,2015-10-08,13:54,2015-10-08,13:30,Osprey Hall,University of North Florida
Petit Theft,2015-0301,2015-10-06,16:38,2015-10-06,11:00,Lot 2,University of North Florida
Criminal Mischief,2015-0301,2015-10-06,16:38,2015-10-06,11:00,Lot 2,University of North Florida
Possess Not More,2015-0299,2015-10-05,10:03,2015-10-05,10:03,3864 St  Johns Bluff,University of North Florida
Possess Not More than 20 marijuana,2015-0295,2015-10-03,10:16,2015-10-03,10:16,Lot 2,University of North Florida
Unlawful Disp of,A0Y4YLP,2015-10-03,07:42,2015-10-03,07:42,Lot 55,University of North Florida
Unlawful Disp of,A0Y4YKP,2015-10-03,07:17,2015-10-03,07:17,Lot 55,University of North Florida
Petit Theft,2015-0294,2015-10-02,17:17,2015-10-01,12:05,4892 First Coast Tech,University of North Florida
Information,2015-0293,2015-10-02,09:44,2015-08-31,16:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0292,2015-10-01,00:14,2015-09-26,09:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0292,2015-10-01,00:14,2015-09-26,09:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0292,2015-10-01,00:14,2015-09-26,09:00,Osprey Fountains,University of North Florida
Petit Theft,2015-0292,2015-10-01,00:14,2015-09-26,09:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0292,2015-10-01,00:14,2015-09-26,09:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0292,2015-10-01,00:14,2015-09-26,09:00,Osprey Fountains,University of North Florida
Theft of Credit Card,2015-0292,2015-10-01,00:14,2015-09-26,09:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0292,2015-10-01,00:14,2015-09-26,09:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0292,2015-09-29,18:20,2015-09-26,09:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0292,2015-09-29,18:20,2015-09-26,09:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0292,2015-09-29,18:20,2015-09-26,09:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0292,2015-09-29,18:20,2015-09-26,09:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0292,2015-09-29,18:20,2015-09-26,09:00,Osprey Fountains,University of North Florida
Fraudulent or Illegal use of credit cards,2015-0292,2015-09-29,18:20,2015-09-26,09:00,Osprey Fountains,University of North Florida
Petit Theft,2015-0292,2015-09-29,18:20,2015-09-26,09:00,Osprey Fountains,University of North Florida
Theft of Credit Card,2015-0292,2015-09-29,18:20,2015-09-26,09:00,Osprey Fountains,University of North Florida
Driving Vehicle In Race,A0Y4YJP,2015-09-27,12:34,2015-09-27,12:34,UNF Dr @ Lot 100,University of North Florida
Driving Vehicle In Race,A0Y4YHP,2015-09-27,12:34,2015-09-27,12:34,UNF Dr @ Lot 100,University of North Florida
Violation of Municiple,A0Y4TGP,2015-09-27,12:34,2015-09-27,12:34,UNF Dr @ Lot 100,University of North Florida
Driving While License suspended,A0Y4YFP,2015-09-27,11:06,2015-09-27,11:06,Town Center Pkwy @,University of North Florida
Property-Damaged,2015-0290,2015-09-26,12:00,2015-09-25,13:00,Lot 65,University of North Florida
Driving While License suspended,A0Y4YDP,2015-09-25,12:11,2015-09-25,12:11,UNF Dr @ Lot 100,University of North Florida
Knowingly Operating while DL suspended,2015-0289,2015-09-25,12:11,2015-09-25,12:11,Lot 12,University of North Florida
Driving While License suspended,A0Y4W4P,2015-09-25,09:55,2015-09-25,09:55,Eco Rd & N Entrance,University of North Florida
Property-Lost,2015-0288,2015-09-23,13:55,2015-09-22,10:40,Bldg 6,University of North Florida
Burglary/Conveyance;,2015-0287,2015-09-23,06:15,2015-09-15,15:30,Lot 2,University of North Florida
Grand Theft,2015-0286,2015-09-22,22:10,2015-09-17,00:01,Osprey Hall,University of North Florida
Petit Theft,2015-0284,2015-09-21,16:00,2015-08-21,10:00,Bldg 50,University of North Florida
Burglary/Conveyance;,2015-0282,2015-09-21,14:44,2015-09-20,23:30,The Flats,University of North Florida
Burglary/Conveyance;,2015-0283,2015-09-21,14:40,2015-09-20,22:00,The Flats,University of North Florida
