date_reported,incident,time_occurred,case_number,date_occurred,time_reported,location,university
2017-08-25,"theft from building, off campus, 11 winthrop st, med/som",16:00,17tum‐446‐of,2017-08-21,NA,NA,Tufts University
2017-09-06,"theft from building, off campus, 5 the green , med/som",09:30,17tum‐470‐of,2017-09-06,NA,NA,Tufts University
2017-09-05,"disorderly conduct, off campus, college ave, somerville",16:20,17tum‐468‐of,2017-09-05,NA,NA,Tufts University
2017-09-04,"destruction / damage / vandalism of property, off campus, 55 professors row, med/som",14:05,17tum‐463‐of,2017-09-04,NA,NA,Tufts University
2017-09-04,"suspicion of drug use (university policy), off campus, 11 winthrop st, med/som",22:00,17tum‐465‐of,2017-09-04,NA,NA,Tufts University
2017-09-10,"theft from building, off campus, college ave, somerville",23:00,17tum‐497‐of,2017-09-09,NA,NA,Tufts University
2017-09-10,"act of intolerance, sexual orientation (university policy), off campus, boston ave, medford",11:00,17tum‐500‐of,2017-08-15,NA,NA,Tufts University
2017-09-16,"traffic, town by‐law offenses, off campus, college ave, somerville",02:45,17tum‐516‐of,2017-09-16,NA,NA,Tufts University
2017-09-15,"theft from building, off campus, 170 packard ave, med/som",13:15,17tum‐511‐of,2017-09-15,NA,NA,Tufts University
2017-09-17,"noise violation (university policy), off campus, emery st, medford",23:09,17tum‐522‐of,2017-09-16,NA,NA,Tufts University
2017-09-17,"noise violation (university policy), off campus, 167 college ave, med/som",23:07,17tum‐523‐of,2017-09-16,NA,NA,Tufts University
2017-09-17,"noise violation (university policy), off campus, 100 packard ave, med/som",23:12,17tum‐524‐of,2017-09-16,NA,NA,Tufts University
2017-09-17,"destruction / damage / vandalism of property, off campus, 43 latin way, med/som",00:18,17tum‐526‐of,2017-09-17,NA,NA,Tufts University
2017-09-16,"noise violation (university policy), off campus, capen st, medford",22:18,17tum‐521‐of,2017-09-16,NA,NA,Tufts University
2017-09-17,"theft from building, off campus, 163 college ave, med/som",11:00,17tum‐533‐of,2017-03-26,NA,NA,Tufts University
2017-09-22,"liquor law violation, off campus, 344 boston ave, med/som",01:46,17tum‐553‐of,2017-09-22,NA,NA,Tufts University
2017-09-21,"larceny, other type, off campus, emery st, medford",15:00,17tum‐550‐of,2017-09-19,NA,NA,Tufts University
2017-09-21,"theft from building, off campus, 35 professors row, med/som",16:20,17tum‐551‐of,2017-09-21,NA,NA,Tufts University
2017-09-22,"destruction / damage / vandalism of property, off campus, 30 lower campus rd, med/som",00:00,17tum‐554‐of,2017-09-20,NA,NA,Tufts University
2017-09-23,"larceny, other type, off campus, 100 talbot ave, med/som",11:00,17tum‐560‐of,2017-09-18,NA,NA,Tufts University
2017-09-20,"theft from building, off campus, 25 latin way, med/som",11:00,17tum‐548‐of,2017-09-12,NA,NA,Tufts University
2017-10-01,"destruction / damage / vandalism of property, off campus, 30 lower campus rd, med/som",00:36,17tum‐600‐of,2017-10-01,NA,NA,Tufts University
2017-09-30,"fire violation, miscellaneous, off campus, 106 professors row, med/som",00:26,17tum‐595‐of,2017-09-30,NA,NA,Tufts University
2017-09-28,"larceny, other type, off campus, 25 latin way, med/som",07:00,17tum‐591‐of,2017-09-26,NA,NA,Tufts University
2017-09-27,"traffic, town by‐law offenses, off campus, ship ave, medford",17:32,17tum‐589‐of,2017-09-27,NA,NA,Tufts University
2017-10-03,"traffic, town by‐law offenses, off campus, main st, medford",15:56,17tum‐615‐of,2017-10-03,NA,NA,Tufts University
2017-10-06,"act of intolerance, sexual orientation (university policy), off campus, 175 packard ave, med/som",22:26,17tum‐634‐of,2017-10-06,NA,NA,Tufts University
2017-10-04,"act of intolerance, race/ethnicity/nat'l origin (university policy), off campus, 474 boston ave, med/som",01:00,17tum‐618‐of,2017-10-04,NA,NA,Tufts University
2017-10-04,"theft from building, off campus, 474 boston ave, med/som",13:13,17tum‐619‐of,2017-05-01,NA,NA,Tufts University
2017-10-03,"larceny, other type, off campus, berwick rd, medford",10:49,17tum‐613‐of,2017-10-03,NA,NA,Tufts University
2017-10-12,"disorderly conduct, off campus, mount auburn st, cambridge",17:30,17tum‐656‐of,2017-10-11,NA,NA,Tufts University
2017-10-14,"abuse prevention order, violate, off campus, college ave, somerville",16:05,17tum‐69‐ar,2017-10-14,NA,NA,Tufts University
2017-10-14,"trespass of real property, off campus, 160g college ave, med/som",21:26,17tum‐667‐of,2017-10-14,NA,NA,Tufts University
2017-10-13,"theft from building, off campus, 35 professors row, med/som",11:00,17tum‐659‐of,2017-10-12,NA,NA,Tufts University
2017-10-12,"harassment, criminal, off campus, 163 college ave, med/som",10:01,17tum‐657‐of,2017-10-12,NA,NA,Tufts University
2017-10-18,"traffic, town by‐law offenses, off campus, 419 boston ave, med/som",15:00,17tum‐678‐of,2017-10-18,NA,NA,Tufts University
2017-10-17,"destruction / damage / vandalism of property, off campus, 490 boston ave, med/som",17:00,17tum‐674‐of,2017-10-16,NA,NA,Tufts University
2017-10-25,"destruction / damage / vandalism of property, off campus, 40 talbot ave, somerville",09:00,17tum‐701‐of,2017-10-24,NA,NA,Tufts University
2017-10-30,"theft from building, off campus, 30 lower campus rd, med/som",05:59,17tum‐727‐of,2017-10-30,NA,NA,Tufts University
2017-10-28,"aggravated assault, off campus, capen st, medford",16:00,17tum‐716‐of,2017-10-28,NA,NA,Tufts University
2017-11-01,"liquor law violation (city ordinance), off campus, professors row, med/som",01:25,17tum‐80‐ar,2017-11-01,NA,NA,Tufts University
2017-10-31,"traffic, town by‐law offenses, off campus, , med/som",07:30,17tum‐730‐of,2017-10-21,NA,NA,Tufts University
2017-10-31,"destruction / damage / vandalism of property, off campus, 387 boston ave, med/som",09:30,17tum‐734‐of,2017-10-31,NA,NA,Tufts University
2017-10-26,"traffic, town by‐law offenses, off campus, 160 college ave, med/som",11:33,17tum‐704‐of,2017-10-26,NA,NA,Tufts University
2017-11-06,"larceny, other type, off campus, 419 boston ave, med/som",23:25,17tum‐750‐of,2017-11-06,NA,NA,Tufts University
2017-11-18,"destruction / damage / vandalism of property, off campus, 15 talbot ave, med/som",23:50,17tum‐774‐of,2017-11-17,NA,NA,Tufts University
2017-11-18,"intimidation, off campus, 44 professors row, med/som",23:50,17tum‐775‐of,2017-11-17,NA,NA,Tufts University
2017-11-17,"traffic, town by‐law offenses, off campus, 167 holland st, med/som",10:00,17tum‐773‐of,2017-11-17,NA,NA,Tufts University
2017-11-16,"destruction / damage / vandalism of property, off campus, 20 talbot ave, med/som",00:01,17tum‐770‐of,2017-11-14,NA,NA,Tufts University
2017-11-23,"theft from building, off campus, oak st, duxbury",00:00,17tum‐788‐of,2017-11-20,NA,NA,Tufts University
2017-12-08,"theft from building, off campus, 163 college ave, med/som",12:15,17tum‐814‐of,2017-12-08,NA,NA,Tufts University
2017-12-10,"forcible fondling, off campus, curtis st, somerville",00:19,17tum‐818‐of,2017-12-10,NA,NA,Tufts University
2017-12-11,"theft from building, off campus, 25 latin way, med/som",20:00,17tum‐824‐of,2017-12-09,NA,NA,Tufts University
2017-11-21,"traffic, town by‐law offenses, off campus, 160 college ave, med/som",09:00,17tum‐781‐of,2017-11-20,NA,NA,Tufts University
2017-12-12,"disorderly conduct, off campus, college ave, medford",15:45,17tum‐826‐of,2017-12-12,NA,NA,Tufts University
2017-12-09,"malicious fire extinguisher discharge (university policy), off campus, 210 packard ave, med/som",02:29,17tum‐817‐of,2017-12-09,NA,NA,Tufts University
2017-12-03,"trespass of real property, off campus, 126 packard ave, med/som",23:45,17tum‐803‐of,2017-12-02,NA,NA,Tufts University
2017-10-15,"theft from building, off campus, 200 college ave, med/som",10:22,17tum‐670‐of,2017-10-15,NA,NA,Tufts University
2017-12-04,"theft from building, off campus, 165 college ave, med/som",10:00,17tum‐805‐of,2017-11-22,NA,NA,Tufts University
