case_number,date_reported,time_reported,date_occurred,time_occurred,location,university,incident
17-329,2017-03-04,03:11,NA,NA,"Facility Services, 5920 Aztec Circle Dr, San Diego",San Diego State University,Vehicle Theft
17-330,2017-03-05,09:59,2017-03-04,08:00,"Sigma Alpha Epsilon Fraternity, 5076 College Pl, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
17-332,2017-03-06,00:41,2017-03-06,01:13,"7-11, 6000 Lindo Paseo Av, San Diego",San Diego State University,Under Influence Cntl Sub
17-333,2017-03-06,08:34,2017-03-03,08:41,"Conrad Prebys Aztec Student Unio, 6075 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-335,2017-03-06,01:57,2017-03-06,02:40,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Petty Theft
17-336,2017-03-06,02:06,2017-02-26,02:45,"Fiji House, 5804 Montezuma Rd, San Diego",San Diego State University,Burglary:Inhbtd Dwelling 1st Degree Vandalism ($400 or less) -Misd
17-338,2017-03-06,09:04,2017-03-06,09:04,"Parking 1, 5355 College Av, San Diego",San Diego State University,Vandalism:deface Property
17-34,2017-01-13,06:56,2017-01-12,06:00,"Peterson Gym, 5340 55TH St, San Diego",San Diego State University,Petty Theft
17-341,2017-03-06,01:04,2017-03-06,01:00,"Alberts College Apartments Elaine Plaza, 5460 55TH St, San Diego",San Diego State University,Attempted Burglary
17-344,2017-03-07,05:45,2017-03-07,06:20,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
17-345,2017-03-07,08:41,2017-03-07,08:15,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
17-347,2017-03-08,08:48,2017-03-08,04:21,"Facility Services, 5920 Aztec Circle Dr, San Diego",San Diego State University,Burglary Grand Theft
17-348,2017-03-08,03:29,2017-03-07,06:01,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
17-35,2017-01-13,09:21,2016-12-17,08:50,"Music, 5310 Campanile Dr, San Diego",San Diego State University,Vandalism Less than $400
17-352,2017-03-09,08:15,2017-03-08,08:00,"International Student Center, 5520 Aztec Circle Dr, San Diego",San Diego State University,Vandalism:damage Property
17-353,2017-03-09,02:34,2017-03-08,09:00,"Parking 12, 5530 Aztec Circle Dr, San Diego",San Diego State University,Hit&run Prop Damag:notify
17-354,2017-03-09,05:00,NA,NA,"Parking 14, 5625 Aztec Circle Dr, San Diego",San Diego State University,Display Unauth Disabled Placard
17-355,2017-03-09,06:03,2017-03-09,05:50,"Parking 3, 5205 East Campus Dr, San Diego",San Diego State University,Petty Theft
17-357,2017-03-09,09:11,2017-03-09,08:51,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Robbery:first Degree Asslt w/Deadly Weapon:Not Firearm Conspiracy:commit Crime
17-361,2017-03-10,04:21,2017-03-07,09:40,"Fowler Athletic Center, 5302 55TH St, San Diego",San Diego State University,Petty Theft
17-364,2017-03-10,07:35,2017-03-10,07:35,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Violation Of Parole:fel Outside Agency Warrant Poss Cntrlld Substnc Paraphernalia Unlawful to Sel/Poss/Transp Tear Gas/Tear Gas Wpn False Id To Specific Police Officer
17-366,2017-03-10,02:57,2017-03-10,02:00,"Conrad Prebys Aztec Student Unio, 6075 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-367,2017-03-10,03:46,2017-03-10,03:46,"Alberts College Apartments Jorda, 5484 55TH St, San Diego",San Diego State University,Send/Etc False Fire Alarm
17-368,2017-03-11,00:24,2017-03-11,00:24,"Starbucks Coffee At College Squa, 6000 Lindo Paseo Av, San Diego",San Diego State University,Rec Knwn Stoln Prop -$950 Outside Agency Warrant
17-369,2017-03-11,08:27,2017-03-11,09:20,"Cvs Pharmacy, 6265 El Cajon Bl, San Diego",San Diego State University,Sell/Etc Liquor To Minor
17-371,2017-03-12,00:13,2017-03-12,00:24,"5700 Hardy Av, San Diego",San Diego State University,Minor Possess Alcohol
17-373,2017-03-12,03:36,2017-03-12,03:36,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Drive W/O License
17-374,2017-03-13,01:55,2017-03-13,01:45,"Tepeyac Residence Hall, 5150 East Campus Dr, San Diego",San Diego State University,"Robbery Battery: Spouse/Ex Spouse/Date,etc."
17-376,2017-03-13,05:20,NA,NA,"Education And Business Administr, 6040 Aztec Circle Dr, San Diego",San Diego State University,Vandalism:damage Property Petty Theft
17-377,2017-03-13,05:43,2017-03-13,06:00,"63RD St/Montezuma Rd, San Diego",San Diego State University,Drive W/O License
17-378,2017-03-13,06:56,2017-03-13,06:56,"Parking 7, 5100 55TH St, San Diego",San Diego State University,False Imprison W/Violence Damge/Destry Wireless Comm Device Obstruct Public Officer
17-38,2017-01-13,05:22,2016-01-12,05:00,"Toltec Residence Hall, 5460 55TH St, San Diego",San Diego State University,Hit&run Prop Damag:notify
17-382,2017-03-13,05:49,NA,NA,"South Campus Plaza Garage, 5850 Lindo Paseo Av, San Diego",San Diego State University,Vandalism Less than $400
17-384,2017-03-13,09:15,2017-03-13,09:15,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Send/Etc False Fire Alarm
17-388,2017-03-14,02:27,2017-03-14,02:00,"Parking 12, 5530 Aztec Circle Dr, San Diego",San Diego State University,Vandalism:deface Property
17-389,2017-03-14,01:53,2017-03-10,00:00,"Chapultepec Residence Hall, 5400 Remington Rd, San Diego",San Diego State University,Petty Theft
17-39,2017-01-14,00:27,2017-01-14,00:15,"5555 Mary Lane Dr, San Diego",San Diego State University,"Battery: Spouse/Ex Spouse/Date,etc."
17-391,2017-03-15,00:28,2017-03-15,00:52,"East Campus Dr/Montezuma Rd, San Diego",San Diego State University,Poss Controlled Substance-M
17-394,2017-03-15,07:51,NA,NA,"Starbucks Coffee At Asu, 6075 Aztec Circle Dr, San Diego",San Diego State University,Shoplift
17-395,2017-03-15,02:21,2017-03-15,02:45,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Disord Conduct:alcohol
17-399,2017-03-16,03:34,2017-03-15,04:00,"Parking 12, 5530 Aztec Circle Dr, San Diego",San Diego State University,Hit&run Prop Damag:notify
17-4,2017-01-03,08:44,2017-01-03,08:44,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Vandalism ($400 or More)-Fel Possess Drill/Etc:int:vandlz
17-40,2017-01-14,04:20,NA,NA,"Life Sciences South, 5445 Campanile Dr, San Diego",San Diego State University,Burglary
17-402,2017-03-17,01:26,2017-03-17,02:44,"5800 Montezuma Rd, San Diego",San Diego State University,Drive W/License Suspended
17-404,2017-03-17,01:27,2017-03-17,00:30,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
17-405,2017-03-17,01:42,2017-03-17,01:40,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+ Vandalism:damage Property
17-408,2017-03-18,04:06,2017-03-17,03:00,"Zura Residence Hall, 6124 Montezuma Rd, San Diego",San Diego State University,Petty Theft
17-411,2017-03-19,08:44,NA,NA,"Gateway, 5250 Campanile Dr, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
17-413,2017-03-20,04:37,2017-03-19,04:35,"Office Of Housing Administration, 6050 Montezuma Rd, San Diego",San Diego State University,Burglary
17-414,2017-03-20,00:42,2017-03-17,00:30,"Zura Residence Hall, Cuicacalli Walk, San Diego",San Diego State University,Petty Theft
17-415,2017-03-20,03:29,2017-03-20,03:10,"East Commons Market, 5975 Aztec Circle Drive, San Diego",San Diego State University,Petty Theft
17-416,2017-03-20,08:24,2017-03-20,08:15,"Parking 6, 5585 Hardy Av, San Diego",San Diego State University,Vandalism Less than $400
17-417,2017-03-20,00:40,2017-03-20,05:00,"Parking 17, 6115 Alvarado Rd, San Diego",San Diego State University,Hit&run Prop Damag:notify
17-418,2017-03-20,00:39,2017-03-12,09:30,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,Rape: Victim incapable of consent
17-42,2017-01-14,07:11,2017-01-14,07:30,"Parking 6B, 5575 Hardy Av, San Diego",San Diego State University,Drive W/License Suspended
17-420,2017-03-21,01:41,2017-03-21,00:50,"East Commons Convenience Store, 5965 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-422,2017-03-21,09:58,2017-03-21,09:45,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
17-424,2017-03-21,02:18,2017-03-21,03:00,"Life Sciences South, 5445 Campanile Dr, San Diego",San Diego State University,Violation of SDSU Grounds Policy
17-426,2017-03-22,08:56,2017-03-21,08:30,"Gamma Phi Beta Sorority, 6123 Montezuma Rd, San Diego",San Diego State University,Tamper With Vehicle
17-428,2017-03-22,02:12,2017-03-21,03:45,"Gamma Phi Beta Sorority, 6123 Montezuma Rd, San Diego",San Diego State University,Tamper With Vehicle
17-43,2017-01-16,00:36,2017-01-16,00:36,"Dede Alpert Ctr For Community En, 4283 El Cajon Bl, San Diego",San Diego State University,Possess Stolen Vehicle
17-430,2017-03-23,04:19,NA,NA,"Parking 1, 5355 College Av, San Diego",San Diego State University,Vandalism Less than $400
17-431,2017-03-23,09:03,2017-03-23,09:08,"5500 Lindo Paseo Av, San Diego",San Diego State University,Drive W/O License
17-436,2017-03-26,00:54,2017-03-25,09:30,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,Vandalism Less than $400
17-439,2017-03-27,02:43,NA,NA,"South Campus Plaza Garage, 5850 Lindo Paseo Av, San Diego",San Diego State University,Vandalism Less than $400
17-441,2017-03-27,08:38,2017-03-27,08:55,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Vandalism:deface Property
17-442,2017-03-27,09:40,2017-03-27,06:30,"Parking 1, 5355 College Av, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
17-443,2017-03-27,00:30,2017-03-27,00:30,"Parking 1, 5355 College Av, San Diego",San Diego State University,Opn Alc Cntnr/City or Cnty Park
17-444,2017-03-28,05:00,2017-03-28,02:00,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Attempted Robbery Conspiracy:commit Crime
17-445,2017-03-28,02:14,2017-03-28,02:28,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Poss Cntrlld Substnc Paraphernalia
17-446,2017-03-28,02:52,2017-03-28,03:00,"The Den, 5840 Hardy Av, San Diego",San Diego State University,Disrd Condct:Lodge Closed Pub/Priv Bldg
17-447,2017-03-28,03:33,2017-03-28,03:30,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
17-448,2017-03-29,09:24,2017-03-29,09:10,"Parking 17, 6115 Alvarado Rd, San Diego",San Diego State University,Hit&run Prop Damag:notify
17-45,2017-01-16,08:55,2017-01-16,08:15,"Peterson Gym, 5340 55TH St, San Diego",San Diego State University,Vandalism:damage Property
17-451,2017-03-30,09:50,2017-03-30,09:50,"Parking 3, 5205 East Campus Dr, San Diego",San Diego State University,Vandalism ($400 or More)-Fel Tamper/Etc W/Firealrm/Etc
17-456,2017-03-31,03:26,2017-03-31,03:26,"Extended Studies Center, 5701 Hardy Av, San Diego",San Diego State University,Contempt:disobey Crt Ordr Violation of SDSU Grounds Policy
17-458,2017-04-01,06:24,2017-03-31,06:24,"Administration, 5375 Campanile Dr, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
17-459,2017-04-01,07:54,2017-03-31,07:45,"Olmeca Residence Hall, 6050 Lindo Paseo Av, San Diego",San Diego State University,Burglary:second Degree
17-460,2017-04-01,08:43,2017-04-01,06:10,"Zura Residence Hall, 6124 Montezuma Rd, San Diego",San Diego State University,Burglary:second Degree
17-461,2017-04-01,01:05,2017-03-30,01:05,"Administration, 5375 Campanile Dr, San Diego",San Diego State University,Petty Theft
17-464,2017-04-03,07:54,2017-03-30,07:00,"Faculty Staff Club, 5385 Campanile Dr, San Diego",San Diego State University,Burglary Vandalism:deface Property
17-465,2017-04-03,01:31,2017-04-03,00:50,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-467,2017-04-03,06:38,2017-03-24,08:00,"Tacuba Residence Hall, 5150 East Campus Dr, San Diego",San Diego State University,Burglary Petty Theft
17-469,2017-04-04,03:18,2017-04-04,03:18,"Conrad Prebys Aztec Student Unio, 6075 Aztec Circle Dr, San Diego",San Diego State University,Poss Cntrlld Substnc Paraphernalia
17-471,2017-04-04,02:23,2017-03-31,09:00,"Piedra Del Sol Parking Lot, 5504 Lindo Paseo Av, San Diego",San Diego State University,Petty Theft
17-472,2017-04-04,05:22,2017-04-04,05:48,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
17-473,2017-04-04,09:02,2017-04-04,09:17,"5400 Montezuma Rd, San Diego",San Diego State University,Drive W/License Suspended Expired Registration
17-475,2017-04-04,03:58,2017-04-04,03:58,"College Av/Interstate 8, San Diego",San Diego State University,Drive W/License Suspended
17-48,2017-01-17,03:58,2017-01-17,00:10,"4800 College Av, San Diego",San Diego State University,Drive W/License Suspended
17-482,2017-04-06,02:21,2017-04-06,02:21,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-483,2017-04-06,04:00,NA,NA,"Alvarado Medical Center Bldg 6, 6361 Alvarado Ct, San Diego",San Diego State University,Petty Theft
17-484,2017-04-06,04:47,2017-04-06,04:47,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-485,2017-04-07,09:18,2017-04-07,09:18,"Starbucks, 6000 Lindo Paseo Av, San Diego",San Diego State University,Poss Controlled Substance-M Prob Viol: M
17-486,2017-04-07,02:37,2017-04-02,08:00,"Parking 3, 5205 East Campus Dr, San Diego",San Diego State University,Vandalism:deface Property
17-489,2017-04-08,08:29,2017-04-08,08:29,"South Campus Plaza Garage, 5850 Lindo Paseo Av, San Diego",San Diego State University,Tamper/Etc W/Firealrm/Etc
17-49,2017-01-17,03:35,2017-01-17,03:48,"Rockford Dr/Pontiac St, San Diego",San Diego State University,Drive W/O License
17-490,2017-04-08,01:51,2017-04-08,02:15,"5700 Hardy Av, San Diego",San Diego State University,Poss Controlled Substance-M
17-492,2017-04-09,02:42,2017-04-09,02:42,"Parking 12- Level 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,Tamper/Etc W/Firealrm/Etc
17-493,2017-04-09,02:16,2017-04-09,02:30,"Conrad Prebys Aztec Student Unio, 6075 Aztec Circle Dr, San Diego",San Diego State University,Violation of SDSU Grounds Policy
17-494,2017-04-09,06:58,2017-04-08,06:58,"Adobe Falls (The Waterfall Hike), 5501 Mill Peak Rd, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
17-495,2017-04-09,09:09,2017-04-09,09:09,"Conrad Prebys Aztec Student Unio, 6075 Aztec Circle Dr, San Diego",San Diego State University,Opn Alc Cntnr/City or Cnty Park
17-497,2017-04-09,01:28,2017-04-09,00:55,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Attempted Petty Theft
17-499,2017-04-10,04:07,2017-04-07,04:29,"Hardy Memorial Tower, 5450 Campanile Dr, San Diego",San Diego State University,Tamper/Etc W/Firealrm/Etc
17-5,2017-01-03,03:54,NA,NA,"Parking 4, 5105 East Campus Dr, San Diego",San Diego State University,"Smke/Poss Marj Rstrct,drvng/ridng Veh"
17-50,2017-01-18,00:23,2017-01-18,00:25,"5600 Lindo Paseo Av, San Diego",San Diego State University,Drive W/O License
17-500,2017-04-10,04:29,2017-04-10,04:43,"East Commons, 5965 Aztec Circle Dr, San Diego",San Diego State University,Violation of SDSU Grounds Policy
17-502,2017-04-10,02:46,2017-04-10,03:00,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
17-503,2017-04-10,04:16,2017-04-09,05:00,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Petty Theft
17-504,2017-04-10,04:32,2017-04-10,04:20,"Parking 2, 6002 Zura Wy, San Diego",San Diego State University,Vehicle Theft
17-505,2017-04-10,05:53,2017-04-10,05:25,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Poss Cntrlld Substnc Paraphernalia
17-506,2017-04-10,08:04,2017-04-10,07:30,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft Possess Narcotic Cntl Sub
17-51,2017-01-18,01:11,NA,NA,"University Police, 5350 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
17-514,2017-04-11,03:45,2017-04-07,00:30,"Olmeca Residence Hall, 6050 Lindo Paseo Av, San Diego",San Diego State University,Attempted Petty Theft Vandalism:damage Property
17-52,2017-01-18,02:12,2017-01-18,01:30,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-520,2017-04-12,03:06,2017-04-12,03:34,"Chapultepec Residence Hall, 5400 Remington Rd, San Diego",San Diego State University,Poss Marij 28.5 gms 18-21 yrs
17-523,2017-04-13,01:18,2017-04-09,02:00,"Zura Residence Hall, 6124 Montezuma Rd, San Diego",San Diego State University,Extort By Threat:disgrace
17-524,2017-04-13,02:05,2017-04-13,02:02,"Parking 1, 5355 College Av, San Diego",San Diego State University,Vandalism:damage Property
17-526,2017-04-14,01:07,NA,NA,"Cal Coast Credit Union Open Air, 5315 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
17-527,2017-04-14,03:42,2017-04-14,03:42,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-528,2017-04-14,05:53,2017-04-13,09:00,"Parking 3, 5205 East Campus Dr, San Diego",San Diego State University,Vandalism:damage Property
17-529,2017-04-15,01:47,2017-04-15,02:06,"Conrad Prebys Aztec Student Unio, 6075 Aztec Circle Dr, San Diego",San Diego State University,Violation of SDSU Grounds Policy
17-530,2017-04-15,03:30,2017-04-15,04:00,"5100 Campanile Dr, San Diego",San Diego State University,Drive W/O License
17-533,2017-04-16,01:47,2017-04-16,01:50,"4912 Cresita Dr, San Diego",San Diego State University,Expired Registration
17-534,2017-04-16,04:20,2017-04-14,06:30,"Conrad Prebys Aztec Student Unio, 6075 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-535,2017-04-16,09:39,2017-04-16,09:50,"Tarastec Residence Hall, 5445 55TH St, San Diego",San Diego State University,Exhibit Firearm Pres Po Poss/Etc Firearm:univ/Etc Brandishing F/Arm Replica Probationer Committed for Another Offense
17-536,2017-04-16,00:00,2017-04-16,00:00,"North Art, 5730 Avenue Of Arts, San Diego",San Diego State University,Deface W/Paint/Etc
17-537,2017-04-17,06:07,2017-04-17,05:40,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-538,2017-04-17,09:58,2017-04-17,09:58,"5500 Montezuma Rd, San Diego",San Diego State University,Drive W/O License
17-54,2017-01-18,04:25,2017-01-18,04:00,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-540,2017-04-18,06:13,NA,NA,"Student Services East, 6065 Aztec Circle Dr, San Diego",San Diego State University,Tamper/Etc W/Firealrm/Etc
17-541,2017-04-18,06:35,2017-04-18,06:10,"South Campus Plaza North, 5140 College Av, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
17-544,2017-04-18,03:01,2017-04-18,03:00,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Possess Narcotic Cntl Sub Poss Controlled Substance-M Petty Theft
17-545,2017-04-18,03:49,2017-04-18,04:06,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Poss Cntrlld Substnc Paraphernalia
17-546,2017-04-18,05:59,2017-04-16,05:45,"Parking 4, 5105 East Campus Dr, San Diego",San Diego State University,Vandalism:damage Property
17-549,2017-04-19,08:49,2017-04-18,07:00,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Petty Theft
17-55,2017-01-18,06:04,2017-01-18,06:04,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
17-550,2017-04-19,00:35,2017-04-18,09:55,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-554,2017-04-20,03:09,NA,NA,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-556,2017-04-20,05:22,2017-04-19,05:30,"Parking 1, 5355 College Av, San Diego",San Diego State University,Tamper With Vehicle
17-56,2017-01-18,09:09,2017-01-18,09:28,"Alumni Center, 5290 55TH St, San Diego",San Diego State University,Under Influence Cntl Sub
17-562,2017-04-22,05:48,2017-04-22,01:15,"Tepeyac Residence Hall, 5150 East Campus Dr, San Diego",San Diego State University,Batt W/Serious Bodily Inj
17-567,2017-04-23,04:32,2017-04-23,05:01,"Parking 17C, 6205 Alvarado Rd, San Diego",San Diego State University,Fail to Register after Incarceration Offender w/Prior Conv. Fail to Register Sex Offender Fail to Register
17-568,2017-04-23,07:43,2017-04-23,07:40,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
17-569,2017-04-23,07:43,2017-04-23,07:40,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
17-57,2017-01-18,00:13,2017-01-18,01:04,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift Conspiracy:commit Crime
17-570,2017-04-23,08:28,2017-04-19,02:00,"Parking 12, 5530 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Tamper With Vehicle
17-571,2017-04-24,00:37,2017-04-24,00:30,"Parking 1, 5355 College Av, San Diego",San Diego State University,Vandalism:damage Property
17-572,2017-04-24,01:38,2017-04-20,09:00,"Geology Mathematics Computer Sci, 6000 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-575,2017-04-24,03:48,2017-04-24,03:48,"Speech Language And Hearing Scie, 5245 Campanile Dr, San Diego",San Diego State University,Disord Conduct:alcohol
17-579,2017-04-25,03:04,NA,NA,"Chemical Sciences Laboratory, 6095 Canyon Crest Dr, San Diego",San Diego State University,Vandalism:damage Property
17-582,2017-04-25,04:28,2017-04-25,04:48,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift
17-583,2017-04-25,04:52,2017-04-25,04:52,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
17-585,2017-04-25,03:13,2017-04-25,03:00,"Dramatic Arts, 5350 Campanile Dr, San Diego",San Diego State University,Petty Theft
17-586,2017-04-26,04:33,2017-04-26,04:43,"Adams Humanities, 5305 Campanile Dr, San Diego",San Diego State University,Poss Cntrlld Substnc Paraphernalia
17-587,2017-04-26,08:17,2017-04-26,08:45,"Parking 1, 5355 College Av, San Diego",San Diego State University,Drive W/License Suspended
17-59,2017-01-18,09:41,2017-01-18,09:41,"South Campus Plaza North, 5140 College Av, San Diego",San Diego State University,Contempt Disoby Crt Order
17-590,2017-04-26,03:38,2017-04-26,04:15,"East Commons Convenience Store, 5965 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
17-592,2017-04-26,05:44,2017-04-26,06:11,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
17-593,2017-04-27,00:15,2017-04-27,00:25,"Jack In The Box, 5155 College Av, San Diego",San Diego State University,Bench Warrant For Fta
17-595,2017-04-27,03:42,2017-04-27,03:30,"Parking 12, 5530 Aztec Circle Dr, San Diego",San Diego State University,Hit&run Rnwy Veh:prop Dam
17-596,2017-04-27,06:10,2017-04-27,05:45,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+ Conspiracy:commit Crime
17-597,2017-04-27,06:38,2017-04-27,06:15,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
17-599,2017-04-27,09:33,2017-04-27,09:48,"Montezuma Rd/Rockford Dr, San Diego",San Diego State University,Drive W/License Suspended
17-60,2017-01-19,03:58,NA,NA,"South Campus Plaza North, 5140 College Av, San Diego",San Diego State University,Deface W/Paint/Etc
17-600,2017-04-28,00:30,2017-04-28,00:40,"Calpulli Center, 5700 Hardy Av, San Diego",San Diego State University,Disord Conduct:alcohol Violation of SDSU Grounds Policy
17-601,2017-04-28,09:24,2017-04-28,09:24,"Big City Bagels At Peterson Gym, 5340 55TH St, San Diego",San Diego State University,Poss Controlled Substance-M Poss Cntrlld Substnc Paraphernalia Prob Viol: M
17-602,2017-04-28,00:33,2017-04-25,07:30,"West Commons, 5400 Scripps Terrace, San Diego",San Diego State University,Petty Theft
17-604,2017-04-28,09:42,2017-04-28,09:40,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Burglary:second Degree Conspiracy:commit Crime
17-607,2017-04-29,00:23,2017-04-29,01:28,"Student Services East, 6065 Aztec Circle Dr, San Diego",San Diego State University,Poss Cntrlld Substnc Paraphernalia Contempt:disobey Crt Ordr
17-608,2017-04-29,04:52,2017-04-29,04:40,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Burglary:second Degree
17-609,2017-04-29,07:22,2017-04-29,07:37,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,"Battery on a Peace Officer/Code Enforcement, etc."
17-610,2017-04-29,07:23,2017-04-27,05:00,"South Campus Plaza North, 5140 College Av, San Diego",San Diego State University,Appropr Lost Prop
17-611,2017-04-30,02:08,2017-04-30,02:20,"College Square, 6000 Lindo Paseo Av, San Diego",San Diego State University,Appropr Lost Prop
17-613,2017-05-01,00:16,2017-05-01,00:26,"South Campus Plaza South, 5120 College Av, San Diego",San Diego State University,Poss Controlled Substance-M
17-618,2017-05-02,09:47,2017-05-02,00:04,"Conrad Prebys Aztec Student Unio, 6075 Aztec Circle Dr, San Diego",San Diego State University,Violation of SDSU Grounds Policy
17-620,2017-05-02,04:01,2017-05-02,04:01,"Villa Alvarado Residence Hall, 6161 Alvarado Rd, San Diego",San Diego State University,Send/Etc False Fire Alarm
17-625,2017-05-03,04:16,2017-05-01,07:30,"Parking 12, 5530 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
17-626,2017-05-03,04:50,NA,NA,"Parking 17, 6115 Alvarado Rd, San Diego",San Diego State University,Deface W/Paint/Etc
17-628,2017-05-04,02:04,2017-05-04,00:45,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift
17-629,2017-05-04,05:04,2017-05-04,06:00,"Maya Residence Hall, 6051 Lindo Paseo Av, San Diego",San Diego State University,Obstruct Public Officer Violation of SDSU Grounds Policy
17-630,2017-05-04,05:44,NA,NA,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
17-631,2017-05-04,07:16,2017-05-04,05:15,"Conrad Prebys Aztec Student Unio, 6075 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft (bicycle)
17-632,2017-05-04,01:12,2017-05-04,01:52,"Exercise And Nutritional Sciences, 5320 Campanile Dr, San Diego",San Diego State University,Robbery Conspiracy:commit Crime
17-634,2017-05-05,06:38,2017-04-30,06:00,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Vehicle Theft
17-635,2017-05-05,00:33,2017-05-05,00:45,"6000 Montezuma Rd, San Diego",San Diego State University,Opn Alc Cntnr/City or Cnty Park
