case_number,date_reported,time_reported,date_occurred,time_occurred,location,university,incident
14-2069,2014-12-27,00:41,2014-12-27,01:01,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Possess Unlawful Paraphernalia
14-207,2014-02-09,01:49,2014-02-09,01:15,"5600 Lindo Paseo Av, San Diego",San Diego State University,Batt W/Serious Bodily Inj
14-2070,2014-12-29,01:51,2014-12-29,01:56,"70TH St/Amherst St, San Diego",San Diego State University,Drive W/O License
14-2071,2014-12-29,01:07,2014-12-26,07:30,"Olmeca Residence Hall, 6050 Lindo Paseo Av, San Diego",San Diego State University,Burglary
14-2073,2014-12-31,01:24,2014-12-31,01:28,"4900 College Av, San Diego",San Diego State University,Drive W/O License
14-2074,2014-12-31,00:45,2014-12-31,01:40,"55TH St/Aztec Walk, San Diego",San Diego State University,DUI Drug Possess Unlawful Paraphernalia Poss Controlled Substance-M
14-214,2014-02-10,08:10,2014-02-07,08:10,"Piedra Del Sol Apartments, 5600 Hardy Avenue, San Diego",San Diego State University,Rape By Force/Fear/Etc
14-223,2014-02-12,02:59,2014-02-12,03:15,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+ Burglary:second Degree Carry Conceald Dirk/Dagger
14-226,2014-02-12,08:15,2014-02-12,08:15,"Parking Structure 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,Vehicle Theft
14-23,2014-01-05,01:01,2014-01-05,04:40,"The Granada Apartments, 5525 Hardy Av, San Diego",San Diego State University,Obtain goods/services -$950
14-243,2014-02-15,03:13,2014-02-15,03:33,"Duress Cuic Walk Ext 34136, 5152 East Campus Dr, San Diego",San Diego State University,Exhibit Deadwpn:not F/Arm
14-249,2014-02-16,02:33,2014-02-16,03:36,"Tacuba Residence Hall, 5150 East Campus Dr, San Diego",San Diego State University,Threaten Crime w/Intent to Terrorize
14-252,2014-02-17,03:22,2014-02-03,06:00,"Extended Studies Center, 5701 Hardy Av, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
14-274,2014-02-20,09:51,2014-02-17,04:15,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
14-276,2014-02-20,09:02,2014-01-20,00:05,"Alberts College Apartments Scott, 5475 55TH St, San Diego",San Diego State University,Attempted Extortion
14-282,2014-02-21,09:21,2014-02-20,04:00,"Parking Lot A, 6000 Canyon Crest Dr, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
14-283,2014-02-21,02:22,2014-02-21,02:22,"Peabodys Coffee At Peterson Gym, 5340 55TH St, San Diego",San Diego State University,Petty Theft Obstruct Public Officer
14-287,2014-02-21,07:18,2014-02-12,07:20,"Parking Structure 1, 5355 College Av, San Diego",San Diego State University,Vehicle Theft
14-290,2014-02-21,03:00,2014-02-21,03:30,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,Possess Unlawful Paraphernalia
14-292,2014-02-21,03:23,2014-02-21,02:30,"Zura Residence Hall, 6124 Montezuma Rd, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
14-296,2014-02-22,03:32,2014-02-22,04:30,"Parking Lot F, 6002 Zura Wy, San Diego",San Diego State University,Transp/Sell Narc/Cntl Sub Poss Cntl Sub While Armed Pos/Pur F/Sale Narc/C/Sub Poss Cntl Sub For Sale Transp/Etc Cntl Sub Manfctr/Sale/Poss Metal Knuckles
14-300,2014-02-23,02:40,2014-02-23,02:15,"5300 55TH St, San Diego",San Diego State University,Robbery
14-302,2014-02-23,08:32,2014-02-23,08:32,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Obstruct/Resist Exec Off Poss Cntrlld Substnc Paraphernalia Destroy/Conceal Evidence
14-326,2014-02-27,02:37,2014-02-27,02:10,"Storm Hall, 5430 Scripps Terrace, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
14-327,2014-02-27,03:42,2014-02-27,03:30,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
14-340,2014-03-02,01:41,2014-03-02,02:08,"6000 Alvarado Rd, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
14-348,2014-03-03,05:41,2014-03-03,06:20,"Ralphs Grocery, 6670 Montezuma Rd, San Diego",San Diego State University,Possess Concentrated Cannabis-M Poss Marijuana W/Driving
14-352,2014-03-04,00:07,2014-03-04,00:07,"Parking Structure 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,Minor Possess Alcohol Expired Registration
14-355,2014-03-04,05:40,2014-03-04,05:40,"Art St/Montezuma Rd, San Diego",San Diego State University,Drive W/License Suspended
14-358,2014-03-04,00:02,2014-03-04,08:07,"College Av/Alvarado Rd/canyon Crest, San Diego",San Diego State University,Drive W/Lic Susp For Dui Expired Registration
14-360,2014-03-05,01:47,2014-03-05,01:30,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
14-363,2014-03-06,01:53,2014-03-06,01:53,"College Av/College Pl, San Diego",San Diego State University,Drive W/O License
14-365,2014-03-06,01:14,2014-03-06,00:30,"Parking Structure 6, 5205 East Campus Dr, San Diego",San Diego State University,Vehicle Theft
14-369,2014-03-06,03:10,2014-03-06,03:24,"S. Alley, 5600 Montezuma Rd, San Diego",San Diego State University,Poss Marijuana For Sale
14-372,2014-03-07,03:09,2014-03-06,02:00,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Attempted Auto Burglary
14-378,2014-03-08,02:06,2014-03-08,02:40,"Open Air Theater, 5315 Campanile Dr, San Diego",San Diego State University,Attempted Robbery
14-379,2014-03-08,01:55,2014-03-08,02:17,"5400 Montezuma Rd, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
14-382,2014-03-08,07:13,2014-03-08,07:00,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Vehicle Theft
14-385,2014-03-09,01:29,2014-03-09,01:38,"5000 Rockford Dr, San Diego",San Diego State University,Drive W/O License Minor in Poss of Tabacco
14-394,2014-03-10,02:09,2014-03-10,02:09,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Robbery Rec Knwn Stoln Prop -$950
14-395,2014-03-11,08:58,2014-03-11,09:00,"College Av/Cresita Dr/mesita Dr, San Diego",San Diego State University,Drive W/Lic Susp For Dui
14-397,2014-03-11,01:18,2014-03-11,01:15,"Adams Humanities, 5305 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
14-398,2014-03-11,03:57,2014-03-11,03:20,"East Commons, 5965 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
14-4,2014-01-01,07:19,2014-01-01,07:19,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Solicit Lewd Act Possess Unlawful Paraphernalia
14-401,2014-03-11,01:03,2014-03-11,01:03,"Montezuma Rd/Campanile Dr, San Diego",San Diego State University,Drive W/License Suspended Expired Registration Cite each passenger 16 or older not properly secured i
14-404,2014-03-12,00:41,2014-03-12,01:54,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Poss Cntrl Subst w/o Prescpt (M)
14-405,2014-03-12,02:08,2014-03-12,02:44,"7-ELEVEN, 5141 College Av, San Diego",San Diego State University,Poss/Use False Id Of Age
14-407,2014-03-12,03:27,2014-03-12,02:00,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
14-41,2014-01-09,03:46,NA,NA,"Storm Hall, 5430 Scripps Terrace, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
14-422,2014-03-13,03:34,2014-03-13,03:34,"Parking Lot W, Canyon Crest Dr/Aztec Circle Dr, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
14-426,2014-03-14,00:06,2014-03-14,00:58,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Under Influence Cntl Sub
14-430,2014-03-14,00:16,2014-03-14,00:54,"Parking Lot D, 6205 Alvarado Rd, San Diego",San Diego State University,Reckless Driving:park Lot
