Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Citizen Assist,2016-4667,7/11/16,3,7/11/16,3,"Williston Rd, South Burlington",Closed
Citizen Assist,2016-4680,7/11/16,1153,7/11/16,1153,Ira Allen Chapel,Closed
Accident LSA,2016-4682,7/11/16,1704,7/11/16,1704,Living and Learning Lot,Open
Citizen Assist / Car Seat Inspection,2016-4684,7/11/16,1844,7/11/16,1844,284 East Ave,Closed
University Policy Violation,2016-4702,7/12/16,2029,7/12/16,2029,Williams Fire Escape,Closed
Agency Assist,2016-4713,7/13/16,131,7/13/16,131,Williston Rd / I89,Closed; Assist to SBPD
Burglary / Criminal Mischief,2016-4715,7/13/16,711,07/12-13/2016,Unk,Main Campus Construction Site,Open
Domestic Violence / Aggravated Assault,16RM00712,7/13/16,800,7/2/16,2155,University Rd,Open; Case being investigated by Richmond Police
Vandalism,2016-4716,7/13/16,1114,7/13/16,0600-1114,Coolidge Bike Rack,Open
Motor Vehicle Complaint,2016-4721,7/13/16,2029,7/13/16,2029,S Prospect St,Closed
Unsecure Premise,2016-4725,7/14/16,131,7/14/16,131,Coolidge,Closed
Agency Assist / Domestic Disturbance,2016-4726,7/14/16,823,7/14/16,823,Main St / University Hgts,Closed; assist to Burlington Police
Suspicious Behavior,2016-4727,7/14/16,1039,7/14/16,1039,UVM Plumbing Shop @ Centennial Field,Closed
Fire Alarm,2016-4729,7/14/16,1528,7/14/16,1528,Christie Wright Patterson,Closed
Fire Alarm,2016-4742,7/14/16,2346,7/14/16,2356,Marsh Austin Tupper,Closed
Agency Assist,2016-4749,7/15/16,107,7/15/16,107,Colchester Ave / Riverside Ave,Closed; assist to Burlington Police
Welfare Check,2016-4754,7/15/16,204,7/15/16,204,"Williston Rd, South Burlington",Closed
Citizen Assist,2016-4763,7/15/15,1611,7/15/16,1611,University Pl / Colchester Ave,Closed
Accident - Property Damage,2016-4764,7/15/16,1751,7/15/16,1751,Redstone Lofts Parking Lot,Closed
Citizen Assist,2016-4772,7/15/16,2228,7/15/16,2228,Colchester Ave / East Ave,Closed
Suspicious Activity,2016-4774,7/15/16,2247,7/15/16,2247,Bio-Research,Closed
Citizen Assist,2016-4784,7/16/16,16,7/16/16,16,Davis Center,Closed
Agency Assist,2016-4785,7/16/16,102,7/16/16,102,"Dorset St, South Burlington",Closed; assist to So Burlington Police
Blue Light Alarm,2016-4786,7/16/16,113,7/16/16,113,Mann Hall Outside,Closed
Agency Assist,2016-4788,7/16/16,206,7/16/16,206,S Winooski Ave,Closed; assist to Burlington Police & Fire
Agency Assist,2016-4789,7/16/16,217,7/16/16,217,Church St / Main St,Closed; assist to Burlington Police
Fire Alarm,2016-4797,7/16/16,907,7/16/16,907,Jeanne Mance,Closed
Fire Alarm,2016-4798,7/16/16,1140,7/16/16,1140,Jeanne Mance,Closed
Citizen Assist,2016-4799,7/16/16,1316,7/16/16,1316,Davis Center,Closed
Citizen Assist,2016-4812,7/16/16,2339,7/16/16,2339,Main St / S Winooski Ave,Closed
Agency Assist,2016-4820,7/17/16,129,7/17/16,129,Main St / Church St,Closed; assist to Burlington Police
Blue Light Alarm,2016-4822,7/17/16,510,7/17/16,510,John Dewey Hall Outside,Closed
Motorist Assist,2016-4827,7/17/16,1838,7/17/16,1838,John Dewey Hall Outside,Closed
Traffic / Driving While Suspended,2016-4830,7/17/16,1957,7/17/16,1957,East Ave / University Rd,Closed; subject cited for Driving While Suspended
Agency Assist,2016-4840,7/18/16,1431,7/18/16,1431,284 East Ave,Closed; Assist to BPD
Fire Alarm,2016-4841,7/18/16,1528,7/18/16,1528,"321 Ryan St, Essex",Closed
Domestic Disturbance / Violation of Abuse Prevention Order,2016-4854,7/19/16,1612,7/19/16,1612,S Prospect St / College St,Closed; Cited into court for Violation of Abuse Prevention Order
Suspicious Event,2016-4856,7/19/16,2008,7/19/16,2008,Hunt,Closed
University Policy Violation / Fire Escape,2016-4859,7/19/16,2035,7/19/16,2035,Williams Hall,Closed; Report to CSES
Mental Health Issue,2016-4875,7/20/16,902,7/20/16,902,Jacob's House,Closed; affiliate referred to UVM Medical Center Crisis Services
Animal Problem,2016-4886,7/20/16,1852,7/20/16,1852,Gutterson Parking Lot,Closed
