Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Citizen Assist,2017-4445,6/8/17,1012,6/8/17,1012,Royal Tyler Theatre Outside,Closed
Agency Assist / Accident - Property Damage,2017-4452,6/8/17,1343,6/8/17,1343,Main St / University Pl,Closed; assist to Burlington Police
Domestic Violence,2017-4454,6/8/17,1437,6/8/17,1437,Arts & Sciences Outside,Closed; Unfounded; non affiliates located
Motorist Assist,2017-4461,6/8/17,1930,6/8/17,1930,East Ave / Carrigan Dr,Closed
University Policy Violation,2017-4464,6/8/17,2045,6/8/17,2045,Williams Hall Fire Escape,Closed; trespass warning issued
Intrusion Alarm,2017-4467,6/8/17,2117,6/8/17,2117,Fleming,Closed
Intrusion Alarm,2017-4468,6/8/17,2129,6/8/17,2129,Fleming,Closed
Traffic / DUI,2017-4472,6/8/17,2255,6/8/17,2255,"Williston Rd @ Staples Plaza, So. Burlington",Closed; non affiliate cited into court for DUI
Medical Assist / Alcohol Offense,2017-4473,6/9/17,34,6/9/17,34,Millis Hall,Closed; affiliate transported to UVM MC Via UVM Rescue & report to CSC
Larceny,2017-4483,6/9/17,1702,6/9/17,1030-1130,Harris Hall,Open incident
Citizen Assist,2017-4484,6/9/17,1830,6/9/17,1830,Harris Millis,Closed
Larceny,2017-4485,6/9/17,1903,05/07-21/2017,Unk,PFG Bike Rack,Open incident
Suspicious Activity,2017-4489,6/9/17,2035,6/9/17,2035,University Hgts North Bike Rack,Closed
Agency Assist,2017-4491,6/9/17,2115,6/9/17,2115,"North Ave, Burlington",Closed; assist to Burlington Police
Unsecured Premise,2017-4498,6/9/17,2309,6/9/17,2309,Main Campus Construction Area,Closed
Intrusion Alarm,2017-4505,6/10/17,137,6/10/17,137,Fleming,Closed
Traffic / Drugs,2017-4506,6/10/17,210,6/10/17,210,Main St / University Hgts,Closed; marijuana ticket issued
Fire Alarm,2017-4508,6/10/17,500,6/10/17,500,Trinity Campus Cottages,Closed
Unsecured Premise,2017-4511,6/10/17,722,6/10/17,722,Jacob's House,Closed
Arrest on Warrant,2017-4512,6/10/17,745,6/10/17,745,Jacob's House,Closed; non affiliate lodged at Corrections on a Warrant
Agency Assist,2017-4513,6/10/17,1328,Unk,Unk,"S Winooski Ave, Burlington",Closed; assist to Burlington Police
Intrusion Alarm,2017-4519,6/10/17,2119,6/10/17,2119,Fleming,Closed
Unsecured Premise,2017-4520,6/10/17,2120,6/10/17,2120,Colchester Research Facility,Closed
Agency Assist / DUI,2017-4538,6/11/17,123,6/11/17,123,"Williston Rd, So. Burlington",Closed; assist to So. Burlington Police
Unsecured Premise,2017-4539,6/11/17,135,6/11/17,135,Outing Club,Closed
Intrusion Alarm,2017-4544,6/11/17,302,6/11/17,302,Fleming,Closed
Intrusion Alarm,2017-4545,6/11/17,310,6/11/17,310,Fleming,Closed
Disorderly Conduct,2017-4552,6/11/17,1428,6/11/17,1428,Centennial Field,Closed
Drugs,2017-4567,0611/2017,2246,0611/2017,2246,Main Green,Closed
Intrusion Alarm,2017-4570,6/12/17,316,6/12/17,316,Fleming,Closed
Property Damage,2017-4572,6/12/17,1016,6/12/17,1016,Kampus Kitchen lot,Closed
Medical Assist,2017-4573,6/12/17,1140,6/12/17,1140,Davis Center Outside,Closed
Property Damage,2017-4574,6/12/17,1306,6/12/17,1306,WDW Outside,Closed
Intrusion Alarm,2017-4582,6/12/17,2115,6/12/17,2115,Fleming,Closed
Motorist Assist,2017-4588,6/12/17,2254,6/12/17,2254,Pearl St / S Winooski Ave,Closed
Intrusion Alarm,2017-4589,0612/2017,2303,0612/2017,2303,Fleming,Closed
Unsecure Premise,2017-4597,6/13/17,239,6/13/17,239,PFG,Closed
Threats / Harassment,2017-4605,6/13/17,1451,6/13/17,1451,284 East Ave,Closed
Arrest on Warrant,2017-4618,6/13/17,2335,6/13/17,2335,Williston Rd / Dorset St,Closed
Motorist Assist,2017-4620,6/14/17,12,6/14/17,12,UVM Farm,Closed
Agency Assist,2017-4621,6/14/17,20,6/14/17,20,"71 Forest St, Winooski",Closed; Assist to WPD
Drugs / Alcohol Offense,2017-4623,6/14/17,136,6/14/17,136,500 S Prospect St,Closed; report to CSC
Traffic / DLS Criminal,2017-4624,0614/2017,214,0614/2017,214,61 Colchester Ave,Closed; Cited into court for Criminal DLS
Suspicious Event,2017-4625,6/14/17,322,6/14/17,322,Kampus Kitchen,Closed
Blue Light Alarm,2017-4629,6/14/17,1224,6/14/17,1224,Jeffords Hall Outside,Closed
Motorist Assist,2017-4631,6/14/17,1940,6/14/17,1940,PFG Parking Lot,Closed
Welfare Check,2017-4635,6/14/17,2151,6/14/17,2151,Williston Rd / Spear St,Closed; non substantiated
Traffic / Drugs,2017-4637,6/14/17,2255,6/14/17,2255,Colchester Ave / Calarco Ct,Closed; non affiliate issued Marijuana Ticket
Suspicious Activity,2017-4638,6/14/17,2338,6/14/17,2338,"Williston Rd, So. Burlington",Closed
Citizen Assist,2017-4640,6/14/17,2358,6/14/17,2358,Harris Millis Parking Lot,Closed
Traffic / Juvenile Problem,2017-4645,6/15/17,126,6/15/17,126,Williston Rd @ Staples,Closed
Agency Assist,2017-4649,6/15/17,1210,6/15/17,1210,Morrill Hall Parking Lot,Closed; assist to Burlington Police & Fire
Citizen Assist,2017-4655,6/15/17,1718,6/15/17,1718,Nolin House,Closed
Agency Assist,2017-4656,6/15/17,1816,6/15/17,1816,Burlington Police Department,Closed; assist to Burlington Police
Motorist Assist,2017-4657,6/15/17,1827,6/15/17,1827,Jeffords Hall Parking Lot,Closed
Traffic / Drugs,2017-4663,6/15/17,2304,6/15/17,2304,Colchester Ave / Mansfield Ave,Open incident
Fire Alarm,2017-4671,6/16/17,740,6/16/17,740,Given,Closed
Property Damage,2017-4676,6/16/17,1312,6/16/17,1312,Harris Millis Outside,Closed
Fire Alarm,2017-4677,6/16/17,1345,6/16/17,1345,UVM STEM Building,Closed
Medical Assist,2017-4679,6/16/17,1637,6/16/17,1637,Billings Cook Commons,Closed; non affiliate transported to UVM MC via Burlington Rescue
Agency Assist,2017-4680,6/16/17,1726,6/16/17,1726,"University Mall, Dorset St, So. Burlington",Closed; assist to So. Burlington Police
Vandalism - Graffiti,2017-4682,6/16/17,1921,Unk,Unk,University Hgts South 1,Open incident
Citizen Assist,2017-4683,6/16/17,2001,6/16/17,Unk,Parking Garage,Closed
Welfare Check,2017-4692,6/17/17,244,6/17/17,244,Colchester Ave @ Fleming,Closed
Citizen Assist,2017-4693,6/17/17,727,6/17/17,727,Redstone Lofts Outside,Closed
Motorist Assist,2017-4702,6/17/17,2253,6/17/17,2253,Sheraton Parking Lot,Closed
Medical Assist,2017-4706,6/18/17,28,6/18/17,28,Redstone Lofts,Closed; affiliate transported to UVM MC Via UVM Rescue
Traffic / DUI,2017-4710,6/18/17,208,6/18/17,208,Williston Rd @ Staples Plaza,Closed; non affiliate cited into court for DUI
Medical Assist,2017-4712,6/18/17,939,6/18/17,939,Harris Millis Outside,Closed; non affiliate transported to UVM MC Via UVM Rescue
Fire Alarm,2017-4718,6/18/17,1554,6/18/17,1554,Trinity Campus Cottages,Closed
Suspicious Activity,2017-4721,6/18/17,1722,06/17-18/2017,Unk,Main Campus Construction Area,Closed
Suspicious Behavior,2017-4723,6/18/17,1752,6/18/17,Unk,Trinity Campus Cottages,Closed
Fire Alarm,2017-4727,6/18/17,2140,6/18/17,2140,"Training & Compliance Office, Ryan St, Essex",Closed
Suspicious Behavior,2017-4730,6/18/17,2217,6/18/17,2217,Redstone Lofts,Closed
Fire Alarm,2017-4733,6/18/17,2256,6/18/17,2256,Marsh Austin Tupper,Closed
ATM Alarm,2017-4739,6/19/17,958,6/19/17,958,Living & Learning,Closed
Accident - Property Damage,2017-4741,6/19/17,1041,6/19/17,1041,East Ave / Catamount Dr,Closed
Fire Alarm,2017-4743,6/19/17,1459,6/19/17,1459,Torrey Hall,Closed
Welfare Check,2017-4749,6/19/17,1905,6/19/17,1905,Tupper Hall,Closed; affiliate located
ATM Alarm,2017-4752,6/19/17,2109,6/19/17,2109,Living & Learning,Closed
Agency Assist,2017-4757,6/20/17,112,6/20/17,112,Williston Rd @ Staples,Closed; assist to So. Burlington Police
Intoxication,2017-4760,6/20/17,209,6/20/17,209,"Riverside Ave, Burlington",Closed; non affiliate detoxed at ACT 1
Unsecured Premise,2017-4761,6/20/17,253,6/20/17,253,"First Year Residential Buildings, Main Campus",Closed
Citizen Assist,2017-4766,6/20/17,1131,6/20/17,1131,Morrill Hall,Closed
Intrusion Alarm,2017-4767,6/20/17,1203,6/20/17,1203,Fleming,Closed
Animal Problem,2017-4771,6/20/17,1703,6/20/17,1703,Gutterson Outside,Closed
Fire Alarm,2017-4773,6/20/17,1727,6/20/17,1727,Bioresearch,Closed
Accident - Property Damage,2017-4777,6/20/17,1946,9/20/17,1946,Jeffords Hall Parking Lot,Closed
Fire Alarm,2017-4786,6/20/17,2145,6/20/17,2145,Bioresearch,Closed
Noise,2017-4798,6/21/17,120,6/21/17,120,Redstone Apts,Closed; noise warning issued
Medical Assist,2017-4799,6/21/17,128,6/21/17,128,Austin Hall,Closed; affiliate transported to UVM MC Via UVM Rescue
Traffic / Drugs,2017-4803,6/21/17,228,6/21/17,228,University Pl,Closed
Blue Light Alarm,2017-4804,6/21/17,325,6/21/17,325,16 Colchester Ave,Closed
Suspicious Vehicle,2017-4807,6/21/17,822,6/21/17,822,Sheraton Parking Lot,Open incident
Motor Vehicle Complaint,2017-4808,6/21/17,855,6/21/17,855,Harris Millis Parking Lot,Closed
Suspicious Event,2017-4810,6/21/17,1011,6/20/17,907,Davis Center,Closed
Accident - Property Damage,2017-4811,6/21/17,1204,6/21/17,1204,Living & Learning Parking Lot,Closed
Citizen Assist,2017-4812,6/21/17,1324,6/21/17,1324,UVM Police Services,Closed
Fraud,2017-4821,6/21/17,2129,6/21/17,Unk,Waterman,Open incident
Unsecured Premise,2017-4822,6/21/17,2142,6/21/17,2142,Main Campus Construction Area,Closed
Noise,2017-4826,6/22/17,5,6/22/17,5,Redstone Apts,Closed; noise warning issued
Agency Assist,2017-4827,6/22/17,35,6/22/17,35,"Oakledge Park, Burlington",Closed; assist to Burlington Police
Fire Alarm,2017-4828,6/22/17,40,6/22/17,40,Torrey Hall,Closed
Fire Alarm,2017-4834,6/22/17,228,6/22/17,228,Torrey Hall,Closed
Suspicious Behavior,2017-4836,6/22/17,253,6/22/17,253,"Main St, Burlington",Closed
Suspicious Vehicle,2017-4807,6/21/17,822,6/21/17,822,Sheraton Parking Lot,Open incident
Motor Vehicle Complaint,2017-4808,6/21/17,855,6/21/17,855,Harris Millis Parking Lot,Closed
Suspicious Event,2017-4810,6/21/17,1011,6/20/17,907,Davis Center,Closed
Accident - Property Damage,2017-4811,6/21/17,1204,6/21/17,1204,Living & Learning Parking Lot,Closed
Citizen Assist,2017-4812,6/21/17,1324,6/21/17,1324,UVM Police Services,Closed
Fraud,2017-4821,6/21/17,2129,6/21/17,Unk,Waterman,Open incident
Unsecured Premise,2017-4822,6/21/17,2142,6/21/17,2142,Main Campus Construction Area,Closed
Noise,2017-4826,6/22/17,5,6/22/17,5,Redstone Apts,Closed; noise warning issued
Agency Assist,2017-4827,6/22/17,35,6/22/17,35,"Oakledge Park, Burlington",Closed; assist to Burlington Police
Fire Alarm,2017-4828,6/22/17,40,6/22/17,40,Torrey Hall,Closed
Fire Alarm,2017-4834,6/22/17,228,6/22/17,228,Torrey Hall,Closed
Suspicious Behavior,2017-4836,6/22/17,253,6/22/17,253,"Main St, Burlington",Closed
Motor Vehicle Complaint,2017-4844,6/22/17,1441,6/22/17,1441,PFG Parking Lot,Closed
Medical Assist,2017-4846,6/22/17,1646,6/22/17,1646,Davis Center Outside,Closed; subject referred to UVM Rescue
Noise,2017-4851,6/22/17,1941,6/22/17,1941,Moulton Winder Field,Closed; noise warning issued
Unsecured Premise,2017-4853,6/22/17,2129,6/22/17,2129,Main Campus Construction Area,Closed
Elevator Alarm,2017-4857,6/22/17,2202,6/22/17,2202,University Hgts North 1,Closed
Agency Assist,2017-4858,6/22/17,2214,6/22/17,2214,UVM Police Services,Closed; assist to Vermont State Police
Drugs,2017-4863,6/22/17,2339,6/22/17,2339,Amphitheater,Closed; report to CSC
Agency Assist,2017-4864,6/22/17,2355,6/22/17,2355,"Spear St, So. Burlington",Closed; assist to So. Burlington Police
Motorist Assist,2017-4865,6/23/17,43,6/23/17,43,"East Ter., So. Burlington",Closed
Blue Light Alarm,2017-4868,6/23/17,237,6/23/17,237,Spear St Bike Path,Closed
Citizen Assist,2017-4870,6/23/17,318,6/23/17,318,Fleming,Closed
Motorist Assist,2017-4871,6/23/17,652,6/23/17,652,Given Parking Lot,Closed
Fire Alarm,2017-4872,6/23/17,746,6/23/17,746,Torrey Hall,Closed
Suspicious Behavior,2017-4879,6/23/17,1627,06/01-03/2017,Unk,Given,Closed
911 Hang Up,2017-4882,6/23/17,1812,6/23/17,1812,University Hgts,Closed
Unsecured Premise,2017-4885,6/23/17,2027,6/23/17,2027,Main Campus Construction Area,Closed
Unsecured Premise,2017-4893,6/23/17,2304,6/23/17,2304,Christie Wright Patterson,Closed
Agency Assist,2017-4894,6/24/17,3,6/24/17,3,"Colchester Ave, Burlington",Closed; assist to Burlington Police
University Policy Violation,2017-4896,6/24/17,47,6/24/17,47,Williams Hall Fire Escape,Closed; trespass warning issued; Report to CSC
Motorist Assist,2017-4897,6/24/17,106,6/24/17,106,Living & Learning Parking Lot,Closed
Agency Assist / DUI,2017-4899,6/24/17,120,6/24/17,120,Williston Rd @ Staples,Closed; assist to So. Burlington Police
Welfare Check,2017-4901,6/24/17,247,6/24/17,247,Millis Hall,Closed; affiliate located
Fire Alarm,2017-4902,6/24/17,530,6/24/17,530,Torrey Hall,Closed
Traffic / DUI,2017-4916,6/25/17,49,6/25/17,49,Main St / Summit St,Closed; non affiliate cited into court for DUI
Medical Assist,2017-4923,6/25/17,2016,6/25/17,2016,Davis Center,Closed; affiliate referred to UVM Rescue
Unsecured Premise,2017-4945,6/26/17,1931,6/26/17,1931,First Year Student Housing,Closed
Intrusion Alarm,2017-4944,6/26/17,1944,6/26/17,1944,Waterman,Closed
Noise,2017-4962,6/27/17,145,6/27/17,145,Wilks Hall Parking Lot,Closed; noise warning issued
Agency Assist,2017-4963,6/27/17,153,6/27/17,153,"East St, Winooski",Closed; assist to Winooski Police
Fire Alarm,2017-4964,6/27/17,238,6/27/17,238,Redstone Apts,Closed
Welfare Check,2017-4965,6/27/17,406,6/27/17,406,UVM Main Green,Closed; non affiliate located
Medical Assist,2017-4967,6/27/17,1152,6/27/17,1152,Given,Closed; affiliate referred to UVM Rescue
Fondling / Stalking / Sexual Harassment,2017-4968,6/27/17,1353,06/13-23/2017,Unk,UVM Central Campus,Open; referred to title IX
Medical Assist,2017-5002,6/28/17,1444,6/28/17,1444,PFG Complex,Closed; UVM Rescue transported to UVM MC
Motorist Assist,2017-5005,6/28/17,1755,6/28/17,1755,Jeffords Lot,Closed
Unsecure Premise,2017-5007,6/28/17,1833,6/28/17,1833,Main Campus Construction Area,Closed
Fire Alarm,2017-5009,6/28/17,1956,6/28/17,1956,Coolidge,Closed
Motorist Assist,2017-5011,6/28/17,2005,6/28/17,2005,705 Spear St,Closed
Alcohol Offense,2017-5021,6/29/17,105,6/29/17,105,Harris Millis Lot,Closed; Report to CSC
Agency Assist,2017-5026,6/29/17,501,6/29/17,501,Colchester,Closed; Assist to ICAC
Property Damage,2017-5028,6/29/17,1112,Unk,Unk,Moulton Winder Field,Closed
Computer Crime,2017-5030,6/29/17,1251,Unk,Unk,"Elm St, Winooski",Open incident
Traffic / Driving while Suspended,2017-5031,6/29/17,1926,6/29/17,1926,"Riverside Ave @ Salmon Run, Burlington",Closed; non affiliate cited into court for Driving while Suspended
Unsecured Premise,2017-5035,6/29/17,2149,6/29/17,2149,Main Campus Construction Area,Closed
Traffic / Driving while Suspended,2017-5038,6/29/17,2248,6/29/17,2248,"Riverside Ave / Hillside Terr., Burlington",Closed; non affiliate cited into court for Driving while Suspended
Suspicious Behavior,2017-5040,6/30/17,1102,6/30/17,1102,Bailey Howe,Closed
Intrusion Alarm,2017-5044,6/30/17,1943,6/30/17,1943,University Health Center,Closed
Medical Assist,2017-5045,6/30/17,2007,6/30/17,2007,Virtue Field,Closed; non affiliate referred to UVM Rescue
Agency Assist,2017-5046,6/30/17,2011,6/30/17,2011,University Rd @ Centennial Field,Closed; assist to Burlington Police
Unsecured Premise,2017-5048,6/30/17,2222,6/30/17,2222,PFG,Closed
