year,university,liquor_violations_offcampus,liquor_violations_campus,liquor_violations_reshall,liquor_violations_publicprop,drug_violations_offcampus,drug_violations_campus,drug_violations_reshall,drug_violations_publicprop,liquor_violation_total_cl,drug_violation_total_cl
2018,Ohio University-Main Campus,0,224,224,0,0,20,20,0,448,40
2018,Pennsylvania State University-Main Campus,31,781,757,0,0,228,179,6,1569,413
2018,Rollins College,0,44,43,0,0,47,47,5,87,99
2018,Rutgers University-New Brunswick,0,10,10,0,9,96,78,3,20,186
2018,San Diego State University,0,569,569,0,0,144,144,0,1138,288
2018,Syracuse University,2,669,644,14,0,264,258,0,1329,522
2018,Texas State University,0,4,4,0,0,6,6,1,8,13
2018,The University of Texas at Arlington,0,5,4,0,0,13,13,0,9,26
2018,Tufts University,0,71,68,0,0,0,0,0,139,0
2018,University at Buffalo,0,279,279,0,0,296,254,0,558,550
2018,University of California-Berkeley,0,653,653,0,0,118,118,0,1306,236
2018,University of Central Florida,4,119,102,2,5,113,59,9,227,186
2018,University of Idaho,6,63,58,3,0,24,18,1,130,43
2018,University of Iowa,0,546,545,0,0,44,42,1,1091,87
2018,University of Kansas,0,505,487,0,0,113,109,0,992,222
2018,University of Michigan-Ann Arbor,0,1001,943,0,0,135,135,5,1944,275
2018,University of Missouri-Columbia,0,196,186,0,0,8,4,1,382,13
2018,University of New Mexico-Main Campus,0,191,190,0,0,62,50,0,381,112
2018,University of North Florida,0,322,319,0,0,117,110,0,641,227
2018,University of Pittsburgh-Pittsburgh Campus,3,252,247,11,0,56,46,8,513,110
2018,University of Vermont,7,368,344,0,1,185,162,0,719,348
2018,University of Virginia-Main Campus,5,439,404,5,1,28,12,1,853,42
2018,Washington State University,0,252,169,0,0,322,246,9,421,577
2018,West Virginia University,6,1294,1184,10,1,368,356,5,2494,730
