year,university,sector_desc,sector_cd,noncampus_weapon,noncampus_drug,noncampus_liquor,oncampus_weapon,oncampus_drug,oncampus_liquor,publicproperty_weapon,publicproperty_drug,publicproperty_liquor,reported_weapon,reported_drug,reported_liquor,residencehall_weapon,residencehall_drug,residencehall_liquor
2015,Arkansas State University-Main Campus,"Public, 4-year or above",1,0,0,0,1,40,132,0,3,7,0,0,0,0,15,115
2015,Ball State University,"Public, 4-year or above",1,0,0,2,0,82,414,0,1,0,0,0,0,0,78,412
2015,California Polytechnic State University-San Luis Obispo,"Public, 4-year or above",1,0,0,0,3,22,327,0,0,0,0,0,0,2,4,325
2015,California State University-Chico,"Public, 4-year or above",1,3,8,30,1,13,79,0,0,0,0,0,0,1,12,79
2015,Clemson University,"Public, 4-year or above",1,0,0,2,0,143,439,0,8,3,0,0,0,0,132,414
2015,College of Charleston,"Public, 4-year or above",1,0,0,0,2,54,155,0,0,0,0,0,0,2,53,154
2015,Delaware State University,"Public, 4-year or above",1,0,0,0,3,88,29,0,0,0,0,0,0,2,74,21
2015,DePauw University,"Private nonprofit, 4-year or above",2,0,0,21,0,33,192,0,2,11,0,0,0,0,25,172
2015,East Carolina University,"Public, 4-year or above",1,0,4,4,15,192,555,0,6,15,0,0,0,14,187,521
2015,Emory University,"Private nonprofit, 4-year or above",2,0,0,0,0,55,294,0,0,0,0,0,0,0,49,291
2015,Ferrum College,"Private nonprofit, 4-year or above",2,0,0,3,0,42,54,0,4,4,0,0,0,0,26,54
2015,Florida Atlantic University,"Public, 4-year or above",1,0,1,1,0,65,307,0,0,0,0,0,0,0,42,291
2015,Florida International University,"Public, 4-year or above",1,0,0,0,0,80,232,0,0,0,0,0,0,0,68,230
2015,Florida State University,"Public, 4-year or above",1,0,0,0,0,1,331,0,0,0,0,0,0,0,1,331
2015,Hampden-Sydney College,"Private nonprofit, 4-year or above",2,0,0,0,1,23,39,0,0,5,0,0,0,0,23,19
2015,Indiana University-Bloomington,"Public, 4-year or above",1,0,3,0,0,218,1123,0,0,0,0,0,0,0,211,1109
2015,James Madison University,"Public, 4-year or above",1,0,0,2,0,91,962,0,0,9,0,0,0,0,79,894
2015,Louisiana State University and Agricultural & Mechanical College,"Public, 4-year or above",1,0,0,0,0,20,20,0,0,0,0,0,0,0,19,16
2015,Marshall University,"Public, 4-year or above",1,0,0,0,0,12,40,0,0,0,0,0,0,0,12,40
2015,Michigan State University,"Public, 4-year or above",1,0,0,0,5,547,1057,0,0,0,0,0,0,3,546,1057
2015,Monmouth University,"Private nonprofit, 4-year or above",2,0,2,0,0,16,132,0,0,0,0,0,0,0,16,129
2015,Murray State University,"Public, 4-year or above",1,0,0,0,0,4,51,0,0,0,0,0,0,0,3,49
2015,North Carolina Central University,"Public, 4-year or above",1,0,0,0,4,95,21,0,4,0,0,0,0,2,80,18
2015,North Carolina State University at Raleigh,"Public, 4-year or above",1,0,11,48,0,76,435,0,1,8,0,0,0,0,54,359
2015,Ohio State University-Main Campus,"Public, 4-year or above",1,0,0,7,0,235,1614,0,2,0,0,0,0,0,191,1587
2015,Ohio University-Main Campus,"Public, 4-year or above",1,0,2,0,0,96,531,0,1,10,0,0,0,0,95,521
2015,Prairie View A & M University,"Public, 4-year or above",1,0,0,23,4,55,4,0,0,0,0,0,0,4,48,4
2015,Rollins College,"Private nonprofit, 4-year or above",2,0,0,0,0,26,190,0,0,0,0,0,0,0,23,190
2015,Rutgers University-New Brunswick,"Public, 4-year or above",1,0,0,0,5,138,73,0,0,5,0,0,0,1,129,71
2015,San Diego State University,"Public, 4-year or above",1,0,0,0,4,302,0,0,0,0,0,0,0,4,302,0
2015,Southern Methodist University,"Private nonprofit, 4-year or above",2,0,0,0,1,46,294,0,2,4,0,0,0,0,43,204
2015,SUNY at Albany,"Public, 4-year or above",1,0,0,0,8,201,219,0,3,2,0,0,0,5,164,215
2015,Syracuse University,"Private nonprofit, 4-year or above",2,0,1,10,1,124,1020,0,2,6,0,0,0,1,120,981
2015,Texas A & M University-College Station,"Public, 4-year or above",1,0,0,0,2,83,149,0,1,1,0,0,0,1,68,144
2015,Texas Christian University,"Private nonprofit, 4-year or above",2,0,0,0,2,91,771,0,0,28,0,0,0,2,85,600
2015,Texas State University,"Public, 4-year or above",1,0,0,0,1,3,54,0,0,0,0,0,0,1,3,54
2015,The University of Texas at Austin,"Public, 4-year or above",1,0,0,0,1,43,153,0,0,1,0,0,0,0,35,107
2015,Tufts University,"Private nonprofit, 4-year or above",2,0,1,1,0,2,101,0,0,1,0,0,0,0,1,99
2015,University at Buffalo,"Public, 4-year or above",1,0,0,0,2,248,402,0,1,0,0,0,0,1,225,397
2015,University of Arizona,"Public, 4-year or above",1,0,4,18,0,119,389,0,7,50,0,0,0,0,110,350
2015,University of Arkansas,"Public, 4-year or above",1,0,0,9,0,68,684,0,0,0,0,0,0,0,46,629
2015,University of California-Berkeley,"Public, 4-year or above",1,0,0,1,3,79,333,0,0,0,0,0,0,3,77,331
2015,University of California-Irvine,"Public, 4-year or above",1,0,0,0,1,43,410,0,0,0,0,0,0,1,23,390
2015,University of California-Riverside,"Public, 4-year or above",1,0,0,0,3,8,82,0,0,0,0,0,0,3,3,81
2015,University of California-Santa Barbara,"Public, 4-year or above",1,0,7,0,0,203,412,0,0,0,0,0,0,0,203,409
2015,University of Central Florida,"Public, 4-year or above",1,1,1,13,0,76,187,1,18,12,0,0,0,0,11,82
2015,University of Delaware,"Public, 4-year or above",1,0,0,0,0,128,606,0,2,46,0,0,0,0,75,514
2015,University of Idaho,"Public, 4-year or above",1,0,0,1,0,37,148,0,2,2,0,0,0,0,29,136
2015,University of Illinois at Urbana-Champaign,"Public, 4-year or above",1,0,6,7,0,240,305,0,0,6,0,0,0,0,183,282
2015,University of Iowa,"Public, 4-year or above",1,0,1,0,0,59,650,0,1,1,0,0,0,0,58,649
2015,University of Kansas,"Public, 4-year or above",1,0,0,0,0,91,702,0,0,0,0,0,0,0,86,702
2015,University of Kentucky,"Public, 4-year or above",1,0,2,0,0,53,529,0,0,0,0,0,0,0,49,526
2015,University of Louisiana at Lafayette,"Public, 4-year or above",1,0,0,0,1,17,20,0,0,0,0,0,0,0,14,19
2015,University of Michigan-Ann Arbor,"Public, 4-year or above",1,0,0,2,2,281,1629,0,0,5,0,0,0,2,267,1622
2015,University of Mississippi,"Public, 4-year or above",1,0,0,1,0,3,183,0,0,0,0,0,0,0,1,0
2015,University of Missouri-Columbia,"Public, 4-year or above",1,0,0,4,0,4,1031,0,0,0,0,0,0,0,4,1031
2015,University of Nebraska-Lincoln,"Public, 4-year or above",1,0,0,6,2,137,409,0,2,5,0,0,0,0,126,394
2015,University of Nevada-Reno,"Public, 4-year or above",1,0,0,1,0,33,114,0,0,0,0,0,0,0,31,107
2015,University of New Mexico-Main Campus,"Public, 4-year or above",1,0,0,0,7,89,277,0,0,0,0,0,0,4,87,277
2015,University of Pittsburgh-Pittsburgh Campus,"Public, 4-year or above",1,0,0,1,0,61,391,0,10,4,0,0,0,0,54,385
2015,University of South Carolina-Columbia,"Public, 4-year or above",1,0,19,4,9,115,356,0,7,2,0,0,0,9,86,338
2015,University of Southern California,"Private nonprofit, 4-year or above",2,0,12,116,4,67,423,0,0,0,0,0,0,3,55,418
2015,University of Vermont,"Public, 4-year or above",1,0,1,9,0,317,628,0,0,38,0,0,0,0,245,576
2015,University of Virginia-Main Campus,"Public, 4-year or above",1,0,0,27,0,2,533,0,0,1,0,0,0,0,0,517
2015,University of Wisconsin-Madison,"Public, 4-year or above",1,0,2,13,0,504,1983,0,5,47,0,0,0,0,436,1579
2015,Washington State University,"Public, 4-year or above",1,0,0,0,0,335,273,0,0,0,0,0,0,0,249,204
2015,West Virginia University,"Public, 4-year or above",1,0,0,0,0,210,1532,0,1,34,0,0,0,0,187,1433
2016,Albany State University,"Public, 4-year or above",1,2,0,0,1,4,11,0,0,0,0,0,0,1,4,8
2016,Arkansas State University-Main Campus,"Public, 4-year or above",1,0,0,0,0,15,116,0,0,2,0,0,0,0,8,72
2016,Ball State University,"Public, 4-year or above",1,0,3,12,1,68,396,0,6,1,0,0,0,1,53,395
2016,California Polytechnic State University-San Luis Obispo,"Public, 4-year or above",1,0,0,0,0,7,216,0,3,0,0,0,0,0,4,203
2016,California State University-Chico,"Public, 4-year or above",1,0,0,0,0,5,116,0,0,0,0,0,0,0,4,113
2016,Clemson University,"Public, 4-year or above",1,0,0,0,1,55,431,0,2,10,0,0,0,0,44,410
2016,College of Charleston,"Public, 4-year or above",1,0,0,0,3,64,144,0,0,0,0,0,0,3,63,143
2016,Delaware State University,"Public, 4-year or above",1,0,0,0,12,68,72,0,0,0,0,0,0,12,64,56
2016,DePauw University,"Private nonprofit, 4-year or above",2,0,8,10,0,54,140,0,0,9,0,0,0,0,47,130
2016,East Carolina University,"Public, 4-year or above",1,5,1,4,8,178,458,0,9,2,0,0,0,7,172,450
2016,Emory University,"Private nonprofit, 4-year or above",2,0,0,0,1,17,148,0,1,0,0,0,0,1,17,146
2016,Ferrum College,"Private nonprofit, 4-year or above",2,0,0,0,0,37,41,0,4,15,0,0,0,0,29,29
2016,Florida Atlantic University,"Public, 4-year or above",1,0,0,1,3,83,87,0,0,0,0,0,0,3,45,85
2016,Florida International University,"Public, 4-year or above",1,0,0,0,2,95,161,0,0,0,0,0,0,2,80,154
2016,Florida State University,"Public, 4-year or above",1,0,0,0,0,0,376,0,0,0,0,0,0,0,0,376
2016,Hampden-Sydney College,"Private nonprofit, 4-year or above",2,0,1,0,0,47,44,0,0,0,0,0,0,0,44,37
2016,Indiana University-Bloomington,"Public, 4-year or above",1,0,0,0,0,30,1022,0,0,0,0,0,0,0,30,1019
2016,James Madison University,"Public, 4-year or above",1,0,0,0,0,63,872,0,1,0,0,0,0,0,54,840
2016,Louisiana State University and Agricultural & Mechanical College,"Public, 4-year or above",1,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0
2016,Marshall University,"Public, 4-year or above",1,0,0,0,1,11,3,0,0,0,0,0,0,1,11,3
2016,Michigan State University,"Public, 4-year or above",1,0,0,0,3,662,1000,0,0,0,0,0,0,3,662,999
2016,Monmouth University,"Private nonprofit, 4-year or above",2,0,5,0,1,17,111,0,0,0,0,0,0,1,12,111
2016,Murray State University,"Public, 4-year or above",1,0,0,0,0,2,42,0,1,0,0,0,0,0,1,41
2016,North Carolina Central University,"Public, 4-year or above",1,0,0,0,2,142,29,1,0,1,0,0,0,1,105,13
