university,year,sexual_assault_total_cl,rape_total,statr_total_cl,fondl_total,rape_reshall,rape_oncampus,rape_noncampus,fondl_noncampus,fondl_oncampus,fondl_reshall,statr_noncampus,statr_oncampus,statr_reshall,fondl_total_cl,liquor_violations_offcampus,liquor_violations_campus,liquor_violations_reshall,liquor_violations_publicprop,drug_violations_offcampus,drug_violations_campus,drug_violations_reshall,drug_violations_publicprop,liquor_violation_total_cl,drug_violation_total_cl
Rutgers University-New Brunswick,2017,39,30,0,9,24,30,0,0,8,4,0,0,0,9,0,35,35,0,0,66,56,2,70,124
Rutgers University-New Brunswick,2018,24,17,0,7,10,15,1,1,6,3,0,0,0,7,0,10,10,0,9,96,78,3,20,186
San Diego State University,2014,24,20,0,4,10,12,6,0,3,1,0,0,0,4,0,0,0,0,0,272,272,0,0,544
San Diego State University,2015,27,12,1,14,7,9,3,0,13,4,0,1,0,14,0,0,0,0,0,302,302,0,0,604
San Diego State University,2016,10,7,1,2,3,4,1,0,2,1,0,1,0,2,0,624,624,0,0,205,205,0,1248,410
San Diego State University,2017,11,5,1,5,3,5,0,0,3,1,0,1,1,5,0,669,669,0,0,232,232,0,1338,464
San Diego State University,2018,10,9,0,1,7,7,1,0,1,0,0,0,0,1,0,569,569,0,0,144,144,0,1138,288
Syracuse University,2014,9,5,0,4,5,5,0,0,4,4,0,0,0,4,4,900,833,14,0,87,82,0,1751,169
Syracuse University,2015,19,11,0,8,6,8,2,2,6,3,0,0,0,8,10,1020,981,6,1,124,120,2,2017,247
Syracuse University,2016,19,14,0,5,12,12,2,2,3,1,0,0,0,5,7,1073,1038,11,2,215,180,1,2129,398
Syracuse University,2017,23,17,0,6,12,13,4,0,6,4,0,0,0,6,12,1023,944,30,3,186,177,1,2009,367
Syracuse University,2018,16,11,0,5,10,10,1,0,5,3,0,0,0,5,2,669,644,14,0,264,258,0,1329,522
Texas State University,2014,5,4,0,1,3,4,0,0,1,1,0,0,0,1,0,51,51,0,1,3,2,0,102,6
Texas State University,2015,3,1,0,2,0,0,1,0,2,2,0,0,0,2,0,54,54,0,0,3,3,0,108,6
Texas State University,2016,7,7,0,0,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas State University,2017,18,17,1,0,6,15,2,0,0,0,0,1,0,0,6,1,0,0,2,2,1,0,7,5
Texas State University,2018,21,19,0,2,10,19,0,0,1,0,0,0,0,2,0,4,4,0,0,6,6,1,8,13
The University of Texas at Arlington,2014,8,4,0,4,3,3,1,0,4,1,0,0,0,4,0,17,10,1,0,28,19,0,28,47
The University of Texas at Arlington,2015,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,52,51,0,0,34,27,0,103,61
The University of Texas at Arlington,2016,7,4,0,3,3,4,0,0,3,3,0,0,0,3,0,98,97,1,0,25,21,0,196,46
The University of Texas at Arlington,2017,7,5,0,2,4,5,0,0,2,0,0,0,0,2,0,14,14,0,0,18,13,0,28,31
The University of Texas at Arlington,2018,13,8,0,5,7,8,0,0,5,3,0,0,0,5,0,5,4,0,0,13,13,0,9,26
Tufts University,2014,26,12,0,14,12,12,0,0,13,2,0,0,0,14,0,81,78,0,0,1,0,0,159,1
Tufts University,2015,26,18,0,8,16,18,0,1,7,5,0,0,0,8,0,101,99,0,1,2,1,0,200,4
Tufts University,2016,30,7,0,23,6,7,0,2,20,12,0,0,0,23,0,101,98,0,0,3,1,0,199,4
Tufts University,2017,13,3,0,10,3,3,0,0,10,6,0,0,0,10,0,166,154,0,0,2,2,0,320,4
