year,university,sector_desc,sector_cd,noncampus_murd,noncampus_neg_m,noncampus_rape,noncampus_fondl,noncampus_inces,noncampus_statr,noncampus_robbe,noncampus_agg_a,noncampus_burgla,noncampus_vehic,noncampus_arson,oncampus_murd,oncampus_neg_m,oncampus_rape,oncampus_fondl,oncampus_inces,oncampus_statr,oncampus_robbe,oncampus_agg_a,oncampus_burgla,oncampus_vehic,oncampus_arson,publicproperty_murd,publicproperty_neg_m,publicproperty_rape,publicproperty_fondl,publicproperty_inces,publicproperty_statr,publicproperty_robbe,publicproperty_agg_a,publicproperty_burgla,publicproperty_vehic,publicproperty_arson,reported_murd,reported_neg_m,reported_rape,reported_fondl,reported_inces,reported_statr,reported_robbe,reported_agg_a,reported_burgla,reported_vehic,reported_arson,residencehall_murd,residencehall_neg_m,residencehall_rape,residencehall_fondl,residencehall_inces,residencehall_statr,residencehall_robbe,residencehall_agg_a,residencehall_burgla,residencehall_vehic,residencehall_arson
2014,Texas Christian University,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,1,5,25,9,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,1,19,0,1
2014,Texas State University,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,2,4,37,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,22,0,2
2014,The University of Texas at Austin,"Public, 4-year or above",1,0,0,27,0,0,0,1,1,9,4,0,0,0,17,3,0,0,0,1,34,6,2,0,0,4,0,0,0,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,25,0,0
2014,Tufts University,"Private nonprofit, 4-year or above",2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,2,22,0,0,0,0,0,1,0,0,7,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,1,15,0,0
2014,University at Buffalo,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,25,2,3,0,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,15,0,3
2014,University of Arizona,"Public, 4-year or above",1,0,0,14,0,0,0,0,3,16,0,0,0,0,11,9,0,0,0,3,25,7,0,0,0,2,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,7,0,0
2014,University of Arkansas,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,6,13,1,0,0,3,1,0,0,1,0,23,21,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,9,0,0
2014,University of California-Berkeley,"Public, 4-year or above",1,0,0,14,2,0,0,2,3,11,20,1,0,0,15,9,0,1,23,5,61,20,6,0,0,0,7,0,0,20,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,2,0,15,0,2
2014,University of California-Irvine,"Public, 4-year or above",1,0,0,1,0,0,0,2,1,5,9,0,0,0,10,8,0,0,0,6,35,22,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,2,24,0,1
2014,University of California-Riverside,"Public, 4-year or above",1,0,0,1,0,0,0,1,0,0,10,0,0,0,6,2,0,0,2,2,19,9,3,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,6,0,1
2014,University of California-Santa Barbara,"Public, 4-year or above",1,0,0,17,0,0,0,0,2,15,0,0,0,0,11,1,0,0,5,2,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,2,8,0,0
2014,University of Central Florida,"Public, 4-year or above",1,0,0,2,0,0,0,0,1,8,0,0,0,0,17,6,0,0,5,6,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,3,1,13,0,0
2014,University of Delaware,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,3,3,27,0,0,0,0,2,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,10,0,0
2014,University of Idaho,"Public, 4-year or above",1,0,0,1,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0
2014,University of Illinois at Urbana-Champaign,"Public, 4-year or above",1,0,0,3,0,0,0,0,2,7,1,0,0,0,9,2,0,0,6,14,7,0,4,0,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,2,0,3
2014,University of Iowa,"Public, 4-year or above",1,0,0,3,1,0,0,0,0,3,1,0,0,0,13,58,0,0,3,2,14,1,0,0,0,1,0,0,0,7,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,1,0,7,0,0
2014,University of Kansas,"Public, 4-year or above",1,0,0,4,4,0,0,0,2,50,3,0,0,0,14,11,0,0,2,7,40,6,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,1,0,21,0,0
2014,University of Kentucky,"Public, 4-year or above",1,0,0,0,0,0,0,0,1,2,2,0,0,0,9,12,0,0,5,3,29,12,1,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0
2014,University of Louisiana at Lafayette,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,18,0,0
2014,University of Michigan-Ann Arbor,"Public, 4-year or above",1,0,0,5,2,0,0,1,0,19,2,0,0,0,14,11,0,0,3,10,14,14,5,0,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,5,0,3
2014,University of Mississippi,"Public, 4-year or above",1,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,2,10,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,2,0,0
2014,University of Missouri-Columbia,"Public, 4-year or above",1,0,0,12,2,0,0,1,1,5,1,2,0,0,6,6,0,0,2,8,14,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1,1,12,0,3
2014,University of Nebraska-Lincoln,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,2,0,0,0,0,8,2,0,0,0,3,14,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,5,0,0
2014,University of Nevada-Reno,"Public, 4-year or above",1,0,0,1,0,0,0,0,1,1,1,0,0,0,4,1,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2014,University of New Mexico-Main Campus,"Public, 4-year or above",1,0,0,0,0,0,0,0,1,5,0,0,0,0,12,7,0,0,5,15,15,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,4,0,1
2014,University of Pittsburgh-Pittsburgh Campus,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,2,0,0,0,0,20,7,0,0,1,2,6,0,2,0,0,1,2,0,0,12,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,0,2,3,0,2
2014,University of South Carolina-Columbia,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,2,16,60,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,0
2014,University of Southern California,"Private nonprofit, 4-year or above",2,0,0,10,4,0,0,0,4,12,0,1,0,0,8,7,0,0,2,5,19,5,1,0,0,0,2,0,0,3,0,0,4,0,0,0,2,1,0,0,7,1,2,10,0,0,0,3,1,0,0,0,1,4,0,1
2014,University of Vermont,"Public, 4-year or above",1,0,0,0,0,0,0,1,1,1,0,0,0,0,27,1,0,0,1,6,21,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,19,0,0
2014,University of Virginia-Main Campus,"Public, 4-year or above",1,0,0,9,1,0,0,0,1,0,0,0,0,0,35,4,0,0,1,0,35,6,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0,14,0,0
