incident,case_number,date_reported,time_reported,university,time_occurred,date_occurred,location
Narcotics                                     ,2018-00004568,02-24-2018,2:11,Ball State University,NA,NA,NA
Assist Other Agency-Leaving scene of accident ,2018-00004573,02-25-2018,0:20,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2018-00004588,02-25-2018,4:10,Ball State University,NA,NA,NA
Theft                                         ,2018-00004623,02-25-2018,6:14,Ball State University,NA,NA,NA
Suspended Driver                              ,2018-00004628,02-25-2018,7:42,Ball State University,NA,NA,NA
Theft                                         ,2018-00004680,02-26-2018,8:00,Ball State University,NA,NA,NA
Burglary                                      ,2018-00004701,02-26-2018,3:50,Ball State University,NA,NA,NA
Narcotics-Traffic Stop                        ,2018-00004725,02-27-2018,0:42,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00004798,02-27-2018,0:12,Ball State University,NA,NA,NA
Narcotics-Traffic Stop                        ,2018-00004816,02-28-2018,0:51,Ball State University,NA,NA,NA
Theft                                         ,2018-00004869,02-28-2018,2:30,Ball State University,NA,NA,NA
Theft                                         ,2018-00004938,03-01-2018,2:00,Ball State University,NA,NA,NA
Fraud on a Financial Institution              ,2018-00004940,03-01-2018,5:00,Ball State University,NA,NA,NA
Burglary                                      ,2018-00005064,03-02-2018,2:00,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00005096,03-03-2018,3:47,Ball State University,NA,NA,NA
Assist Other Agency-Criminal Recklessness     ,2018-00005179,03-04-2018,2:01,Ball State University,NA,NA,NA
Residential Entry                             ,2018-00005495,03-08-2018,2:30,Ball State University,NA,NA,NA
Criminal Mischief                             ,2018-00005847,03-12-2018,3:59,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00005868,03-13-2018,0:09,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00005870,03-13-2018,0:36,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00005950,03-13-2018,1:38,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00006048,03-14-2018,1:38,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00006057,03-15-2018,0:45,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00006078,03-15-2018,4:55,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00006140,03-16-2018,0:25,Ball State University,NA,NA,NA
Illegal Possession of alcohol                 ,2018-00006141,03-16-2018,0:50,Ball State University,NA,NA,NA
Theft                                         ,2018-00006153,03-16-2018,1:00,Ball State University,NA,NA,NA
Theft                                         ,2018-00006169,03-16-2018,8:30,Ball State University,NA,NA,NA
Assist Other Agency-Resisting law enforcement ,2018-00006213,03-16-2018,6:50,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00006217,03-16-2018,9:01,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00006223,03-16-2018,1:28,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00006228,03-16-2018,3:50,Ball State University,NA,NA,NA
Narcotics-Traffic Stop                        ,2018-00006227,03-16-2018,3:51,Ball State University,NA,NA,NA
Narcotics-Traffic Stop                        ,2018-00006230,03-17-2018,0:11,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00006232,03-17-2018,0:17,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00006240,03-17-2018,1:35,Ball State University,NA,NA,NA
Illegal Possession of alcohol                 ,2018-00006244,03-17-2018,3:11,Ball State University,NA,NA,NA
Illegal Possession of alcohol                 ,2018-00006289,03-17-2018,6:06,Ball State University,NA,NA,NA
Assist Other Agency-Narcotics                 ,2018-00006299,03-17-2018,7:41,Ball State University,NA,NA,NA
Invasion of Privacy                           ,2018-00006321,03-18-2018,0:54,Ball State University,NA,NA,NA
Narcotics-Traffic Stop                        ,2018-00006324,03-18-2018,1:47,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00006325,03-18-2018,2:07,Ball State University,NA,NA,NA
Theft                                         ,2018-00006330,03-18-2018,2:40,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00006331,03-18-2018,3:06,Ball State University,NA,NA,NA
Residential Entry                             ,2018-00006336,03-18-2018,4:38,Ball State University,NA,NA,NA
Assist Other Agency-Sexual Assault            ,2018-00006337,03-18-2018,5:25,Ball State University,NA,NA,NA
Unlawful Entry to Vehicle                     ,2018-00006373,03-18-2018,9:35,Ball State University,NA,NA,NA
Criminal Recklessness-handgun                 ,2018-00006407,03-19-2018,4:46,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00006447,03-19-2018,0:59,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00006612,03-21-2018,1:21,Ball State University,NA,NA,NA
Harassment                                    ,2018-00006626,03-22-2018,1:00,Ball State University,NA,NA,NA
Sexual Assault                                ,2018-00006679,03-22-2018,4:35,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00006705,03-22-2018,1:32,Ball State University,NA,NA,NA
Operating while never receiving license       ,2018-00006729,03-23-2018,2:46,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00006732,03-23-2018,3:44,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Person        ,2018-00006733,03-23-2018,3:58,Ball State University,NA,NA,NA
Theft                                         ,2018-00006807,03-23-2018,6:00,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00006824,03-23-2018,9:13,Ball State University,NA,NA,NA
Battery                                       ,2018-00006844,03-24-2018,3:08,Ball State University,NA,NA,NA
Burglary                                      ,2018-00006853,03-24-2018,5:00,Ball State University,NA,NA,NA
Assist Other Agency-Burglary                  ,2018-00006858,03-24-2018,6:17,Ball State University,NA,NA,NA
Driving While Suspended                       ,2018-00006902,03-24-2018,7:42,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2018-00006934,03-25-2018,0:29,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00006941,03-25-2018,2:11,Ball State University,NA,NA,NA
Assist Other Agency-Resisting law enforcement ,2018-00007043,03-26-2018,3:59,Ball State University,NA,NA,NA
Assist Other Agency-Battery                   ,2018-00007133,03-27-2018,3:05,Ball State University,NA,NA,NA
Criminal Recklessness-handgun                 ,2018-00007136,03-27-2018,3:54,Ball State University,NA,NA,NA
Battery                                       ,2018-00007189,03-27-2018,8:27,Ball State University,NA,NA,NA
Assist Other Agency-Criminal Recklessness     ,2018-00007223,03-28-2018,6:12,Ball State University,NA,NA,NA
Defrauding Financial Institution              ,2018-00007243,03-28-2018,3:08,Ball State University,NA,NA,NA
Theft                                         ,2018-00007258,03-28-2018,6:15,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2018-00007263,03-28-2018,7:24,Ball State University,NA,NA,NA
Assist Other Agency-Criminal Recklessness     ,2018-00007266,03-28-2018,9:29,Ball State University,NA,NA,NA
Battery                                       ,2018-00007289,03-29-2018,1:53,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00007362,03-30-2018,0:36,Ball State University,NA,NA,NA
Driving While Suspended                       ,2018-00007365,03-30-2018,1:19,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-0007369,03-30-2018,1:48,Ball State University,NA,NA,NA
Assist Other Agency-Shoplifting               ,2018-00007378,03-30-2018,3:47,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00007425,03-30-2018,9:25,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00007431,03-30-2018,1:18,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00007439,03-31-2018,1:21,Ball State University,NA,NA,NA
Assist Other Agency-Sexual Assault            ,2018-00007442,03-31-2018,2:50,Ball State University,NA,NA,NA
Criminal Mischief                             ,2018-00007504,03-31-2018,0:59,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00007524,04-01-2018,2:00,Ball State University,NA,NA,NA
Assist Other Agency-Battery                   ,2018-00007525,03-14-2018,3:14,Ball State University,NA,NA,NA
Battery                                       ,2018-00007559,04-01-2018,1:04,Ball State University,NA,NA,NA
Theft                                         ,2018-00007614,04-02-2018,5:42,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00007618,04-02-2018,6:48,Ball State University,NA,NA,NA
Theft                                         ,2018-00007634,04-02-2018,2:00,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00007707,04-03-2018,7:16,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00007755,04-04-2018,3:08,Ball State University,NA,NA,NA
Operating while never receiving license       ,2018-00007769,04-04-2018,8:45,Ball State University,NA,NA,NA
Sexual Battery                                ,2018-00007772,04-04-2018,2:30,Ball State University,NA,NA,NA
Suspended Driver                              ,2018-00007800,04-04-2018,3:02,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2018-00007804,04-04-2018,4:21,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00007817,04-04-2018,9:56,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2018-00007844,04-05-2018,2:07,Ball State University,NA,NA,NA
Criminal Mischief                             ,2018-00007883,04-05-2018,0:36,Ball State University,NA,NA,NA
Intimidation                                  ,2018-00007893,04-05-2018,3:00,Ball State University,NA,NA,NA
Trespassing                                   ,2018-00007903,04-05-2018,4:36,Ball State University,NA,NA,NA
Criminal Recklessness-handgun                 ,2018-00007937,04-06-2018,1:52,Ball State University,NA,NA,NA
Criminal Mischief                             ,2018-00007985,04-06-2018,4:45,Ball State University,NA,NA,NA
Criminal Mischief                             ,2018-00007986,04-06-2018,3:43,Ball State University,NA,NA,NA
Battery                                       ,2018-00007987,04-06-2018,1:00,Ball State University,NA,NA,NA
Battery                                       ,2018-00008008,04-06-2018,2:00,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00008013,04-06-2018,1:47,Ball State University,NA,NA,NA
Warrant- Traffic Stop                         ,2018-00008018,04-07-2018,0:33,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00008019,04-07-2018,1:36,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2018-00008043,04-07-2018,0:30,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00008082,04-07-2018,3:17,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00008091,04-08-2018,0:53,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00008100,04-08-2018,2:47,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00008102,04-08-2018,3:27,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00008105,04-08-2018,4:49,Ball State University,NA,NA,NA
Criminal Mischief                             ,2018-00008125,04-08-2018,1:30,Ball State University,NA,NA,NA
Trespass                                      ,2018-00008145,04-08-2018,9:32,Ball State University,NA,NA,NA
Battery                                       ,2018-00008148,04-08-2018,3:21,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00008151,04-09-2018,2:37,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00008180,04-09-2018,4:46,Ball State University,NA,NA,NA
Theft                                         ,2018-00008181,04-09-2018,2:30,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00008203,04-09-2018,2:03,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00008271,04-10-2018,0:55,Ball State University,NA,NA,NA
Assist Other Agency-Battery                   ,2018-00008297,04-11-2018,3:03,Ball State University,NA,NA,NA
Trespassing                                   ,2018-00008346,04-11-2018,5:31,Ball State University,NA,NA,NA
Sexual Battery                                ,2018-00008347,04-11-2018,4:30,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00008357,04-11-2018,9:42,Ball State University,NA,NA,NA
Trespassing                                   ,2018-00008398,04-12-2018,4:00,Ball State University,NA,NA,NA
Sexual Battery                                ,2018-00008453,04-12-2018,0:30,Ball State University,NA,NA,NA
Voyeurism                                     ,2018-00008500,04-13-2018,2:56,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00008504,04-13-2018,3:30,Ball State University,NA,NA,NA
Trespassing                                   ,2018-00008529,04-13-2018,0:10,Ball State University,NA,NA,NA
Forgery                                       ,2018-00008533,04-13-2018,1:11,Ball State University,NA,NA,NA
Criminal Recklessness-handgun                 ,2018-00008579,04-13-2018,3:27,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00008584,04-14-2018,0:24,Ball State University,NA,NA,NA
Illegal Possession of alcohol                 ,2018-00008585,04-14-2018,0:38,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00008594,04-14-2018,2:54,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00008595,04-14-2018,2:57,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Criminal Mischief                             ,2018-00008597,04-14-2018,3:07,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2018-00008633,04-14-2018,5:33,Ball State University,NA,NA,NA
Theft                                         ,2018-00008642,04-14-2018,9:00,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00008645,04-14-2018,9:55,Ball State University,NA,NA,NA
Intimidation                                  ,2018-00008651,04-14-2018,3:07,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Driver        ,2018-00008655,04-15-2018,1:53,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00008657,04-15-2018,2:26,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00008661,04-15-2018,4:14,Ball State University,NA,NA,NA
Theft                                         ,2018-00008692,04-15-2018,9:30,Ball State University,NA,NA,NA
Criminal Recklessness-handgun                 ,2018-00008712,04-16-2018,1:32,Ball State University,NA,NA,NA
Invasion of Privacy                           ,2018-00008841,04-17-2018,5:25,Ball State University,NA,NA,NA
Harassment                                    ,2018-00008915,04-18-2018,0:49,Ball State University,NA,NA,NA
Battery                                       ,2018-00008930,04-18-2018,4:30,Ball State University,NA,NA,NA
Residential Entry                             ,2018-00008936,04-18-2018,1:40,Ball State University,NA,NA,NA
Assist Other Agency-Criminal Recklessness     ,2018-00008965,04-19-2018,3:10,Ball State University,NA,NA,NA
Burglary                                      ,2018-00009001,04-19-2018,1:03,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00009065,04-20-2018,1:53,Ball State University,NA,NA,NA
Criminal Mischief                             ,2018-00009070,04-20-2018,3:08,Ball State University,NA,NA,NA
Assist Other Agency-Residential Entry         ,2018-00009079,04-20-2018,5:28,Ball State University,NA,NA,NA
Operating while never receiving license       ,2018-00009091,04-20-2018,9:50,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00009126,04-20-2018,4:48,Ball State University,NA,NA,NA
Suspicious Activity                           ,2018-00009128,04-20-2018,5:13,Ball State University,NA,NA,NA
Suspicious Activity                           ,2018-00009142,04-20-2018,9:29,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00009151,04-20-2018,3:05,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00009152,04-20-2018,3:19,Ball State University,NA,NA,NA
Mischief                                      ,2018-00009155,04-21-2018,0:23,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00009161,04-21-2018,1:17,Ball State University,NA,NA,NA
Assist Other Agency-Missing Person            ,2018-00009170,04-21-2018,3:00,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Person        ,2018-00009173,04-21-2018,3:42,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00009213,04-21-2018,3:08,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00009232,04-21-2018,1:08,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00009236,04-21-2018,3:56,Ball State University,NA,NA,NA
Assist Other Agency-Leaving scene of accident ,2018-00009237,04-22-2018,0:07,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00009242,04-22-2018,1:13,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00009245,04-22-2018,1:43,Ball State University,NA,NA,NA
Assist Other Agency-Residential Entry         ,2018-00009254,04-22-2018,4:31,Ball State University,NA,NA,NA
Theft                                         ,2018-00009278,04-22-2018,2:51,Ball State University,NA,NA,NA
Theft from Vehicle                            ,2018-00009282,04-22-2018,1:00,Ball State University,NA,NA,NA
Assist Other Agency-Fight                     ,2018-00009294,04-22-2018,7:24,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00009313,04-22-2018,1:29,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00009346,04-23-2018,9:07,Ball State University,NA,NA,NA
Theft                                         ,2018-00009398,04-23-2018,2:04,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00009402,04-24-2018,0:40,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00009403,04-24-2018,0:54,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00009499,04-25-2018,1:36,Ball State University,NA,NA,NA
Theft-bicycle                                 ,2018-00009532,04-25-2018,9:56,Ball State University,NA,NA,NA
Battery                                       ,2018-00009538,04-25-2018,1:22,Ball State University,NA,NA,NA
Theft                                         ,2018-00009585,04-25-2018,0:50,Ball State University,NA,NA,NA
Theft                                         ,2018-00009596,04-25-2018,2:00,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00009664,04-26-2018,6:46,Ball State University,NA,NA,NA
Theft                                         ,2018-00009667,04-26-2018,1:00,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00009685,04-26-2018,1:30,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00009778,04-27-2018,3:26,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2018-00009781,04-28-2018,0:24,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00009784,04-28-2018,0:35,Ball State University,NA,NA,NA
Illegal possession of alcohol                 ,2018-00009786,04-28-2018,1:29,Ball State University,NA,NA,NA
Intoxicted Driver                             ,2018-00009787,04-28-2018,1:46,Ball State University,NA,NA,NA
Battery                                       ,2018-00009788,04-28-2018,1:56,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00009854,04-28-2018,1:10,Ball State University,NA,NA,NA
Assist Other Agency-Narcotics                 ,2018-00009875,04-29-2018,1:57,Ball State University,NA,NA,NA
Criminal Mischief                             ,2018-00009880,04-29-2018,3:45,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00009881,04-29-2018,4:17,Ball State University,NA,NA,NA
Intimidation                                  ,2018-00009973,04-30-2018,0:00,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00010036,05-01-2018,8:36,Ball State University,NA,NA,NA
Harassment                                    ,2018-00010046,05-01-2018,1:00,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00010185,05-03-2018,1:31,Ball State University,NA,NA,NA
Trespassing                                   ,2018-00010190,05-03-2018,2:38,Ball State University,NA,NA,NA
Rape                                          ,2018-00010195,05-03-2018,4:13,Ball State University,NA,NA,NA
Narcotics                                     ,2018-00010244,05-03-2018,3:50,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2018-00010250,05-03-2018,4:55,Ball State University,NA,NA,NA
Check Fraud                                   ,2018-00010252,05-03-2018,6:25,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00010803,05-12-2018,3:31,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00010866,05-13-2018,2:55,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00010914,05-14-2018,3:20,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00010915,05-14-2018,3:27,Ball State University,NA,NA,NA
Theft                                         ,2018-00010940,05-14-2018,5:23,Ball State University,NA,NA,NA
Attempted Theft                               ,2018-00010945,05-14-2018,8:28,Ball State University,NA,NA,NA
Theft                                         ,2018-00010951,05-14-2018,0:00,Ball State University,NA,NA,NA
Resisting Law Enforcement                     ,2018-00010966,05-15-2018,2:32,Ball State University,NA,NA,NA
Traffic Stop-Identitiy Deception              ,2018-00011038,05-15-2018,1:00,Ball State University,NA,NA,NA
Leaving Scene of Accident                     ,2018-00011155,05-17-2018,8:53,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00011211,05-18-2018,0:22,Ball State University,NA,NA,NA
Operating while never receiving license       ,2018-00011218,05-18-2018,1:54,Ball State University,NA,NA,NA
Assist Other Agency- Warrant                  ,2018-00011296,05-18-2018,9:31,Ball State University,NA,NA,NA
Traffic Stop-Narcotics                        ,2018-00011383,05-19-2018,1:51,Ball State University,NA,NA,NA
Intoxicated Driver                            ,2018-00011399,05-20-2018,3:30,Ball State University,NA,NA,NA
Intoxicated Person                            ,2018-00011405,05-20-2018,7:38,Ball State University,NA,NA,NA
Assist Other Agency- Burglary                 ,2018-00011431,05-20-2018,8:25,Ball State University,NA,NA,NA
Assist Other Agency-Residential Entry         ,2018-00011445,05-21-2018,0:57,Ball State University,NA,NA,NA
Assist Other Agency- Armed Robbery            ,2018-00011470,05-21-2018,1:18,Ball State University,NA,NA,NA
Criminal Mischief                             ,2018-00011482,05-21-2018,5:12,Ball State University,NA,NA,NA
Criminal Mischief                             ,2018-00011500,05-22-2018,1:19,Ball State University,NA,NA,NA
Traffic Stop- Narcotics                       ,2018-00011617,05-23-2018,6:45,Ball State University,NA,NA,NA
Criminal Mischief                             ,2018-00011709,05-24-2018,7:13,Ball State University,NA,NA,NA
Theft- Bicycle                                ,2018-00011786,05-25-2018,3:00,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Theft                                          ,2018-00011806,05-25-2018,8:17,Ball State University,NA,NA,NA
Intoxicated Driver                             ,2018-00011828,05-26-2018,2:23,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Person         ,2018-00011833,05-26-2018,3:20,Ball State University,NA,NA,NA
Assist Other Agency-Narcotics                  ,2018-00011845,05-26-2018,6:30,Ball State University,NA,NA,NA
Burglary                                       ,2018-00011855,05-26-2018,8:00,Ball State University,NA,NA,NA
Trespass                                       ,2018-00011869,05-26-2018,6:36,Ball State University,NA,NA,NA
Intoxicated Person                             ,2018-00011888,05-27-2018,3:14,Ball State University,NA,NA,NA
Intoxicated Driver                             ,2018-00011936,05-27-2018,3:50,Ball State University,NA,NA,NA
Burglary                                       ,2018-00011989,05-29-2018,5:46,Ball State University,NA,NA,NA
Burglary                                       ,2018-00012003,05-29-2018,1:00,Ball State University,NA,NA,NA
Intoxicated Person                             ,2018-00012021,05-30-2018,0:54,Ball State University,NA,NA,NA
Assist Other Agency- Subject with a gun        ,2018-00012070,05-30-2018,9:10,Ball State University,NA,NA,NA
Operating while never receiving license        ,2018-00012205,06-02-2018,3:05,Ball State University,NA,NA,NA
Intoxicated Person                             ,2018-00012207,06-02-2018,3:35,Ball State University,NA,NA,NA
Intoxicated Person                             ,2018-00012253,06-02-2018,0:57,Ball State University,NA,NA,NA
Assist Other Agency- Battery                   ,2018-00012263,06-03-2018,2:10,Ball State University,NA,NA,NA
Burglary                                       ,2018-00012318,06-03-2018,7:59,Ball State University,NA,NA,NA
Intoxicated Person                             ,2018-00012360,06-04-2018,9:33,Ball State University,NA,NA,NA
Neglect of Dependent                           ,2018-00012397,06-04-2018,0:42,Ball State University,NA,NA,NA
Criminal Mischief                              ,2018-00012423,06-05-2018,6:37,Ball State University,NA,NA,NA
Narcotics                                      ,2018-00012462,06-05-2018,9:42,Ball State University,NA,NA,NA
Burglary                                       ,2018-00012464,06-05-2018,0:57,Ball State University,NA,NA,NA
Assist Other Agency- Fight                     ,2018-00012663,06-08-2018,1:59,Ball State University,NA,NA,NA
Intoxicated Person                             ,2018-00012672,06-09-2018,1:22,Ball State University,NA,NA,NA
Burglary                                       ,2018-00012754,06-10-2018,0:35,Ball State University,NA,NA,NA
Assist Other Agency-Fight                      ,2018-00012781,06-10-2018,3:48,Ball State University,NA,NA,NA
Intoxicated Person                             ,2018-00012783,06-11-2018,0:11,Ball State University,NA,NA,NA
Criminal Mischief                              ,2018-00012878,06-12-2018,9:00,Ball State University,NA,NA,NA
Assist Other Agency-Intoxicated Person         ,2018-00012911,06-12-2018,1:59,Ball State University,NA,NA,NA
Theft-from vehicle                             ,2018-00012941,06-13-2018,4:00,Ball State University,NA,NA,NA
Theft- Bicycle                                 ,2018-00012960,06-13-2018,5:30,Ball State University,NA,NA,NA
Assist Other Agency-Battery                    ,2018-00013001,06-14-2018,7:18,Ball State University,NA,NA,NA
Theft- Bicycle                                 ,2018-00013008,06-14-2018,8:00,Ball State University,NA,NA,NA
Criminal Mischief                              ,2018-00013010,06-14-2018,1:50,Ball State University,NA,NA,NA
Theft- Bicycle                                 ,2018-00013024,06-14-2018,4:26,Ball State University,NA,NA,NA
Assist Other Agency- Intoxicated Driver        ,2018-00013032,06-14-2018,0:08,Ball State University,NA,NA,NA
Intoxicated Driver                             ,2018-00013037,06-15-2018,5:21,Ball State University,NA,NA,NA
Assist Other Agency- Domestic Dispute          ,2018-00013081,06-15-2018,4:28,Ball State University,NA,NA,NA
Assist Other Agency-Leaving scene of accident  ,2018-00013090,06-15-2018,1:08,Ball State University,NA,NA,NA
Leaving Scene of Accident                      ,2018-00013244,06-18-2018,9:04,Ball State University,NA,NA,NA
Theft- Bicycle                                 ,2018-00013260,06-18-2018,7:30,Ball State University,NA,NA,NA
Driving While Suspended                        ,2018-00013268,06-18-2018,7:00,Ball State University,NA,NA,NA
Driving While Suspended                        ,2018-00013308,06-19-2018,8:56,Ball State University,NA,NA,NA
Assist Other Agency- Domestic Dispute          ,2018-00013349,06-19-2018,3:43,Ball State University,NA,NA,NA
Operating while never receiving license        ,2018-00013393,06-20-2018,3:19,Ball State University,NA,NA,NA
Assist Other Agency- Theft                     ,2018-00013403,06-20-2018,6:47,Ball State University,NA,NA,NA
Driving While Suspended                        ,2018-00013414,06-20-2018,3:53,Ball State University,NA,NA,NA
Assist Other Agency- Criminal Recklessness     ,2018-00013495,06-22-2018,3:30,Ball State University,NA,NA,NA
Intoxicated Person                             ,2018-00013566,06-23-2018,4:15,Ball State University,NA,NA,NA
Illegal Consumption of alcohol                 ,2018-00013614,06-24-2018,0:35,Ball State University,NA,NA,NA
Criminal Recklessness-handgun                  ,2018-00013617,06-24-2018,1:43,Ball State University,NA,NA,NA
Assist Other Agency- Domestic Dispute          ,2018-00013665,06-24-2018,9:11,Ball State University,NA,NA,NA
Assist Other Agency- Domestic Dispute          ,2018-00013682,06-25-2018,0:01,Ball State University,NA,NA,NA
Assist Other Agency- Fight                     ,2018-00013697,06-25-2018,4:34,Ball State University,NA,NA,NA
Theft- Bicycle                                 ,2018-00013788,06-26-2018,3:30,Ball State University,NA,NA,NA
Driving While Suspended                        ,2018-00013801,06-26-2018,5:35,Ball State University,NA,NA,NA
Theft                                          ,2018-00013809,06-26-2018,7:10,Ball State University,NA,NA,NA
Intoxicated Driver                             ,2018-00013820,06-27-2018,3:25,Ball State University,NA,NA,NA
Domestic Disturbance                           ,2018-00013836,06-27-2018,9:51,Ball State University,NA,NA,NA
leaving Scene of Accident                      ,2018-00013857,06-27-2018,4:09,Ball State University,NA,NA,NA
Intoxicated Driver                             ,2018-00013885,06-28-2018,1:11,Ball State University,NA,NA,NA
Criminal Mischief                              ,2018-00013943,06-28-2018,4:00,Ball State University,NA,NA,NA
Driving While Suspended                        ,2018-00013962,06-28-2018,3:49,Ball State University,NA,NA,NA
Intoxicated Person                             ,2018-00014045,06-30-2018,3:22,Ball State University,NA,NA,NA
Assist Other Agency- Fight                     ,2018-00014047,06-30-2018,3:53,Ball State University,NA,NA,NA
Driving While Suspended                        ,2018-00014096,06-30-2018,1:02,Ball State University,NA,NA,NA
Assist Other Agency- Probation Violation       ,2018-00014147,07-01-2018,6:48,Ball State University,NA,NA,NA
Trespass                                       ,2018-00014150,07-01-2018,8:21,Ball State University,NA,NA,NA
Theft                                          ,2018-00014151,07-01-2018,0:50,Ball State University,NA,NA,NA
Theft- Bicycle                                 ,2018-00014259,07-03-2018,0:30,Ball State University,NA,NA,NA
Intoxicated Driver                             ,2018-00014278,07-04-2018,2:57,Ball State University,NA,NA,NA
