incident,case_number,date_reported,time_reported,university,time_occurred,date_occurred,location
Check Subject              ,2015-00007872,05-25-2015,5:31,Ball State University,NA,NA,NA
Burglary                   ,2015-00007897,05-26-2015,0:13,Ball State University,NA,NA,NA
Burglary                   ,2015-00007898,05-26-2015,0:55,Ball State University,NA,NA,NA
Assist                     ,2015-00007965,05-27-2015,2:08,Ball State University,NA,NA,NA
Burglary                   ,2015-00008004,05-28-2015,0:07,Ball State University,NA,NA,NA
Recovered Property         ,2015-00008034,05-28-2015,6:22,Ball State University,NA,NA,NA
Traffic Stop               ,2015-00008058,05-29-2015,1:11,Ball State University,NA,NA,NA
Burglary                   ,2015-00008069,05-29-2015,9:51,Ball State University,NA,NA,NA
Suspicious Activity        ,2015-00008089,05-29-2015,0:52,Ball State University,NA,NA,NA
Criminal Mischief          ,2015-00008117,05-30-2015,0:13,Ball State University,NA,NA,NA
Traffic Stop               ,2015-00008128,05-31-2015,2:36,Ball State University,NA,NA,NA
Burglary                   ,2015-00008204,06-01-2015,5:30,Ball State University,NA,NA,NA
Theft                      ,2015-00008207,06-01-2015,6:39,Ball State University,NA,NA,NA
Suspicious Person          ,2015-00008225,06-02-2015,1:52,Ball State University,NA,NA,NA
Burglary                   ,2015-00008247,06-02-2015,7:09,Ball State University,NA,NA,NA
Assist                     ,2015-00008253,06-02-2015,9:05,Ball State University,NA,NA,NA
Security Check             ,2015-00008267,06-03-2015,1:40,Ball State University,NA,NA,NA
Traffic Stop               ,2015-00008315,06-03-2015,1:29,Ball State University,NA,NA,NA
Theft                      ,2015-00008317,06-03-2015,1:57,Ball State University,NA,NA,NA
Burglary                   ,2015-00008391,06-05-2015,3:19,Ball State University,NA,NA,NA
Suspicious Activity        ,2015-00008392,06-05-2015,3:23,Ball State University,NA,NA,NA
Theft                      ,2015-00008524,06-09-2015,2:22,Ball State University,NA,NA,NA
Theft                      ,2015-00008525,06-09-2015,2:22,Ball State University,NA,NA,NA
Suspicious Activity        ,2015-00008645,06-12-2015,1:00,Ball State University,NA,NA,NA
Burglary                   ,2015-00008664,06-12-2015,4:41,Ball State University,NA,NA,NA
Traffic Stop               ,2015-00008695,06-13-2015,2:46,Ball State University,NA,NA,NA
Intoxicated Person         ,2015-00008696,06-13-2015,3:36,Ball State University,NA,NA,NA
Criminal Mischief          ,2015-00008727,06-13-2015,1:47,Ball State University,NA,NA,NA
Burglary                   ,2015-00008728,06-13-2015,2:39,Ball State University,NA,NA,NA
Theft                      ,2015-00008790,06-15-2015,1:54,Ball State University,NA,NA,NA
Theft                      ,2015-00008801,06-15-2015,5:59,Ball State University,NA,NA,NA
Criminal Mischief          ,2015-00008820,06-16-2015,0:02,Ball State University,NA,NA,NA
Forgery                    ,2015-00008834,06-16-2015,6:57,Ball State University,NA,NA,NA
Narcotics                  ,2015-00008847,06-16-2015,2:07,Ball State University,NA,NA,NA
Suspicious Person          ,2015-00008853,06-17-2015,3:02,Ball State University,NA,NA,NA
Theft                      ,2015-00008867,06-17-2015,6:45,Ball State University,NA,NA,NA
Theft                      ,2015-00008951,06-19-2015,1:00,Ball State University,NA,NA,NA
Theft                      ,2015-00009004,06-20-2015,3:11,Ball State University,NA,NA,NA
Speak to Officer           ,2015-00009009,06-21-2015,1:41,Ball State University,NA,NA,NA
Suspicious Activity        ,2015-00009020,06-21-2015,1:29,Ball State University,NA,NA,NA
Theft                      ,2015-00009079,06-22-2015,6:41,Ball State University,NA,NA,NA
Theft                      ,2015-00009141,06-24-2015,0:29,Ball State University,NA,NA,NA
Accident-Property Damage   ,2015-00009154,06-24-2015,5:43,Ball State University,NA,NA,NA
Theft                      ,2015-00009157,06-24-2015,6:55,Ball State University,NA,NA,NA
Ambulance Only             ,2015-00009156,06-24-2015,6:56,Ball State University,NA,NA,NA
Fight                      ,2015-00009159,06-24-2015,7:20,Ball State University,NA,NA,NA
Assist                     ,2015-00009169,06-24-2015,2:56,Ball State University,NA,NA,NA
