year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,rape,unit_id,control_of_institution,level_of_institution,total_price_oncampus_oos,total_price_oncampus_is,total_price_oncampus_id,total_price_offcampus_id,total_price_offcampus_is,total_price_offcampus_oos,total_price_offcampus_id_wfam,total_price_offcampus_is_wfam,total_price_offcampus_oos_wfam,frac_admitted_total,fulltime_retention_rate,undergraduate_enrollment,fulltime_undergraduate_enrollment,frac_total_black,frac_total_hispanic_latino,frac_total_asian,frac_total_white,frac_undergrad_asian,frac_undergrad_white,frac_undergrad_hispanic_latino,frac_undergrad_black,frac_ftime_undergrad_instate,frac_ftime_undergrad_outofstate,frac_ftime_undergrad_foreign_countries,total_enrollment,fulltime_enrollment,graduation_rate_total_cohort,frac_ftime_undergrad_award_any_financial_aid,frac_ftime_undergrad_award_student_loans,frac_core_revenues_tuition_fees,frac_core_revenues_state_apro,frac_core_revenues_local_apro,frac_core_revenues_gov_contracts,frac_core_revenues_priv_gifts_grants,frac_core_revenues_invest_return,frac_core_revenues_other,endowment_assests,state_abbreviation,degreegranting_status,longitude,latitude,calendar_system,sat_math_25,sat_math_75,sat_reading_75,sat_reading_25,student_to_faculty_ratio,sector_desc,sector_cd,noncampus_weapon,noncampus_drug,noncampus_liquor,oncampus_weapon,oncampus_drug,oncampus_liquor,publicproperty_weapon,publicproperty_drug,publicproperty_liquor,reported_weapon,reported_drug,reported_liquor,residencehall_weapon,residencehall_drug,residencehall_liquor,noncampus_murd,noncampus_neg_m,noncampus_rape,noncampus_fondl,noncampus_inces,noncampus_statr,noncampus_robbe,noncampus_agg_a,noncampus_burgla,noncampus_vehic,noncampus_arson,oncampus_murd,oncampus_neg_m,oncampus_rape,oncampus_fondl,oncampus_inces,oncampus_statr,oncampus_robbe,oncampus_agg_a,oncampus_burgla,oncampus_vehic,oncampus_arson,publicproperty_murd,publicproperty_neg_m,publicproperty_rape,publicproperty_fondl,publicproperty_inces,publicproperty_statr,publicproperty_robbe,publicproperty_agg_a,publicproperty_burgla,publicproperty_vehic,publicproperty_arson,reported_murd,reported_neg_m,reported_rape,reported_fondl,reported_inces,reported_statr,reported_robbe,reported_agg_a,reported_burgla,reported_vehic,reported_arson,residencehall_murd,residencehall_neg_m,residencehall_rape,residencehall_fondl,residencehall_inces,residencehall_statr,residencehall_robbe,residencehall_agg_a,residencehall_burgla,residencehall_vehic,residencehall_arson,reason1,reason2,reason3,university_enacted_1,university_enacted_2,clery_sexual_assault,clery_alcohol,clery_drug,clery_robbery,clery_offcampus_sexual_assault,clery_oncampus_sexual_assault,clery_oncampus_drug,clery_oncampus_liquor,residencehall_sexual_assault,clery_sexual_assault_per_25k,clery_alcohol_per_25k,clery_drug_per_25k,clery_robbery_per_25k,clery_offcampus_sexual_assault_per_25k,clery_oncampus_sexual_assault_per_25k,clery_oncampus_drug_per_25k,clery_oncampus_liquor_per_25k,residencehall_sexual_assault_per_25k,residencehall_drug_per_25k,residencehall_liquor_per_25k,sexual_assault_per_25k,alcohol_offense_per_25k,robbery_burglary_per_25k,drug_offense_per_25k,noncampus_liquor_per_25k,noncampus_drug_per_25k,noncampus_rape_per_25k
2017,SUNY at Albany,7,59,3,133,13,59,0,0,3,196060,Public,4-year,40562,25682,25682,22313,22313,37193,12563,12563,27443,0.54,83,13508,12740,0.16,0.14,0.07,0.47,0.08,0.45,0.17,0.18,0.91,0.05,0.04,17743,14849,65,0.83,0.59,0.24,0.39,0,0.27,0.04,0,0.06,4114,NY,1,-73.824662,42.685489,Semester,530,610,650,550,19,"Public, 4-year or above",1,0,0,0,3,208,175,0,0,1,0,0,0,3,190,174,0,0,0,0,0,0,0,0,0,0,0,0,0,19,16,0,0,5,0,12,13,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,4,0,7,0,1,NA,NA,NA,NA,NA,35,176,208,5,0,35,208,175,30,49.31522290480753,247.98512089274644,293.0733246914276,7.045031843543933,0,49.31522290480753,293.0733246914276,246.57611452403765,42.270191061263596,267.71121005466944,245.16710815532886,9.863044580961507,83.1313757538184,18.317082793214226,4.22701910612636,0,0,0
2018,SUNY at Albany,11,47,4,133,23,47,0,0,6,196060,Public,4-year,43574,26734,26734,22881,22881,39721,13131,13131,29971,0.52,81,13598,12899,0.16,0.15,0.07,0.46,0.08,0.44,0.17,0.19,0.92,0.04,0.04,17944,15056,64,0.85,0.63,0.23,0.42,0,0.29,0.04,0,0.02,4453,NY,1,-73.824662,42.685489,Semester,550,630,630,550,19,"Public, 4-year or above",1,0,0,0,4,205,174,0,1,2,0,0,0,3,156,172,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,4,1,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,14,0,0,NA,NA,NA,NA,NA,23,176,206,4,0,23,205,174,23,32.04413731609451,245.2073116362015,287.0040124832813,5.572893446277307,0,32.04413731609451,285.61078912171195,242.42086491306287,32.04413731609451,217.34284440481497,239.63441818992422,15.325456977262593,65.48149799375837,32.04413731609451,5.572893446277307,0,0,0
2019,SUNY at Albany,6,43,9,139,10,43,0,0,4,196060,Public,4-year,44726,27136,27136,23290,23290,40880,13296,13296,30886,0.54,80,13286,12568,0.16,0.15,0.08,0.47,0.08,0.43,0.18,0.19,0.91,0.05,0.03,17544,14676,63,NA,NA,0.21,0.42,0,0.3,0.06,0.01,0.01,4625,NA,NA,-73.824662,42.685489,Semester,540,630,620,550,18,"Public, 4-year or above",1,0,0,0,3,211,94,0,0,0,0,0,0,3,167,93,0,0,1,0,0,0,0,0,0,0,0,0,0,19,9,0,0,1,2,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,7,0,1,NA,NA,NA,NA,NA,29,94,211,1,1,28,211,94,21,41.32466940264478,133.94892840857273,300.67259461924306,1.4249886000911993,1.4249886000911993,39.899680802553576,300.67259461924306,133.94892840857273,29.924760601915185,237.97309621523027,132.52393980848154,8.549931600547195,61.27450980392157,14.249886000911992,12.824897400820793,0,0,1.4249886000911993
2014,Syracuse University,11,254,65,271,60,254,32,0,0,196413,Private not-for-profit,4-year,59320,59320,59320,59320,59320,59320,44860,44860,44860,0.53,92,15224,14532,0.08,0.09,0.06,0.52,0.08,0.56,0.11,0.09,0.33,0.54,0.13,21492,19356,80,0.73,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,-76.136738,43.040525,Semester,550,660,620,520,16,"Private nonprofit, 4-year or above",2,0,0,4,1,87,900,0,0,14,0,0,0,1,82,833,0,0,0,0,0,0,1,0,8,0,0,0,0,5,4,0,0,1,0,41,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,18,0,0,behavior,NA,NA,1,NA,9,918,87,4,0,9,87,900,9,10.469011725293132,1067.8391959798994,101.20044667783363,4.652894100130281,0,10.469011725293132,101.20044667783363,1046.9011725293133,10.469011725293132,95.38432905267076,968.965196352131,12.795458775358274,295.4587753582729,69.79341150195421,75.60952912711706,4.652894100130281,0,0
2015,Syracuse University,20,321,90,256,56,321,23,0,0,196413,Private not-for-profit,4-year,61242,61242,61242,61242,61242,61242,46362,46362,46362,0.48,91,15196,14566,0.07,0.09,0.06,0.52,0.08,0.55,0.1,0.08,0.33,0.53,0.13,21789,19331,81,0.71,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,-76.136633,43.040005,Semester,560,660,630,530,16,"Private nonprofit, 4-year or above",2,0,1,10,1,124,1020,0,2,6,0,0,0,1,120,981,0,0,2,2,0,0,0,0,2,2,0,0,0,8,6,0,0,1,0,35,3,2,0,0,1,0,0,0,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,20,0,1,behavior,NA,NA,1,NA,19,1036,127,6,5,14,124,1020,9,21.799990821056497,1188.6731837165544,145.7157281196934,6.884207627702051,5.73683968975171,16.063151131304785,142.27362430584242,1170.3152967093488,10.326311441553077,137.68415255404102,1125.5679471292856,22.94735875900684,368.30510808205975,64.25260452521914,103.26311441553077,11.47367937950342,1.1473679379503419,2.2947358759006837
2016,Syracuse University,4,100,59,47,19,100,4,0,1,196413,Private not-for-profit,4-year,63344,63344,63344,63344,63344,63344,48127,48127,48127,0.52,91,15218,14607,0.07,0.08,0.06,0.53,0.07,0.56,0.1,0.08,0.31,0.56,0.14,21970,19153,82,0.73,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,-76.136975,43.040176,Semester,560,660,630,530,15,"Private nonprofit, 4-year or above",2,0,2,7,2,215,1073,0,1,11,0,0,0,2,180,1038,1,0,2,2,0,0,0,0,8,0,0,0,0,12,3,0,0,0,2,40,3,2,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,26,0,1,behavior,NA,NA,1,NA,19,1091,218,0,4,15,215,1073,13,21.62039144287665,1241.4656349567592,248.0655439235321,0,4.551661356395084,17.068730086481565,244.65179790623577,1220.9831588529812,14.792899408284024,204.82476103777879,1181.1561219845244,4.551661356395084,113.7915339098771,21.62039144287665,67.1370050068275,7.965407373691398,2.275830678197542,2.275830678197542
2017,Syracuse University,20,196,84,93,27,196,13,0,0,196413,Private not-for-profit,4-year,65480,65480,65480,65480,65480,65480,49922,49922,49922,0.47,91,15252,14675,0.07,0.08,0.06,0.54,0.07,0.57,0.09,0.07,0.3,0.56,0.14,22484,19238,83,0.79,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,-76.136975,43.040176,Semester,580,680,670,580,15,"Private nonprofit, 4-year or above",2,0,3,12,0,186,1023,0,1,30,0,0,0,0,177,944,0,0,4,0,0,0,0,1,6,0,0,0,0,13,6,0,0,2,0,28,0,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,1,0,22,0,1,behavior,NA,NA,1,NA,23,1065,190,3,4,19,186,1023,16,25.573741327165987,1184.1754136274683,211.26134139832772,3.335705390499911,4.447607187333214,21.12613413983277,206.81373421099448,1137.4755381604696,17.790428749332857,196.80661803949474,1049.6352962106387,22.238035936666076,217.93275217932754,30.021348514499202,93.39975093399751,13.342821561999644,3.335705390499911,4.447607187333214
2018,Syracuse University,20,166,78,144,26,166,8,0,0,196413,Private not-for-profit,4-year,70636,70636,70636,70636,70636,70636,55086,55086,55086,0.5,90,15226,14655,0.07,0.08,0.06,0.53,0.07,0.57,0.09,0.06,0.3,0.56,0.14,22803,19184,83,0.82,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,-76.136975,43.040176,Semester,590,700,670,590,15,"Private nonprofit, 4-year or above",2,0,0,2,2,264,669,0,0,14,0,0,0,2,258,644,0,0,1,0,0,0,0,3,5,1,0,0,0,10,5,0,0,2,2,38,4,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,1,1,31,0,2,behavior,NA,NA,1,NA,16,685,264,2,1,15,264,669,13,17.54155155023462,750.9976757444196,289.4356005788712,2.1926939437793274,1.0963469718896637,16.445204578344956,289.4356005788712,733.456124194185,14.252510634565628,282.8575187475332,706.0474498969434,21.926939437793273,181.99359733368416,28.505021269131255,85.51506380739376,2.1926939437793274,0,1.0963469718896637
2019,Syracuse University,24,226,75,147,37,226,5,0.06027397260273973,0,196413,Private not-for-profit,4-year,73069,73069,73069,73069,73069,73069,57159,57159,57159,0.44,92,15275,14727,0.07,0.09,0.06,0.53,0.06,0.56,0.09,0.06,0.27,0.55,0.18,22850,19232,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.136975,43.040176,Semester,600,710,670,580,15,"Private nonprofit, 4-year or above",2,0,0,57,1,71,440,0,0,1,0,0,0,1,69,438,0,0,1,1,0,0,0,4,4,2,0,0,0,10,5,0,0,2,2,7,3,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,1,6,0,0,behavior,NA,NA,1,NA,17,498,71,3,2,15,71,440,14,18.599562363238512,544.8577680525165,77.68052516411379,3.282275711159737,2.1881838074398248,16.411378555798688,77.68052516411379,481.4004376367615,15.317286652078774,75.49234135667396,479.21225382932164,26.258205689277897,247.26477024070022,40.481400437636765,82.05689277899343,62.36323851203502,0,1.0940919037199124
2014,Texas A & M University-College Station,10,573,76,397,24,573,4,0,0,228723,Public,4-year,39873,22975,22975,22975,22975,39873,13453,13453,30351,0.71,90,47093,42129,0.03,0.18,0.06,0.61,0.05,0.66,0.21,0.03,0.95,0.05,0.01,61642,53817,79,0.78,0.32,0.15,0.19,0,0.13,0.26,0.08,0.2,201464,TX,1,-96.340322,30.613226,Semester,560,670,640,520,20,"Public, 4-year or above",1,0,0,3,5,57,126,0,0,0,0,0,0,3,7,88,0,0,3,0,0,0,1,0,1,0,0,0,0,9,8,0,0,0,8,36,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,2,3,0,0,NA,NA,NA,NA,NA,20,129,57,1,3,17,57,126,7,8.111352649167776,52.31822458713215,23.11735505012816,0.4055676324583888,1.2167028973751663,6.89464975179261,23.11735505012816,51.101521689756986,2.8389734272087215,2.8389734272087215,35.68995165633821,4.055676324583888,232.39025339865677,9.73362317900133,30.823140066837546,1.2167028973751663,0,1.2167028973751663
2015,Texas A & M University-College Station,13,408,87,430,52,408,6,0,0,228723,Public,4-year,43364,24772,24772,24772,24772,43364,14434,14434,33026,0.67,90,48959,43531,0.03,0.19,0.06,0.59,0.06,0.64,0.22,0.03,0.94,0.05,0,63813,55471,79,0.77,0.33,0.19,0.22,0,0.16,0.11,-0.01,0.32,175369,TX,1,-96.340322,30.613226,Semester,550,670,640,520,20,"Public, 4-year or above",1,0,0,0,2,83,149,0,1,1,0,0,0,1,68,144,0,0,2,0,0,0,0,0,10,0,0,0,0,16,9,0,0,1,3,58,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,34,0,0,NA,NA,NA,NA,NA,27,150,84,1,2,25,83,149,19,10.5777819566546,58.765455314747776,32.90865497625876,0.3917697020983185,0.783539404196637,9.794242552457963,32.51688527416044,58.37368561264946,7.443624339868052,26.640339742685658,56.41483710215787,5.093006127278141,159.84203845611395,20.372024509112563,34.08396408255371,0,0,0.783539404196637
2016,Texas A & M University-College Station,44,783,168,541,82,783,40,0,0,228723,Public,4-year,48456,28278,28278,28278,28278,48456,17910,17910,38088,0.67,91,50735,45091,0.03,0.2,0.07,0.59,0.06,0.63,0.23,0.03,0.94,0.05,0.01,65632,56924,80,0.75,0.34,0.18,0.22,0,0.14,0.12,0.03,0.31,171057,TX,1,-96.336475,30.618726,Semester,550,670,640,520,21,"Public, 4-year or above",1,0,1,5,7,107,169,0,1,0,0,0,0,6,84,161,0,0,3,1,0,0,0,0,0,1,0,0,0,39,11,0,0,5,23,57,31,3,0,0,0,2,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0,0,6,28,0,0,NA,NA,NA,NA,NA,56,174,109,7,6,50,107,169,36,21.331058020477816,66.2786445636275,41.5193807898586,2.666382252559727,2.285470502194052,19.045587518283764,40.757557289127256,64.37408581179912,13.71282301316431,31.99658703071672,61.32679180887372,16.760117016089712,298.2539005363237,31.234763529985372,63.99317406143344,1.9045587518283764,0.38091175036567526,1.142735251097026
2017,Texas A & M University-College Station,67,668,166,361,70,668,6,0,0,228723,Public,4-year,53848,28476,28476,28476,28476,53848,18108,18108,43480,0.71,92,53065,46724,0.03,0.21,0.07,0.57,0.07,0.62,0.23,0.03,0.94,0.04,0.01,67929,58523,82,0.76,0.32,0.19,0.2,0,0.14,0.09,0.04,0.33,182820,TX,1,-96.336475,30.618726,Semester,570,690,670,570,21,"Public, 4-year or above",1,0,0,0,6,104,137,0,1,0,0,0,0,5,66,119,0,0,2,1,0,0,0,0,5,4,0,0,0,97,25,0,0,2,12,49,11,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,18,0,0,1,1,18,0,2,NA,NA,NA,NA,NA,125,137,105,2,3,122,104,137,111,46.00391585331744,50.4202917752359,38.64328931678665,0.736062653653079,1.1040939804796184,44.89982187283782,38.2752579899601,50.4202917752359,40.851477277745886,24.290067570551606,43.7957278923582,24.658098897378142,245.8449263201284,25.762192877857764,61.09320025320555,0,0,0.736062653653079
2018,Texas A & M University-College Station,78,557,215,340,85,557,1,0,0,228723,Public,4-year,55131,29506,29506,29506,29506,55131,19070,19070,44695,0.68,92,53743,47399,0.03,0.21,0.08,0.56,0.08,0.6,0.24,0.03,0.94,0.05,0.01,68679,59220,82,0.76,0.3,0.2,0.22,0,0.15,0.11,0.05,0.27,209128,TX,1,-96.336475,30.618726,Semester,590,700,680,580,20,"Public, 4-year or above",1,0,7,81,2,65,109,0,0,0,0,0,0,1,58,100,0,0,1,0,0,0,0,0,0,0,0,0,0,44,161,0,0,5,24,69,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,0,0,0,5,15,0,0,NA,NA,NA,NA,NA,206,190,72,5,1,205,65,109,56,74.98653154530497,69.16233492042691,26.20888481195125,1.8200614452743924,0.3640122890548785,74.62251925625009,23.660798788567103,39.67733950698176,20.384688187073195,21.112712765182955,36.40122890548785,28.39295854628052,202.75484500356734,30.941044569664673,78.26264214679888,29.48499541344516,2.5480860233841494,0.3640122890548785
2019,Texas A & M University-College Station,61,421,130,262,60,421,1,0,0,228723,Public,4-year,56532,30083,30083,30083,30083,56532,19683,19683,46132,0.58,93,53791,47667,0.03,0.22,0.08,0.55,0.08,0.59,0.25,0.03,0.95,0.05,0.01,68726,59447,82,NA,NA,0.18,0.19,0,0.15,0.1,0.02,0.36,207162,NA,NA,-96.336475,30.618726,Semester,580,710,680,580,21,"Public, 4-year or above",1,0,4,6,1,69,135,0,1,0,0,0,0,1,57,117,0,0,1,0,0,0,0,0,1,0,0,0,0,27,31,0,0,7,14,43,33,1,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,0,0,1,3,19,1,1,NA,NA,NA,NA,NA,59,141,74,8,1,58,69,135,41,21.462037656782,51.29063236620784,26.91848790850624,2.9101068009195936,0.3637633501149492,21.098274306667054,25.099671157931496,49.10805226551815,14.914297354712918,20.734510956552104,42.56031196344906,22.189564357011903,153.14437039839362,21.825801006896953,47.2892355149434,2.182580100689695,1.4550534004597968,0.3637633501149492
2014,Texas Christian University,9,76,27,87,26,76,0,0,0,228875,Private not-for-profit,4-year,53730,53730,53730,53730,53730,53730,42350,42350,42350,0.49,90,8647,8338,0.05,0.11,0.03,0.73,0.03,0.74,0.11,0.05,0.44,0.51,0.04,10033,9552,75,0.77,0.27,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-97.361537,32.709568,Semester,550,650,630,530,13,"Private nonprofit, 4-year or above",2,0,0,0,1,102,769,0,0,0,0,0,0,0,93,749,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,1,5,25,9,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,1,19,0,1,NA,NA,NA,NA,NA,10,769,102,1,0,10,102,769,10,24.91777135453005,1916.176617163361,254.1612678162065,2.4917771354530047,0,24.91777135453005,254.1612678162065,1916.176617163361,24.91777135453005,231.73527359712946,1866.341074454301,22.425994219077044,189.37506229442837,64.78620552177813,67.27798265723114,0,0,0
2015,Texas Christian University,10,148,20,94,25,148,0,0,0,228875,Private not-for-profit,4-year,58270,58270,58270,58270,58270,58270,46470,46470,46470,0.43,90,8894,8586,0.05,0.11,0.03,0.72,0.03,0.73,0.11,0.05,0.45,0.51,0.04,10324,9849,76,0.81,0.28,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-97.361537,32.709568,Semester,550,650,630,530,13,"Private nonprofit, 4-year or above",2,0,0,0,2,91,771,0,0,28,0,0,0,2,85,600,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,2,17,3,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,9,0,1,NA,NA,NA,NA,NA,12,799,91,2,0,12,91,771,12,29.05850445563735,1934.8120883378538,220.3603254552499,4.843084075939559,0,29.05850445563735,220.3603254552499,1867.0089112746996,29.05850445563735,205.83107322743123,1452.9252227818674,24.215420379697793,358.3882216195273,60.53855094924448,48.430840759395586,0,0,0
2016,Texas Christian University,15,83,48,125,25,83,0,0,0,228875,Private not-for-profit,4-year,60420,60420,60420,60420,60420,60420,48420,48420,48420,0.38,91,8891,8608,0.05,0.12,0.03,0.71,0.03,0.72,0.12,0.05,0.43,0.53,0.04,10394,9969,77,0.8,0.29,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-97.361537,32.709568,Semester,540,650,630,530,13,"Private nonprofit, 4-year or above",2,0,0,0,2,161,734,0,0,11,0,0,0,2,155,658,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,19,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,1,NA,NA,NA,NA,NA,5,745,161,1,0,5,161,734,3,12.02616894362132,1791.8991725995766,387.2426399846065,2.405233788724264,0,12.02616894362132,387.2426399846065,1765.4416009236097,7.215701366172793,372.8112372522609,1582.6438329805658,36.07850683086396,199.6344044641139,60.1308447181066,115.45122185876468,0,0,0
2017,Texas Christian University,9,138,31,69,29,138,1,0,0,228875,Private not-for-profit,4-year,62970,62970,62970,62970,62970,62970,50230,50230,50230,0.41,91,9011,8738,0.06,0.13,0.03,0.69,0.03,0.71,0.13,0.05,0.43,0.53,0.04,10489,10092,83,0.8,0.3,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-97.361537,32.709568,Semester,560,670,660,570,13,"Private nonprofit, 4-year or above",2,0,0,0,0,104,628,0,0,2,0,0,0,0,103,533,0,0,0,0,0,0,0,0,0,0,0,1,0,11,6,0,0,1,2,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,1,18,0,0,NA,NA,NA,NA,NA,17,630,104,1,0,17,104,628,16,40.51863857374392,1501.5730765563924,247.8787300981981,2.3834493278672895,0,40.51863857374392,247.8787300981981,1496.8061779006578,38.13518924587663,245.49528077033082,1270.3784917532653,21.451043950805605,328.916007245686,69.1200305081514,73.88692916388597,0,0,0
2018,Texas Christian University,3,106,28,67,26,106,2,0,0,228875,Private not-for-profit,4-year,65684,65684,65684,65684,65684,65684,52540,52540,52540,0.41,92,9445,9162,0.06,0.14,0.03,0.68,0.03,0.69,0.14,0.06,0.4,0.55,0.05,10918,10486,83,0.83,0.3,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-97.364758,32.70961,Semester,570,683,660,580,13,"Private nonprofit, 4-year or above",2,0,0,0,0,126,757,0,1,3,0,0,0,0,79,680,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,1,14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,8,0,0,NA,NA,NA,NA,NA,10,760,127,0,0,10,126,757,10,22.89796666056054,1740.2454662026012,290.80417658911887,0,0,22.89796666056054,288.51437992306285,1733.376076204433,22.89796666056054,180.89393661842828,1557.0617329181168,6.869389998168163,242.71844660194174,59.53471331745741,64.11430664956951,0,0,0
2019,Texas Christian University,5,113,27,75,22,113,0,0,0,228875,Private not-for-profit,4-year,68414,68414,68414,68414,68414,68414,54874,54874,54874,0.47,91,9474,9219,0.05,0.14,0.03,0.67,0.03,0.68,0.15,0.05,0.43,0.53,0.04,11024,10623,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.364758,32.70961,Semester,570,680,670,580,13,"Private nonprofit, 4-year or above",2,0,0,0,0,76,683,0,2,3,0,0,0,0,74,599,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,2,0,14,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,5,0,1,NA,NA,NA,NA,NA,11,686,78,3,0,11,76,683,11,24.945573294629895,1555.6966618287372,176.8867924528302,6.803338171262699,0,24.945573294629895,172.35123367198838,1548.8933236574746,24.945573294629895,167.81567489114659,1358.399854862119,11.3388969521045,256.2590711175617,49.89114658925979,61.230043541364296,0,0,0
2014,Texas State University,8,215,159,173,75,215,0,0,0,228459,Public,4-year,30846,20710,20710,20710,20710,30846,15930,15930,26066,0.73,76,32177,26234,0.08,0.32,0.02,0.52,0.02,0.51,0.33,0.08,0.98,0.01,0,36739,28860,55,0.79,0.61,0.4,0.24,0,0.19,0.03,0.01,0.14,5234,TX,1,-97.936392,29.889202,Semester,470,560,560,460,23,"Public, 4-year or above",1,0,1,0,0,3,51,0,0,0,0,0,0,0,2,51,0,0,0,0,0,0,0,0,1,0,1,0,0,4,1,0,0,2,4,37,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,22,0,2,death,NA,NA,1,NA,5,51,4,2,0,5,3,51,4,3.4023789433571956,34.70426522224339,2.7219031546857564,1.3609515773428782,0,3.4023789433571956,2.041427366014317,34.70426522224339,2.7219031546857564,1.3609515773428782,34.70426522224339,5.443806309371513,146.30229456435941,51.03568415035793,108.19565039875883,0,0.6804757886714391,0
2015,Texas State University,6,187,164,161,53,187,0,0,0,228459,Public,4-year,32248,21328,21328,21328,21328,32248,16458,16458,27378,0.71,78,33480,27369,0.09,0.33,0.02,0.5,0.02,0.49,0.35,0.09,0.98,0.02,0,37979,29959,53,0.8,0.58,0.44,0.24,0,0.19,0.04,0.01,0.08,5254,TX,1,-97.936392,29.889202,Semester,470,560,560,460,23,"Public, 4-year or above",1,0,0,0,1,3,54,0,0,0,0,0,0,1,3,54,0,0,1,0,0,0,1,0,5,0,0,0,0,0,2,0,0,4,1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,death,NA,NA,1,NA,3,54,3,5,1,2,3,54,2,1.9747755338476525,35.54595960925774,1.9747755338476525,3.2912925564127544,0.6582585112825509,1.3165170225651017,1.9747755338476525,35.54595960925774,1.3165170225651017,1.9747755338476525,35.54595960925774,3.949551067695305,123.09434160983702,34.887701097975196,107.95439585033836,0,0,0.6582585112825509
