month,year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,closure_1,closure_1_end,closure_2,closure_2_end,university_enacted_1,university_enacted_2,reason1,reason2,unit_id,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_,state_abbreviation,fips_state_code,sector_of_institution,level_of_institution,control_of_institution,degree_granting_status,postsecondary_and_title_iv_institution_indicator,institutional_category,institution_size_category,longitude,latitude,x91,total_students_all,total_black_all,total_asian_all,total_women_all,total_men_all,total_undergrad_men,total_undergrad_women,total_undergrad_black,total_undergrad_asian,total_undergrad_hispanic,total_undergrad_white_men,total_undergrad_white_women,total_white_all,ftime_total_undergrad,ftime_total_undergrad_men,ftime_total_undergrad_women,total_students_undergrad
2,2018,Rutgers University-New Brunswick,1,5,12,14,0,5,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,80,36039,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50254,3838,12024,26887,23367,17862,18177,2497,9890,4722,6987,6542,19556,34052,16947,17105,36039
3,2018,Rutgers University-New Brunswick,0,6,6,15,0,6,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,80,36039,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50254,3838,12024,26887,23367,17862,18177,2497,9890,4722,6987,6542,19556,34052,16947,17105,36039
4,2018,Rutgers University-New Brunswick,2,18,14,16,3,18,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,80,36039,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50254,3838,12024,26887,23367,17862,18177,2497,9890,4722,6987,6542,19556,34052,16947,17105,36039
5,2018,Rutgers University-New Brunswick,1,9,5,10,0,9,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,80,36039,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50254,3838,12024,26887,23367,17862,18177,2497,9890,4722,6987,6542,19556,34052,16947,17105,36039
6,2018,Rutgers University-New Brunswick,0,2,3,12,4,2,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,80,36039,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50254,3838,12024,26887,23367,17862,18177,2497,9890,4722,6987,6542,19556,34052,16947,17105,36039
7,2018,Rutgers University-New Brunswick,0,5,4,3,1,5,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,80,36039,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50254,3838,12024,26887,23367,17862,18177,2497,9890,4722,6987,6542,19556,34052,16947,17105,36039
8,2018,Rutgers University-New Brunswick,0,3,3,5,0,3,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,80,36039,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50254,3838,12024,26887,23367,17862,18177,2497,9890,4722,6987,6542,19556,34052,16947,17105,36039
9,2018,Rutgers University-New Brunswick,1,8,15,18,1,8,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,80,36039,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50254,3838,12024,26887,23367,17862,18177,2497,9890,4722,6987,6542,19556,34052,16947,17105,36039
10,2018,Rutgers University-New Brunswick,1,5,7,14,3,5,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,80,36039,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50254,3838,12024,26887,23367,17862,18177,2497,9890,4722,6987,6542,19556,34052,16947,17105,36039
11,2018,Rutgers University-New Brunswick,2,9,16,10,5,9,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,80,36039,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50254,3838,12024,26887,23367,17862,18177,2497,9890,4722,6987,6542,19556,34052,16947,17105,36039
12,2018,Rutgers University-New Brunswick,0,7,12,12,3,7,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,80,36039,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50254,3838,12024,26887,23367,17862,18177,2497,9890,4722,6987,6542,19556,34052,16947,17105,36039
1,2019,Rutgers University-New Brunswick,1,8,12,4,0,8,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,84,NA,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50173,3650,12509,26807,23366,18098,18060,2298,10392,4647,6761,6266,18812,34285,17214,17071,36158
2,2019,Rutgers University-New Brunswick,1,2,5,12,1,2,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,84,NA,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50173,3650,12509,26807,23366,18098,18060,2298,10392,4647,6761,6266,18812,34285,17214,17071,36158
3,2019,Rutgers University-New Brunswick,0,2,9,17,2,2,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,84,NA,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50173,3650,12509,26807,23366,18098,18060,2298,10392,4647,6761,6266,18812,34285,17214,17071,36158
4,2019,Rutgers University-New Brunswick,1,3,8,13,2,3,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,84,NA,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50173,3650,12509,26807,23366,18098,18060,2298,10392,4647,6761,6266,18812,34285,17214,17071,36158
5,2019,Rutgers University-New Brunswick,0,3,3,11,4,3,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,84,NA,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50173,3650,12509,26807,23366,18098,18060,2298,10392,4647,6761,6266,18812,34285,17214,17071,36158
6,2019,Rutgers University-New Brunswick,0,3,2,5,1,3,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,84,NA,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50173,3650,12509,26807,23366,18098,18060,2298,10392,4647,6761,6266,18812,34285,17214,17071,36158
7,2019,Rutgers University-New Brunswick,0,2,3,5,2,2,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,84,NA,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50173,3650,12509,26807,23366,18098,18060,2298,10392,4647,6761,6266,18812,34285,17214,17071,36158
8,2019,Rutgers University-New Brunswick,0,3,16,8,1,3,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,84,NA,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50173,3650,12509,26807,23366,18098,18060,2298,10392,4647,6761,6266,18812,34285,17214,17071,36158
9,2019,Rutgers University-New Brunswick,1,5,30,14,1,5,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,84,NA,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50173,3650,12509,26807,23366,18098,18060,2298,10392,4647,6761,6266,18812,34285,17214,17071,36158
10,2019,Rutgers University-New Brunswick,2,10,31,20,6,10,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,84,NA,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50173,3650,12509,26807,23366,18098,18060,2298,10392,4647,6761,6266,18812,34285,17214,17071,36158
11,2019,Rutgers University-New Brunswick,1,5,31,12,3,5,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,84,NA,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50173,3650,12509,26807,23366,18098,18060,2298,10392,4647,6761,6266,18812,34285,17214,17071,36158
12,2019,Rutgers University-New Brunswick,1,3,14,8,0,3,0,0,2015-04-06T00:00:00Z,2015-05-01T00:00:00Z,NA,NA,1,NA,alcohol,NA,186380,84,NA,NJ,34,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-74.446251,40.498769,NA,50173,3650,12509,26807,23366,18098,18060,2298,10392,4647,6761,6266,18812,34285,17214,17071,36158
1,2014,San Diego State University,0,1,1,0,0,1,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,66,28394,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,33483,1162,4183,18661,14822,12798,15596,1015,3715,8708,4390,5377,11723,25096,11272,13824,28394
2,2014,San Diego State University,1,0,0,2,1,0,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,66,28394,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,33483,1162,4183,18661,14822,12798,15596,1015,3715,8708,4390,5377,11723,25096,11272,13824,28394
3,2014,San Diego State University,0,3,0,2,2,3,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,66,28394,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,33483,1162,4183,18661,14822,12798,15596,1015,3715,8708,4390,5377,11723,25096,11272,13824,28394
4,2014,San Diego State University,0,5,2,1,0,5,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,66,28394,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,33483,1162,4183,18661,14822,12798,15596,1015,3715,8708,4390,5377,11723,25096,11272,13824,28394
5,2014,San Diego State University,0,6,1,0,1,6,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,66,28394,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,33483,1162,4183,18661,14822,12798,15596,1015,3715,8708,4390,5377,11723,25096,11272,13824,28394
6,2014,San Diego State University,0,11,0,1,0,11,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,66,28394,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,33483,1162,4183,18661,14822,12798,15596,1015,3715,8708,4390,5377,11723,25096,11272,13824,28394
7,2014,San Diego State University,0,6,1,0,0,6,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,66,28394,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,33483,1162,4183,18661,14822,12798,15596,1015,3715,8708,4390,5377,11723,25096,11272,13824,28394
8,2014,San Diego State University,1,4,1,1,0,4,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,66,28394,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,33483,1162,4183,18661,14822,12798,15596,1015,3715,8708,4390,5377,11723,25096,11272,13824,28394
9,2014,San Diego State University,2,9,4,1,1,9,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,66,28394,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,33483,1162,4183,18661,14822,12798,15596,1015,3715,8708,4390,5377,11723,25096,11272,13824,28394
10,2014,San Diego State University,2,6,1,5,2,6,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,66,28394,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,33483,1162,4183,18661,14822,12798,15596,1015,3715,8708,4390,5377,11723,25096,11272,13824,28394
11,2014,San Diego State University,1,4,2,2,3,4,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,66,28394,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,33483,1162,4183,18661,14822,12798,15596,1015,3715,8708,4390,5377,11723,25096,11272,13824,28394
12,2014,San Diego State University,0,4,3,4,0,4,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,66,28394,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,33483,1162,4183,18661,14822,12798,15596,1015,3715,8708,4390,5377,11723,25096,11272,13824,28394
1,2015,San Diego State University,0,6,0,3,0,6,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,68,29253,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34254,1267,4433,18953,15301,13331,15922,1115,3991,9021,4483,5333,11669,26010,11867,14143,29253
2,2015,San Diego State University,1,6,0,3,0,6,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,68,29253,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34254,1267,4433,18953,15301,13331,15922,1115,3991,9021,4483,5333,11669,26010,11867,14143,29253
3,2015,San Diego State University,1,4,0,3,2,4,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,68,29253,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34254,1267,4433,18953,15301,13331,15922,1115,3991,9021,4483,5333,11669,26010,11867,14143,29253
4,2015,San Diego State University,0,5,0,1,0,5,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,68,29253,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34254,1267,4433,18953,15301,13331,15922,1115,3991,9021,4483,5333,11669,26010,11867,14143,29253
5,2015,San Diego State University,0,1,0,4,2,1,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,68,29253,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34254,1267,4433,18953,15301,13331,15922,1115,3991,9021,4483,5333,11669,26010,11867,14143,29253
6,2015,San Diego State University,0,0,0,2,0,0,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,68,29253,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34254,1267,4433,18953,15301,13331,15922,1115,3991,9021,4483,5333,11669,26010,11867,14143,29253
7,2015,San Diego State University,0,1,0,1,0,1,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,68,29253,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34254,1267,4433,18953,15301,13331,15922,1115,3991,9021,4483,5333,11669,26010,11867,14143,29253
8,2015,San Diego State University,0,16,0,4,0,16,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,68,29253,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34254,1267,4433,18953,15301,13331,15922,1115,3991,9021,4483,5333,11669,26010,11867,14143,29253
9,2015,San Diego State University,1,8,1,1,0,8,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,68,29253,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34254,1267,4433,18953,15301,13331,15922,1115,3991,9021,4483,5333,11669,26010,11867,14143,29253
10,2015,San Diego State University,0,12,2,3,0,12,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,68,29253,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34254,1267,4433,18953,15301,13331,15922,1115,3991,9021,4483,5333,11669,26010,11867,14143,29253
11,2015,San Diego State University,1,7,2,1,0,7,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,68,29253,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34254,1267,4433,18953,15301,13331,15922,1115,3991,9021,4483,5333,11669,26010,11867,14143,29253
12,2015,San Diego State University,0,6,1,3,0,6,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,68,29253,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34254,1267,4433,18953,15301,13331,15922,1115,3991,9021,4483,5333,11669,26010,11867,14143,29253
1,2016,San Diego State University,0,5,0,3,3,5,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,73,29860,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34688,1356,4437,19143,15545,13649,16211,1200,4032,9248,4583,5314,11709,26790,12180,14610,29860
2,2016,San Diego State University,0,6,1,3,0,6,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,73,29860,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34688,1356,4437,19143,15545,13649,16211,1200,4032,9248,4583,5314,11709,26790,12180,14610,29860
3,2016,San Diego State University,0,6,1,4,2,6,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,73,29860,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34688,1356,4437,19143,15545,13649,16211,1200,4032,9248,4583,5314,11709,26790,12180,14610,29860
4,2016,San Diego State University,0,3,0,5,0,3,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,73,29860,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34688,1356,4437,19143,15545,13649,16211,1200,4032,9248,4583,5314,11709,26790,12180,14610,29860
5,2016,San Diego State University,0,1,1,1,5,1,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,73,29860,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34688,1356,4437,19143,15545,13649,16211,1200,4032,9248,4583,5314,11709,26790,12180,14610,29860
6,2016,San Diego State University,0,0,0,3,4,0,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,73,29860,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34688,1356,4437,19143,15545,13649,16211,1200,4032,9248,4583,5314,11709,26790,12180,14610,29860
7,2016,San Diego State University,0,5,1,2,2,5,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,73,29860,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34688,1356,4437,19143,15545,13649,16211,1200,4032,9248,4583,5314,11709,26790,12180,14610,29860
8,2016,San Diego State University,0,3,0,2,0,3,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,73,29860,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34688,1356,4437,19143,15545,13649,16211,1200,4032,9248,4583,5314,11709,26790,12180,14610,29860
9,2016,San Diego State University,1,6,2,4,3,6,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,73,29860,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34688,1356,4437,19143,15545,13649,16211,1200,4032,9248,4583,5314,11709,26790,12180,14610,29860
10,2016,San Diego State University,1,2,1,3,3,2,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,73,29860,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34688,1356,4437,19143,15545,13649,16211,1200,4032,9248,4583,5314,11709,26790,12180,14610,29860
11,2016,San Diego State University,1,2,0,9,4,2,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,73,29860,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34688,1356,4437,19143,15545,13649,16211,1200,4032,9248,4583,5314,11709,26790,12180,14610,29860
12,2016,San Diego State University,0,0,1,1,1,0,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,73,29860,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,34688,1356,4437,19143,15545,13649,16211,1200,4032,9248,4583,5314,11709,26790,12180,14610,29860
1,2017,San Diego State University,0,1,2,2,2,1,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,74,30272,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,35135,1342,4471,19395,15740,13845,16404,1194,4015,9307,4598,5479,11937,27040,12325,14715,30249
2,2017,San Diego State University,0,0,1,7,1,0,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,74,30272,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,35135,1342,4471,19395,15740,13845,16404,1194,4015,9307,4598,5479,11937,27040,12325,14715,30249
3,2017,San Diego State University,0,3,0,4,1,3,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,74,30272,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,35135,1342,4471,19395,15740,13845,16404,1194,4015,9307,4598,5479,11937,27040,12325,14715,30249
4,2017,San Diego State University,1,1,3,7,4,1,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,74,30272,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,35135,1342,4471,19395,15740,13845,16404,1194,4015,9307,4598,5479,11937,27040,12325,14715,30249
5,2017,San Diego State University,0,4,0,5,3,4,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,74,30272,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,35135,1342,4471,19395,15740,13845,16404,1194,4015,9307,4598,5479,11937,27040,12325,14715,30249
6,2017,San Diego State University,0,1,2,4,2,1,0,0,2018-03-09T00:00:00Z,2018-10-04T00:00:00Z,2019-11-09T00:00:00Z,2020-05-01T00:00:00Z,0,1,behavior,death,122409,74,30272,CA,6,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-117.071228,32.77525,NA,35135,1342,4471,19395,15740,13845,16404,1194,4015,9307,4598,5479,11937,27040,12325,14715,30249
